ts,git_commit,db,K,rep,wall_s,user_s,sys_s,maxrss_kb,total_bytes,total_rows,artifact_tables
2026-02-12T06:39:37+05:30,1f540ca,tpch0_01,1,1,0.22,0.02,0.01,13336,376832,11,1
2026-02-12T06:39:37+05:30,1f540ca,tpch0_01,1,2,0.2,0.03,0.00,13384,376832,11,1
2026-02-12T06:39:38+05:30,1f540ca,tpch0_01,1,3,0.21,0.02,0.01,13272,376832,11,1
2026-02-12T06:39:38+05:30,1f540ca,tpch0_01,15,1,3.11,0.02,0.00,13384,1482752,68,1
2026-02-12T06:39:41+05:30,1f540ca,tpch0_01,15,2,3.09,0.03,0.00,13368,1482752,68,1
2026-02-12T06:39:44+05:30,1f540ca,tpch0_01,15,3,3.09,0.03,0.00,13424,1482752,68,1
2026-02-12T06:39:47+05:30,1f540ca,tpch0_01,20,1,3.83,0.02,0.00,13420,2138112,89,1
2026-02-12T06:39:51+05:30,1f540ca,tpch0_01,20,2,3.83,0.02,0.00,13336,2138112,89,1
2026-02-12T06:39:55+05:30,1f540ca,tpch0_01,20,3,3.83,0.03,0.00,13508,2146304,89,1
2026-02-12T06:40:00+05:30,1f540ca,tpch0_1,1,1,1.74,0.03,0.00,13416,3203072,11,1
2026-02-12T06:40:02+05:30,1f540ca,tpch0_1,1,2,1.73,0.03,0.00,13284,3203072,11,1
2026-02-12T06:40:04+05:30,1f540ca,tpch0_1,1,3,1.73,0.03,0.00,12848,3203072,11,1
2026-02-12T06:40:05+05:30,1f540ca,tpch0_1,15,1,14.03,0.02,0.00,13340,13189120,68,1
2026-02-12T06:40:19+05:30,1f540ca,tpch0_1,15,2,14.05,0.03,0.01,13244,13189120,68,1
2026-02-12T06:40:33+05:30,1f540ca,tpch0_1,15,3,13.96,0.03,0.00,13260,13197312,68,1
2026-02-12T06:40:48+05:30,1f540ca,tpch0_1,20,1,18.74,0.03,0.00,13268,20234240,89,1
2026-02-12T06:41:06+05:30,1f540ca,tpch0_1,20,2,18.73,0.03,0.00,13372,20234240,89,1
2026-02-12T06:41:25+05:30,1f540ca,tpch0_1,20,3,18.73,0.03,0.00,13460,20242432,89,1
2026-02-12T06:41:46+05:30,1f540ca,tpch1,1,1,16.06,0.03,0.00,13412,31334400,11,1
2026-02-12T06:42:02+05:30,1f540ca,tpch1,1,2,15.99,0.03,0.00,12716,31334400,11,1
2026-02-12T06:42:18+05:30,1f540ca,tpch1,1,3,15.97,0.02,0.00,12752,31334400,11,1
2026-02-12T06:42:34+05:30,1f540ca,tpch1,15,1,59.86,0.03,0.00,13448,133496832,68,1
2026-02-12T06:44:34+05:30,1f540ca,tpch1,15,2,59.73,0.03,0.00,13268,133496832,68,1
2026-02-12T06:46:34+05:30,1f540ca,tpch1,15,3,59.69,0.02,0.00,13336,133496832,68,1
2026-02-12T06:48:33+05:30,1f540ca,tpch1,20,1,51.75,0.03,0.00,13480,207732736,89,1
2026-02-12T06:51:25+05:30,1f540ca,tpch1,20,2,51.69,0.03,0.00,13408,207732736,89,1
2026-02-12T06:54:17+05:30,1f540ca,tpch1,20,3,51.63,0.03,0.00,13456,207740928,89,1
2026-02-12T06:57:12+05:30,1f540ca,tpch10,1,1,0.06,0.02,0.00,13260,32768,11,1
2026-02-12T06:57:12+05:30,1f540ca,tpch10,1,2,0.05,0.02,0.00,13344,32768,11,1
2026-02-12T06:57:12+05:30,1f540ca,tpch10,1,3,0.05,0.02,0.00,13308,32768,11,1
2026-02-12T06:57:12+05:30,1f540ca,tpch10,15,1,42.16,0.03,0.00,13248,50372608,68,1
2026-02-12T06:57:54+05:30,1f540ca,tpch10,15,2,42.15,0.02,0.00,12844,50372608,68,1
2026-02-12T06:58:37+05:30,1f540ca,tpch10,15,3,42.13,0.03,0.00,12852,50372608,68,1
2026-02-12T06:59:19+05:30,1f540ca,tpch10,20,1,24.64,0.02,0.00,13384,185966592,89,1
2026-02-12T07:01:44+05:30,1f540ca,tpch10,20,2,23.34,0.03,0.00,13300,185966592,89,1
2026-02-12T07:04:07+05:30,1f540ca,tpch10,20,3,23.38,0.03,0.00,13440,185966592,89,1
