ts,git_commit,db,K,rep,task,wall_s,backend_peak_rss_kb,bytes,rows,tables
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,1,artifact_build,0.244830,111948,376832,11,1
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,1,rls_index_build,0.126060,41884,868352,0,0
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,2,artifact_build,0.222651,111956,376832,11,1
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,2,rls_index_build,0.126347,42292,868352,0,0
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,3,artifact_build,0.227358,110936,376832,11,1
2026-02-12T07:33:39+05:30,unknown,tpch0_01,1,3,rls_index_build,0.125713,41828,868352,0,0
2026-02-12T07:33:40+05:30,unknown,tpch0_01,15,1,artifact_build,3.150876,157120,1482752,68,1
2026-02-12T07:33:40+05:30,unknown,tpch0_01,15,1,rls_index_build,0.411834,47492,9641984,0,0
2026-02-12T07:33:44+05:30,unknown,tpch0_01,15,2,artifact_build,3.140673,166076,1482752,68,1
2026-02-12T07:33:44+05:30,unknown,tpch0_01,15,2,rls_index_build,0.434512,47344,9641984,0,0
2026-02-12T07:33:47+05:30,unknown,tpch0_01,15,3,artifact_build,3.114875,165292,1482752,68,1
2026-02-12T07:33:47+05:30,unknown,tpch0_01,15,3,rls_index_build,0.412787,47852,9641984,0,0
2026-02-12T07:33:51+05:30,unknown,tpch0_01,20,1,artifact_build,3.870632,170616,2138112,89,1
2026-02-12T07:33:51+05:30,unknown,tpch0_01,20,1,rls_index_build,0.482788,48932,11583488,0,0
2026-02-12T07:33:55+05:30,unknown,tpch0_01,20,2,artifact_build,3.867573,172816,2138112,89,1
2026-02-12T07:33:55+05:30,unknown,tpch0_01,20,2,rls_index_build,0.509603,50960,11583488,0,0
2026-02-12T07:34:00+05:30,unknown,tpch0_01,20,3,artifact_build,3.861139,173528,2138112,89,1
2026-02-12T07:34:00+05:30,unknown,tpch0_01,20,3,rls_index_build,0.483543,50940,11583488,0,0
2026-02-12T07:34:05+05:30,unknown,tpch0_1,1,1,artifact_build,1.762252,233676,3203072,11,1
2026-02-12T07:34:05+05:30,unknown,tpch0_1,1,1,rls_index_build,0.527352,60688,8372224,0,0
2026-02-12T07:34:08+05:30,unknown,tpch0_1,1,2,artifact_build,1.759669,219724,3203072,11,1
2026-02-12T07:34:08+05:30,unknown,tpch0_1,1,2,rls_index_build,0.546034,62140,8372224,0,0
2026-02-12T07:34:10+05:30,unknown,tpch0_1,1,3,artifact_build,1.757319,221308,3203072,11,1
2026-02-12T07:34:10+05:30,unknown,tpch0_1,1,3,rls_index_build,0.551944,63700,8372224,0,0
2026-02-12T07:34:13+05:30,unknown,tpch0_1,15,1,artifact_build,14.494261,421500,13189120,68,1
2026-02-12T07:34:13+05:30,unknown,tpch0_1,15,1,rls_index_build,3.165980,87056,92323840,0,0
2026-02-12T07:34:30+05:30,unknown,tpch0_1,15,2,artifact_build,14.018647,443328,13189120,68,1
2026-02-12T07:34:30+05:30,unknown,tpch0_1,15,2,rls_index_build,3.183602,78160,92323840,0,0
2026-02-12T07:34:48+05:30,unknown,tpch0_1,15,3,artifact_build,14.034706,450724,13189120,68,1
2026-02-12T07:34:48+05:30,unknown,tpch0_1,15,3,rls_index_build,3.186700,82544,92323840,0,0
2026-02-12T07:35:05+05:30,unknown,tpch0_1,20,1,artifact_build,18.786641,511216,20234240,89,1
2026-02-12T07:35:05+05:30,unknown,tpch0_1,20,1,rls_index_build,3.747605,101436,110084096,0,0
2026-02-12T07:35:28+05:30,unknown,tpch0_1,20,2,artifact_build,18.554446,491028,20234240,89,1
2026-02-12T07:35:28+05:30,unknown,tpch0_1,20,2,rls_index_build,3.745021,98168,110084096,0,0
2026-02-12T07:35:50+05:30,unknown,tpch0_1,20,3,artifact_build,18.560462,490716,20234240,89,1
2026-02-12T07:35:50+05:30,unknown,tpch0_1,20,3,rls_index_build,3.732443,104404,110084096,0,0
2026-02-12T07:36:15+05:30,unknown,tpch1,1,1,artifact_build,16.033289,1110300,31334400,11,1
2026-02-12T07:36:15+05:30,unknown,tpch1,1,1,rls_index_build,5.198447,129116,83214336,0,0
2026-02-12T07:36:36+05:30,unknown,tpch1,1,2,artifact_build,16.098777,1110556,31334400,11,1
2026-02-12T07:36:36+05:30,unknown,tpch1,1,2,rls_index_build,5.154410,129072,83214336,0,0
