baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg,timeout_ms,eval_ms,artifact_load_ms,artifact_parse_ms,stamp_ms,bin_ms,local_sat_ms,prop_ms,prop_iters,decode_ms,ctid_map_ms,filter_ms,rows_seen,rows_passed,policy_total_ms
rls_no_index,15,3,hot,2,60008.331,165.332,148.465,error,timeout,ERROR:  canceling statement due to statement timeout,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
rls_no_index,15,3,hot,3,20.156,18.836,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
nopolicy,5,1,cold,0,20.279,16.648,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
rls_no_index,15,3,hot,4,20.291,16.430,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
nopolicy,5,1,hot,1,20.524,16.430,0.219,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
rls_no_index,15,3,hot,5,20.181,16.430,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
nopolicy,5,1,hot,2,20.224,16.648,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
nopolicy,5,1,hot,3,20.261,16.430,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
rls_no_index,15,4,cold,0,40.473,75.492,59.281,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
nopolicy,5,1,hot,4,20.202,16.211,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
rls_no_index,15,4,hot,1,20.291,16.867,0.000,ok,,,60000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0,0.000
