baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type
nopolicy,5,1,cold,0,20.306,16.648,0.000,ok,
nopolicy,5,1,hot,1,20.408,16.648,0.000,ok,
nopolicy,5,1,hot,2,20.475,16.430,0.219,ok,
nopolicy,5,1,hot,3,20.285,16.211,0.000,ok,
nopolicy,5,1,hot,4,20.307,16.211,0.000,ok,
nopolicy,5,1,hot,5,20.279,16.648,0.000,ok,
nopolicy,5,2,cold,0,20.242,16.430,0.000,ok,
nopolicy,5,2,hot,1,20.265,16.211,0.000,ok,
nopolicy,5,2,hot,2,20.241,16.430,0.000,ok,
nopolicy,5,2,hot,3,20.410,16.211,0.000,ok,
nopolicy,5,2,hot,4,20.594,16.430,0.000,ok,
nopolicy,5,2,hot,5,20.316,16.430,0.000,ok,
nopolicy,5,3,cold,0,20.348,16.648,0.000,ok,
nopolicy,5,3,hot,1,20.276,16.430,0.000,ok,
nopolicy,5,3,hot,2,20.297,16.430,0.000,ok,
nopolicy,5,3,hot,3,20.331,16.648,0.000,ok,
nopolicy,5,3,hot,4,20.281,16.648,0.000,ok,
nopolicy,5,3,hot,5,20.354,16.430,0.000,ok,
nopolicy,5,4,cold,0,20.284,16.648,0.000,ok,
nopolicy,5,4,hot,1,20.327,16.648,0.000,ok,
nopolicy,5,4,hot,2,20.259,16.648,0.000,ok,
nopolicy,5,4,hot,3,20.386,16.430,0.000,ok,
nopolicy,5,4,hot,4,20.390,16.430,0.000,ok,
nopolicy,5,4,hot,5,20.267,16.211,0.000,ok,
nopolicy,5,5,cold,0,61.074,84.242,67.594,ok,
nopolicy,5,5,hot,1,60.780,98.023,81.594,ok,
nopolicy,5,5,hot,2,61.051,87.742,71.094,ok,
nopolicy,5,5,hot,3,60.907,98.461,82.031,ok,
nopolicy,5,5,hot,4,60.876,89.914,73.500,ok,
nopolicy,5,5,hot,5,60.880,91.461,74.812,ok,
nopolicy,5,6,cold,0,60.841,84.598,68.250,ok,
nopolicy,5,6,hot,1,60.740,91.680,75.031,ok,
nopolicy,5,6,hot,2,81.097,106.117,89.688,ok,
nopolicy,5,6,hot,3,81.077,107.211,90.781,ok,
nopolicy,5,6,hot,4,81.135,105.242,88.594,ok,
nopolicy,5,6,hot,5,60.804,93.648,77.219,ok,
nopolicy,5,7,cold,0,20.146,16.430,0.000,ok,
nopolicy,5,7,hot,1,40.378,24.742,8.312,ok,
nopolicy,5,7,hot,2,40.535,24.305,7.656,ok,
nopolicy,5,7,hot,3,40.652,24.305,7.656,ok,
nopolicy,5,7,hot,4,40.419,24.523,7.875,ok,
nopolicy,5,7,hot,5,40.545,24.742,8.312,ok,
nopolicy,5,8,cold,0,81.203,57.336,40.688,ok,
nopolicy,5,8,hot,1,81.233,59.742,43.094,ok,
nopolicy,5,8,hot,2,81.078,60.617,44.406,ok,
nopolicy,5,8,hot,3,81.072,61.055,44.406,ok,
nopolicy,5,8,hot,4,81.238,59.961,43.531,ok,
nopolicy,5,8,hot,5,80.709,60.180,44.188,ok,
ours,5,1,cold,0,20.542,22.992,0.219,ok,
ours,5,1,hot,1,20.396,23.211,0.000,ok,
ours,5,1,hot,2,20.385,22.773,0.000,ok,
ours,5,1,hot,3,20.296,22.992,0.000,ok,
ours,5,1,hot,4,20.451,23.211,0.000,ok,
ours,5,1,hot,5,20.315,22.992,0.000,ok,
ours,5,2,cold,0,20.473,23.211,0.000,ok,
ours,5,2,hot,1,20.233,23.211,0.000,ok,
ours,5,2,hot,2,20.441,22.773,0.000,ok,
ours,5,2,hot,3,20.386,22.992,0.000,ok,
ours,5,2,hot,4,20.406,22.992,0.000,ok,
ours,5,2,hot,5,20.279,22.773,0.000,ok,
ours,5,3,cold,0,20.335,22.992,0.000,ok,
ours,5,3,hot,1,20.268,22.992,0.000,ok,
ours,5,3,hot,2,20.393,22.992,0.000,ok,
ours,5,3,hot,3,20.290,22.992,0.000,ok,
ours,5,3,hot,4,20.241,22.992,0.000,ok,
ours,5,3,hot,5,20.393,22.992,0.000,ok,
ours,5,4,cold,0,20.347,22.992,0.000,ok,
ours,5,4,hot,1,20.215,23.211,0.219,ok,
ours,5,4,hot,2,20.183,22.773,0.000,ok,
ours,5,4,hot,3,20.206,22.773,0.000,ok,
ours,5,4,hot,4,20.318,23.211,0.219,ok,
ours,5,4,hot,5,20.290,22.992,0.219,ok,
ours,5,5,cold,0,282.935,176.883,153.891,ok,
ours,5,5,hot,1,283.866,168.953,145.961,ok,
ours,5,5,hot,2,283.503,180.625,157.852,ok,
ours,5,5,hot,3,283.567,183.172,160.617,ok,
ours,5,5,hot,4,283.540,170.328,147.773,ok,
ours,5,5,hot,5,263.369,155.762,132.988,ok,
ours,5,6,cold,0,283.688,174.824,151.832,ok,
ours,5,6,hot,1,283.948,164.547,141.555,ok,
ours,5,6,hot,2,283.820,178.992,156.000,ok,
ours,5,6,hot,3,283.688,176.426,153.871,ok,
ours,5,6,hot,4,283.892,176.742,153.969,ok,
ours,5,6,hot,5,282.764,175.379,152.387,ok,
ours,5,7,cold,0,20.273,22.773,0.000,ok,
ours,5,7,hot,1,20.201,22.773,0.000,ok,
ours,5,7,hot,2,40.460,50.992,28.438,ok,
ours,5,7,hot,3,40.621,41.586,18.812,ok,
ours,5,7,hot,4,20.258,22.773,0.000,ok,
ours,5,7,hot,5,40.704,48.805,26.031,ok,
ours,5,8,cold,0,304.340,192.230,169.676,ok,
ours,5,8,hot,1,304.037,201.781,179.227,ok,
ours,5,8,hot,2,322.902,214.734,191.961,ok,
ours,5,8,hot,3,303.686,191.906,169.133,ok,
ours,5,8,hot,4,304.101,205.078,182.086,ok,
ours,5,8,hot,5,304.127,211.062,188.070,ok,
rls_with_index,5,1,cold,0,20.301,16.648,0.000,ok,
rls_with_index,5,1,hot,1,20.256,16.430,0.000,ok,
rls_with_index,5,1,hot,2,20.312,16.430,0.000,ok,
rls_with_index,5,1,hot,3,20.196,16.430,0.000,ok,
rls_with_index,5,1,hot,4,20.335,16.430,0.219,ok,
rls_with_index,5,1,hot,5,20.437,16.211,0.219,ok,
rls_with_index,5,2,cold,0,20.422,16.430,0.000,ok,
rls_with_index,5,2,hot,1,20.280,16.430,0.000,ok,
rls_with_index,5,2,hot,2,20.306,16.648,0.000,ok,
rls_with_index,5,2,hot,3,20.383,16.430,0.000,ok,
rls_with_index,5,2,hot,4,20.431,16.867,0.219,ok,
rls_with_index,5,2,hot,5,20.428,16.867,0.219,ok,
rls_with_index,5,3,cold,0,20.437,16.648,0.219,ok,
rls_with_index,5,3,hot,1,20.319,16.648,0.219,ok,
rls_with_index,5,3,hot,2,20.263,16.430,0.000,ok,
rls_with_index,5,3,hot,3,20.382,16.648,0.219,ok,
rls_with_index,5,3,hot,4,20.392,16.867,0.219,ok,
rls_with_index,5,3,hot,5,20.311,16.648,0.219,ok,
rls_with_index,5,4,cold,0,20.316,16.648,0.219,ok,
rls_with_index,5,4,hot,1,20.301,16.430,0.000,ok,
rls_with_index,5,4,hot,2,20.294,16.430,0.000,ok,
rls_with_index,5,4,hot,3,20.310,16.648,0.000,ok,
rls_with_index,5,4,hot,4,20.224,16.211,0.000,ok,
rls_with_index,5,4,hot,5,20.276,16.648,0.000,ok,
rls_with_index,5,5,cold,0,121.560,100.211,83.781,ok,
rls_with_index,5,5,hot,1,121.495,102.180,85.531,ok,
rls_with_index,5,5,hot,2,121.550,106.773,90.125,ok,
rls_with_index,5,5,hot,3,121.569,99.992,83.344,ok,
rls_with_index,5,5,hot,4,121.510,105.461,88.812,ok,
rls_with_index,5,5,hot,5,121.468,100.867,84.219,ok,
rls_with_index,5,6,cold,0,121.609,106.773,90.125,ok,
rls_with_index,5,6,hot,1,101.384,95.617,79.188,ok,
rls_with_index,5,6,hot,2,101.387,95.398,79.188,ok,
rls_with_index,5,6,hot,3,101.289,96.492,80.281,ok,
rls_with_index,5,6,hot,4,101.402,96.273,79.844,ok,
rls_with_index,5,6,hot,5,101.283,96.055,79.625,ok,
rls_with_index,5,7,cold,0,20.176,16.648,0.000,ok,
rls_with_index,5,7,hot,1,40.549,24.742,8.312,ok,
rls_with_index,5,7,hot,2,40.529,24.523,8.094,ok,
rls_with_index,5,7,hot,3,40.565,24.523,8.094,ok,
rls_with_index,5,7,hot,4,20.344,16.867,0.219,ok,
rls_with_index,5,7,hot,5,20.140,16.648,0.219,ok,
rls_with_index,5,8,cold,0,908.954,132.586,116.156,ok,
rls_with_index,5,8,hot,1,910.512,133.461,117.031,ok,
rls_with_index,5,8,hot,2,931.201,133.461,117.031,ok,
rls_with_index,5,8,hot,3,950.338,132.984,116.594,ok,
rls_with_index,5,8,hot,4,908.816,132.805,116.156,ok,
rls_with_index,5,8,hot,5,910.714,133.680,117.031,ok,
rls_no_index,5,1,cold,0,20.348,16.211,0.219,ok,
rls_no_index,5,1,hot,1,20.290,16.648,0.219,ok,
rls_no_index,5,1,hot,2,20.308,16.430,0.000,ok,
rls_no_index,5,1,hot,3,20.397,16.648,0.219,ok,
rls_no_index,5,1,hot,4,20.278,16.430,0.000,ok,
rls_no_index,5,1,hot,5,20.263,16.430,0.000,ok,
rls_no_index,5,2,cold,0,20.330,16.867,0.219,ok,
rls_no_index,5,2,hot,1,20.345,16.648,0.000,ok,
rls_no_index,5,2,hot,2,20.264,16.430,0.000,ok,
rls_no_index,5,2,hot,3,20.402,16.648,0.000,ok,
rls_no_index,5,2,hot,4,20.383,16.648,0.219,ok,
rls_no_index,5,2,hot,5,20.222,16.211,0.219,ok,
rls_no_index,5,3,cold,0,20.297,16.648,0.219,ok,
rls_no_index,5,3,hot,1,20.299,16.430,0.000,ok,
rls_no_index,5,3,hot,2,20.258,15.992,0.000,ok,
rls_no_index,5,3,hot,3,20.264,16.430,0.000,ok,
rls_no_index,5,3,hot,4,20.259,16.648,0.000,ok,
rls_no_index,5,3,hot,5,20.311,16.430,0.000,ok,
rls_no_index,5,4,cold,0,20.268,16.430,0.000,ok,
rls_no_index,5,4,hot,1,20.248,16.430,0.000,ok,
rls_no_index,5,4,hot,2,20.244,16.648,0.219,ok,
rls_no_index,5,4,hot,3,20.196,16.430,0.000,ok,
rls_no_index,5,4,hot,4,20.193,16.430,0.000,ok,
rls_no_index,5,4,hot,5,20.368,16.648,0.219,ok,
rls_no_index,5,5,cold,0,121.243,105.242,88.812,ok,
rls_no_index,5,5,hot,1,121.562,108.086,92.094,ok,
rls_no_index,5,5,hot,2,121.521,102.836,86.188,ok,
rls_no_index,5,5,hot,3,121.547,107.867,91.656,ok,
rls_no_index,5,5,hot,4,121.564,101.523,85.094,ok,
rls_no_index,5,5,hot,5,121.294,103.492,86.844,ok,
rls_no_index,5,6,cold,0,121.563,108.305,92.094,ok,
rls_no_index,5,6,hot,1,121.402,106.336,89.688,ok,
rls_no_index,5,6,hot,2,101.127,94.305,77.656,ok,
rls_no_index,5,6,hot,3,100.795,94.742,78.531,ok,
rls_no_index,5,6,hot,4,101.524,95.836,79.188,ok,
rls_no_index,5,6,hot,5,100.879,94.742,78.094,ok,
rls_no_index,5,7,cold,0,40.388,42.898,26.250,ok,
rls_no_index,5,7,hot,1,40.673,43.117,26.688,ok,
rls_no_index,5,7,hot,2,40.601,36.555,20.125,ok,
rls_no_index,5,7,hot,3,40.661,40.273,23.844,ok,
rls_no_index,5,7,hot,4,20.344,16.430,0.000,ok,
rls_no_index,5,7,hot,5,40.569,43.773,27.125,ok,
