baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
nopolicy,5,1,cold,0,20.175,16.211,0.000,ok,,
nopolicy,5,1,hot,1,20.325,16.867,0.219,ok,,
nopolicy,5,1,hot,2,20.546,16.648,0.219,ok,,
nopolicy,5,1,hot,3,20.496,16.430,0.000,ok,,
nopolicy,5,1,hot,4,20.444,16.648,0.219,ok,,
nopolicy,5,1,hot,5,20.450,16.648,0.000,ok,,
nopolicy,5,2,cold,0,20.486,16.648,0.219,ok,,
nopolicy,5,2,hot,1,20.446,16.867,0.438,ok,,
nopolicy,5,2,hot,2,20.477,16.430,0.000,ok,,
nopolicy,5,2,hot,3,20.545,16.648,0.219,ok,,
nopolicy,5,2,hot,4,20.465,16.867,0.219,ok,,
nopolicy,5,2,hot,5,20.433,16.648,0.219,ok,,
nopolicy,5,3,cold,0,20.483,16.648,0.219,ok,,
nopolicy,5,3,hot,1,20.486,16.867,0.438,ok,,
nopolicy,5,3,hot,2,20.417,16.867,0.438,ok,,
nopolicy,5,3,hot,3,20.304,16.430,0.000,ok,,
nopolicy,5,3,hot,4,20.278,16.867,0.438,ok,,
nopolicy,5,3,hot,5,20.442,16.648,0.219,ok,,
nopolicy,5,4,cold,0,20.413,16.648,0.219,ok,,
nopolicy,5,4,hot,1,20.411,16.867,0.219,ok,,
nopolicy,5,4,hot,2,20.430,16.867,0.438,ok,,
nopolicy,5,4,hot,3,20.419,16.648,0.219,ok,,
nopolicy,5,4,hot,4,20.452,16.867,0.219,ok,,
nopolicy,5,4,hot,5,20.440,16.867,0.219,ok,,
nopolicy,5,5,cold,0,60.882,17.961,1.531,ok,,
nopolicy,5,5,hot,1,60.872,17.961,1.531,ok,,
nopolicy,5,5,hot,2,60.791,17.961,1.531,ok,,
nopolicy,5,5,hot,3,60.831,17.961,1.531,ok,,
nopolicy,5,5,hot,4,60.828,17.961,1.531,ok,,
nopolicy,5,5,hot,5,60.860,17.742,1.312,ok,,
nopolicy,5,6,cold,0,81.114,18.180,1.531,ok,,
nopolicy,5,6,hot,1,81.165,17.961,1.531,ok,,
nopolicy,5,6,hot,2,81.324,17.961,1.531,ok,,
nopolicy,5,6,hot,3,80.631,17.961,1.531,ok,,
nopolicy,5,6,hot,4,80.881,21.898,5.469,ok,,
nopolicy,5,6,hot,5,81.403,18.180,1.531,ok,,
nopolicy,5,7,cold,0,20.269,16.867,0.438,ok,,
nopolicy,5,7,hot,1,40.592,22.773,6.344,ok,,
nopolicy,5,7,hot,2,40.687,23.211,6.781,ok,,
nopolicy,5,7,hot,3,40.674,23.211,6.562,ok,,
nopolicy,5,7,hot,4,40.696,23.211,6.781,ok,,
nopolicy,5,7,hot,5,40.748,23.211,6.562,ok,,
nopolicy,5,8,cold,0,81.120,54.711,38.062,ok,,
nopolicy,5,8,hot,1,60.850,54.711,38.281,ok,,
nopolicy,5,8,hot,2,81.172,57.992,41.562,ok,,
nopolicy,5,8,hot,3,101.694,57.117,40.469,ok,,
nopolicy,5,8,hot,4,81.251,57.773,41.125,ok,,
nopolicy,5,8,hot,5,81.085,56.680,40.250,ok,,
ours,5,1,cold,0,20.458,23.211,0.000,ok,,
ours,5,1,hot,1,20.442,22.992,0.000,ok,,
ours,5,1,hot,2,20.444,22.992,0.000,ok,,
ours,5,1,hot,3,20.426,23.211,0.219,ok,,
ours,5,1,hot,4,20.421,23.312,0.219,ok,,
