row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,3,"1,2,3",ours,__setup__,2245.973,20420305,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,3,"1,2,3",rls_with_index,__setup__,1871.486,44032000,,,,,,,,,,,,,,,ok,,
query,tpch0_1,3,"1,2,3",ours,1,,,452.972,151220,331.902,166796,,,,,,,,,331.902,166796,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,1,,,150.958,116072,120.987,119860,,,,,,,,,120.987,119860,ok,,
query,tpch0_1,3,"1,2,3",ours,6,,,241.678,154024,120.949,171256,,,,,,,,,120.949,171256,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,6,,,90.722,110904,60.456,120040,,,,,,,,,60.456,120040,ok,,
setup,tpch0_1,4,"1,2,3,4",ours,__setup__,3869.495,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,4,"1,2,3,4",rls_with_index,__setup__,2631.602,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,4,"1,2,3,4",ours,1,,,512.922,154684,392.057,231396,,,,,,,,,392.057,231396,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,1,,,120.835,110896,120.962,121964,,,,,,,,,120.962,121964,ok,,
query,tpch0_1,4,"1,2,3,4",ours,6,,,301.990,123924,151.341,213416,,,,,,,,,151.341,213416,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,6,,,60.636,69356,60.545,121836,,,,,,,,,60.545,121836,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,3769.579,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2639.588,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,573.227,158164,392.332,213324,,,,,,,,,392.332,213324,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,120.837,105036,120.643,121680,,,,,,,,,120.643,121680,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,362.254,146488,151.184,226268,,,,,,,,,151.184,226268,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.836,72480,60.707,121376,,,,,,,,,60.707,121376,ok,,
