row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,3,"1,2,3",ours,__setup__,2236.880,20420305,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,3,"1,2,3",rls_with_index,__setup__,1862.438,44032000,,,,,,,,,,,,,,,ok,,
query,tpch0_1,3,"1,2,3",ours,1,,,453.218,151300,331.887,168412,,,,,,,,,331.887,168412,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,1,,,150.950,116604,120.956,119880,,,,,,,,,120.956,119880,ok,,
query,tpch0_1,3,"1,2,3",ours,6,,,241.654,150872,120.971,170704,,,,,,,,,120.971,170704,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,6,,,90.803,110392,60.512,120040,,,,,,,,,60.512,120040,ok,,
setup,tpch0_1,4,"1,2,3,4",ours,__setup__,3862.295,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,4,"1,2,3,4",rls_with_index,__setup__,2648.491,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,4,"1,2,3,4",ours,1,,,543.172,160636,392.348,234276,,,,,,,,,392.348,234276,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,1,,,120.867,109972,120.813,122064,,,,,,,,,120.813,122064,ok,,
query,tpch0_1,4,"1,2,3,4",ours,6,,,302.064,104956,151.220,236388,,,,,,,,,151.220,236388,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,6,,,60.635,76012,60.546,122348,,,,,,,,,60.546,122348,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,3765.967,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2644.828,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,603.566,156700,392.183,233924,,,,,,,,,392.183,233924,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,120.874,103136,120.759,121956,,,,,,,,,120.759,121956,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,392.366,130164,151.212,236064,,,,,,,,,151.212,236064,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.660,67868,60.567,121884,,,,,,,,,60.567,121884,ok,,
