row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,3,"1,2,3",ours,__setup__,2238.180,20420305,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,3,"1,2,3",rls_with_index,__setup__,1873.363,44032000,,,,,,,,,,,,,,,ok,,
query,tpch0_1,3,"1,2,3",ours,1,,,453.228,150800,332.053,168120,,,,,,,,,332.053,168120,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,1,,,150.951,115776,120.794,119052,,,,,,,,,120.794,119052,ok,,
query,tpch0_1,3,"1,2,3",ours,6,,,211.617,100200,121.168,171364,,,,,,,,,121.168,171364,ok,,
query,tpch0_1,3,"1,2,3",rls_with_index,6,,,90.721,113976,60.482,119528,,,,,,,,,60.482,119528,ok,,
setup,tpch0_1,4,"1,2,3,4",ours,__setup__,3868.384,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,4,"1,2,3,4",rls_with_index,__setup__,2639.610,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,4,"1,2,3,4",ours,1,,,512.976,156676,392.052,213300,,,,,,,,,392.052,213300,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,1,,,120.836,109756,120.795,121792,,,,,,,,,120.795,121792,ok,,
query,tpch0_1,4,"1,2,3,4",ours,6,,,302.094,132604,151.149,236604,,,,,,,,,151.149,236604,ok,,
query,tpch0_1,4,"1,2,3,4",rls_with_index,6,,,60.625,76524,60.556,121836,,,,,,,,,60.556,121836,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,3749.187,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2652.490,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,573.601,155600,362.398,211784,,,,,,,,,362.398,211784,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,120.907,107460,120.654,122624,,,,,,,,,120.654,122624,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,362.273,135420,151.237,213808,,,,,,,,,151.237,213808,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.845,67868,60.569,122396,,,,,,,,,60.569,122396,ok,,
