policy_set,baseline,query_id,status,hot_ms,hot_peak_rss_kb,count,err
S_D,rls_index,1,1,3103.061215020716,149084,4,
S_D,rls_index,3,1,151.11925825476646,106604,0,
S_D,rls_index,6,1,1777.2456472739577,149840,1,
S_D,rls_index,10,1,361.8820421397686,128776,49,
S_D,rls_index,11,1,30.644637998193502,22136,0,
S_D,ours,1,0,0.0,0,4,ERROR:  policy: too many DNF terms for signature bits target=lineitem terms=1152 limit=63
S_D,ours,3,0,0.0,0,1153,ERROR:  policy: too many DNF terms for signature bits target=lineitem terms=1152 limit=63
S_D,ours,6,0,0.0,0,1,ERROR:  policy: too many DNF terms for signature bits target=lineitem terms=1152 limit=63
S_D,ours,10,0,0.0,0,3845,ERROR:  policy: too many DNF terms for signature bits target=lineitem terms=1152 limit=63
S_D,ours,11,1,30.881009064614773,41472,0,
S_G,rls_index,1,1,3193.519223947078,156168,3,
S_G,rls_index,3,1,30.65668698400259,21560,0,
S_G,rls_index,6,1,2168.931663967669,152492,1,
S_G,rls_index,10,1,30.691235326230526,26692,0,
S_G,rls_index,11,1,30.438566114753485,22116,0,
S_G,ours,1,0,0.0,0,4,ERROR:  policy: too many DNF terms for signature bits target=customer terms=192 limit=63
S_G,ours,3,0,0.0,0,1153,ERROR:  policy: too many DNF terms for signature bits target=customer terms=192 limit=63
S_G,ours,6,0,0.0,0,1,ERROR:  policy: too many DNF terms for signature bits target=customer terms=192 limit=63
S_G,ours,10,0,0.0,0,3845,ERROR:  policy: too many DNF terms for signature bits target=customer terms=192 limit=63
S_G,ours,11,0,0.0,0,2753,ERROR:  policy: too many DNF terms for signature bits target=customer terms=192 limit=63
