db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,decode_ms,hub_ms,stamp_ms,propagate_ms,sig_ms,project_allowset_ms,prop_build_arcs_ms,prop_ac_ms,prop_scc_ms,sat_ms,sat_sid_count,sat_check_calls,sat_assumptions_total,sat_avg_assumptions,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_C,"11,12,13,14,15",1,1,,,817.214,145936,4,4,TRUE,canonical_multiset,,,,,,1292.372,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",3,1,,,91.168,113140,39,39,TRUE,canonical_multiset,,,,,,1292.372,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",6,1,,,332.957,150328,1,1,TRUE,canonical_multiset,,,,,,1292.372,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",10,1,,,212.371,127440,461,461,TRUE,canonical_multiset,,,,,,1292.372,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",11,1,,,30.641,37592,2753,2753,TRUE,canonical_multiset,,,,,,1292.372,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_C,"11,12,13,14,15",1,1,,,182.089,211964,4,4,TRUE,canonical_multiset,,,,,,403.118,10597814,true,TID,sparse_allow_set,0.032954,0.629860,0,0,0,0,0,0,0,182.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.480,26.588,0.000,32.862,17.886,1.082,0,0,0,36.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",3,1,,,212.300,192628,39,39,TRUE,canonical_multiset,,,,,,403.118,10597814,true,FILTER|TID,child_not_seqscan|sparse_allow_set,0.093747|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954,0.996938|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860,0,0,0,0,0,0,0,212.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.949,34.112,0.000,37.963,22.662,1.153,0,0,0,60.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",6,1,,,183.281,213084,1,1,TRUE,canonical_multiset,,,,,,403.118,10597814,true,TID,sparse_allow_set,0.032954,0.629860,0,0,0,0,0,0,0,183.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.198,31.092,0.000,37.103,19.494,1.241,0,0,0,43.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",10,1,,,182.064,228528,461,461,TRUE,canonical_multiset,,,,,,403.118,10597814,true,TID,sparse_allow_set,0.030421|0.093747,0.585656|0.996938,0,0,0,0,0,0,0,182.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.534,28.195,0.000,30.872,17.822,0.930,0,0,0,35.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",11,1,,,31.650,75816,2753,2753,TRUE,canonical_multiset,,,,,,403.118,10597814,true,,,,,0,0,0,0,0,0,0,31.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
