db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,decode_ms,hub_ms,stamp_ms,propagate_ms,sig_ms,project_allowset_ms,prop_build_arcs_ms,prop_ac_ms,prop_scc_ms,sat_ms,sat_sid_count,sat_check_calls,sat_assumptions_total,sat_avg_assumptions,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_C,"11,12,13,14,15",1,1,,,817.418,146892,4,4,TRUE,canonical_multiset,,,,,,1256.222,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",3,1,,,91.512,112820,39,39,TRUE,canonical_multiset,,,,,,1256.222,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",6,1,,,333.797,144728,1,1,TRUE,canonical_multiset,,,,,,1256.222,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",10,1,,,182.184,124872,461,461,TRUE,canonical_multiset,,,,,,1256.222,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",11,1,,,30.533,37584,2753,2753,TRUE,canonical_multiset,,,,,,1256.222,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_C,"11,12,13,14,15",1,1,,,182.389,210876,4,4,TRUE,canonical_multiset,,,,,,449.403,10597814,true,TID,sparse_allow_set,0.032954,0.629860,0,0,0,0,0,0,0,182.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.407,30.954,0.000,33.275,19.327,1.302,0,0,0,44.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",3,1,,,151.946,187036,39,39,TRUE,canonical_multiset,,,,,,449.403,10597814,true,FILTER|TID,child_not_seqscan|sparse_allow_set,0.093747|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954|0.032954,0.996938|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860|0.629860,0,0,0,0,0,0,0,151.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.392,27.003,0.000,29.822,17.819,1.100,0,0,0,36.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",6,1,,,152.643,213432,1,1,TRUE,canonical_multiset,,,,,,449.403,10597814,true,TID,sparse_allow_set,0.032954,0.629860,0,0,0,0,0,0,0,152.643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.559,26.947,0.000,29.562,17.809,1.101,0,0,0,37.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",10,1,,,182.505,217696,461,461,TRUE,canonical_multiset,,,,,,449.403,10597814,true,TID,sparse_allow_set,0.030421|0.093747,0.585656|0.996938,0,0,0,0,0,0,0,182.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.713,31.496,0.000,28.747,17.645,1.250,0,0,0,35.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",11,1,,,31.483,65388,2753,2753,TRUE,canonical_multiset,,,,,,449.403,10597814,true,,,,,0,0,0,0,0,0,0,31.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
