db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,decode_ms,hub_ms,stamp_ms,propagate_ms,sig_ms,project_allowset_ms,prop_build_arcs_ms,prop_ac_ms,prop_scc_ms,sat_ms,sat_sid_count,sat_check_calls,sat_assumptions_total,sat_avg_assumptions,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_C,"11,12,13,14,15",1,1,,,696.058,151572,4,4,TRUE,canonical_multiset,,,,,,1158.396,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",3,1,,,91.117,131508,39,39,TRUE,canonical_multiset,,,,,,1158.396,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",6,1,,,332.861,150328,1,1,TRUE,canonical_multiset,,,,,,1158.396,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",10,1,,,182.190,134428,461,461,TRUE,canonical_multiset,,,,,,1158.396,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_C,"11,12,13,14,15",11,1,,,30.523,36688,2753,2753,TRUE,canonical_multiset,,,,,,1158.396,28426240,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_C,"11,12,13,14,15",1,1,,,91.479,119632,0,4,FALSE,canonical_multiset,0,<END>,"{""l_returnflag"":""A"",""l_linestatus"":""F"",""sum_qty"":249669.00,""sum_base_price"":351711768.86,""sum_disc_price"":333948501.0584,""sum_charge"":347333376.720993,""avg_qty"":25.3806038426349497,""avg_price"":35753.966540611975,""avg_...",/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_ours_S_C_q1_ours.txt,/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_rls_index_S_C_q1_gt.txt,397.821,10597814,true,,,,,0,0,0,0,0,0,0,91.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.516,26.977,0.000,6.810,11.472,0.319,0,0,0,1.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",3,1,,,91.418,120768,0,39,FALSE,canonical_multiset,0,<END>,"{""l_orderkey"":115744,""revenue"":33593.1100,""o_orderdate"":""1995-01-08"",""o_shippriority"":0}",/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_ours_S_C_q3_ours.txt,/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_rls_index_S_C_q3_gt.txt,397.821,10597814,true,,,,,0,0,0,0,0,0,0,91.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.374,27.677,0.000,6.734,11.561,0.316,0,0,0,1.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",6,1,,,91.594,119256,1,1,FALSE,canonical_multiset,0,"{""revenue"":null}","{""revenue"":554585.6620}",/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_ours_S_C_q6_ours.txt,/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_rls_index_S_C_q6_gt.txt,397.821,10597814,true,,,,,0,0,0,0,0,0,0,91.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.245,25.471,0.000,6.826,11.421,0.313,0,0,0,1.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",10,1,,,91.662,123264,0,461,FALSE,canonical_multiset,0,<END>,"{""c_custkey"":10148,""c_name"":""Customer#000010148"",""revenue"":70094.3166,""c_acctbal"":5002.96,""n_name"":""CHINA                    "",""c_address"":""WG5,J3LgJUYmULzgOUBYzB,kO2kxae,NhNHGjxv"",""c_phone"":""28-734-627-4171"",""c_comme...",/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_ours_S_C_q10_ours.txt,/home/ng_lab/z3/logs/check_sc_sd_restrictctx/stage03_rows_tpch0_1_rls_index_S_C_q10_gt.txt,397.821,10597814,true,,,,,0,0,0,0,0,0,0,91.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.136,27.994,0.000,6.805,11.385,0.315,0,0,0,1.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_C,"11,12,13,14,15",11,1,,,30.878,66960,2753,2753,TRUE,canonical_multiset,,,,,,397.821,10597814,true,,,,,0,0,0,0,0,0,0,30.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",1,1,,,1543.352,154016,4,4,TRUE,canonical_multiset,,,,,,2219.362,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",3,1,,,91.242,133416,0,0,TRUE,canonical_multiset,,,,,,2219.362,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",6,1,,,877.401,153840,1,1,TRUE,canonical_multiset,,,,,,2219.362,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
