db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,gt_rows,match_gt,cmp_mode,cmp_first_diff_idx,cmp_first_ours,cmp_first_gt,cmp_rows_file_ours,cmp_rows_file_gt,setup_ms,disk_bytes,parallelism_off_verified,scan_mode,scan_mode_reason,allow_density,allow_page_density,policy_eval_ms_total,artifact_load_ms,artifact_bytes_read,allow_build_ms,executor_init_ms_ours,custom_scan_total_ms,custom_scan_overhead_ms,non_customscan_exec_ms,cf_exec_child_next_calls_total,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_blocks_touched,tid_offsets_total,tid_pages_read_ms,tid_tuple_extract_ms,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,decode_ms,hub_ms,stamp_ms,propagate_ms,sig_ms,project_allowset_ms,prop_build_arcs_ms,prop_ac_ms,prop_scc_ms,sat_ms,sat_sid_count,sat_check_calls,sat_assumptions_total,sat_avg_assumptions,sat_models_total,terms_total,single_hub_ms,two_hop_ms,cmp_summary_build_ms,cmp_checks_total,bin_eval_ms_total,single_table_bin_fastpath_used,bin_ops_total,bins_touched_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",1,1,,,1569.616,153244,4,4,TRUE,canonical_multiset,,,,,,2467.688,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",3,1,,,91.753,132888,0,0,TRUE,canonical_multiset,,,,,,2467.688,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",6,1,,,1059.013,153468,1,1,TRUE,canonical_multiset,,,,,,2467.688,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",10,1,,,242.495,138656,49,49,TRUE,canonical_multiset,,,,,,2467.688,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_D,"11,12,13,14,15,16,17,18,19,20",11,1,,,31.463,21528,0,0,TRUE,canonical_multiset,,,,,,2467.688,73252864,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,ours,S_D,"11,12,13,14,15,16,17,18,19,20",1,1,,,24115.031,352356,0,4,FALSE,canonical_multiset,0,<END>,"{""l_returnflag"":""A"",""l_linestatus"":""F"",""sum_qty"":9161.00,""sum_base_price"":13033254.16,""sum_disc_price"":12664359.5779,""sum_charge"":13157265.708201,""avg_qty"":11.3519206939281289,""avg_price"":16150.252986369269,""avg_disc""...",/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_ours_S_D_q1_ours.txt,/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_rls_index_S_D_q1_gt.txt,772.408,17433677,true,,,,,0,0,0,0,0,0,0,24115.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.946,58.369,22.683,23818.895,37.354,0.644,0,0,0,132.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_D,"11,12,13,14,15,16,17,18,19,20",3,1,,,24056.817,353924,0,0,TRUE,canonical_multiset,,,,,,772.408,17433677,true,,,,,0,0,0,0,0,0,0,24056.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.713,49.753,19.423,23790.077,36.456,0.569,0,0,0,128.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_D,"11,12,13,14,15,16,17,18,19,20",6,1,,,21854.070,250544,1,1,FALSE,canonical_multiset,0,"{""revenue"":null}","{""revenue"":153513.7319}",/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_ours_S_D_q6_ours.txt,/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_rls_index_S_D_q6_gt.txt,772.408,17433677,true,,,,,0,0,0,0,0,0,0,21854.070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.804,65.269,22.350,21530.627,40.416,0.661,0,0,0,164.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_D,"11,12,13,14,15,16,17,18,19,20",10,1,,,23404.450,259488,0,49,FALSE,canonical_multiset,0,<END>,"{""c_custkey"":1025,""c_name"":""Customer#000001025"",""revenue"":27284.1995,""c_acctbal"":3363.46,""n_name"":""INDIA                    "",""c_address"":""3T2A1uo8mCqTeO LTW8atjLBLO12nh6lyl"",""c_phone"":""18-588-456-4616"",""c_comment"":""t...",/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_ours_S_D_q10_ours.txt,/home/ng_lab/z3/logs/check_sd_hybrid/stage03_rows_tpch0_1_rls_index_S_D_q10_gt.txt,772.408,17433677,true,,,,,0,0,0,0,0,0,0,23404.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.610,62.644,23.011,23144.326,38.998,0.669,0,0,0,99.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpch0_1,ours,S_D,"11,12,13,14,15,16,17,18,19,20",11,1,,,31.883,30808,0,0,TRUE,canonical_multiset,,,,,,772.408,17433677,true,,,,,0,0,0,0,0,0,0,31.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.459,0.000,0.000,0.000,0.000,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
