db,policy_id,target,queries_tested,status,reason,max_pf2_cmp_key_arity,max_pf2_hub_key_arity,max_class_td_width,route_summary_agg,hit_key_arity_2,hit_key_arity_gt2,hygiene_ok
tpch1,1,lineitem,1,ok,,0,0,0,q1:single_hub:2,0,0,1
tpch1,2,lineitem,1,ok,,0,0,0,,0,0,1
tpch1,3,lineitem,1,ok,,0,0,0,q1:single_hub:2,0,0,1
tpch1,4,lineitem,1,ok,,0,0,0,,0,0,1
tpch1,5,lineitem,1,ok,,0,0,0,q1:single_hub:3,0,0,1
tpch1,6,customer,13,ok,,0,0,0,,0,0,1
tpch1,7,customer,13,ok,,0,0,0,q13:single_hub:2,0,0,1
tpch1,8,customer,13,ok,,0,0,0,,0,0,1
tpch1,9,customer,13,ok,,0,0,0,q13:single_hub:2,0,0,1
tpch1,10,customer,13,ok,,0,0,0,,0,0,1
tpch1,11,orders,3,ok,,0,1,0,q3:single_hub:2,0,0,1
tpch1,12,orders,3,ok,,0,0,0,,0,0,1
tpch1,13,orders,3,ok,,0,1,0,q3:two_hop:4,0,0,1
tpch1,14,orders,3,ok,,0,0,0,,0,0,1
tpch1,15,lineitem,1,ok,,0,1,0,q1:tree:18,0,0,1
tpch1,16,lineitem,1,ok,,0,0,0,,0,0,1
tpch1,17,lineitem,1,ok,,0,1,0,q1:tree:6,0,0,1
tpch1,18,lineitem,1,ok,,0,0,0,,0,0,1
tpch1,19,lineitem,1,ERROR,ERROR:  policy: class_engine unsupported term shape on target=lineitem HINT:  strict experimental mode allows only class_engine supported shapes,0,0,0,q1:reject:1,0,0,1
tpch1,20,partsupp,11,ok,,0,0,0,,0,0,1
tpch1,21,lineitem,1,ok,,0,0,0,q1:single_hub:1,0,0,1
tpch1,22,lineitem,1,ok,,0,0,0,,0,0,1
tpch1,23,lineitem,1,ok,,0,0,0,q1:single_hub:1,0,0,1
tpch1,24,partsupp,11,ok,,0,0,0,,0,0,1
tpch1,25,supplier,5,ok,,0,0,0,q5:single_hub:1,0,0,1
tpch1,26,orders,3,ok,,0,0,0,,0,0,1
tpch1,27,lineitem,1,ok,,1,1,0,q1:tree:1,0,0,1
tpch1,28,partsupp,11,ok,,0,0,0,,0,0,1
tpch1,29,lineitem,1,ok,,2,1,0,q1:cycle_rect:1,1,0,1
tpch1,30,supplier,5,ok,,0,0,0,,0,0,1
