run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,result_hash,ours_count,ours_hash,rls_count,rls_hash,correctness
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours,1,0,1,0.349,262.077,262.426,104.793,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours_with_index,1,0,1,0.721,262.142,262.863,143.520,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.649,68.800,69.449,117.617,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours,3,0,1,0.385,149.419,149.804,117.191,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours_with_index,3,0,1,0.376,125.217,125.593,211.578,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,0,1,0.276,26.851,27.127,141.203,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours,6,0,1,0.173,131.177,131.350,212.285,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours_with_index,6,0,1,0.415,130.031,130.446,215.930,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,0,1,0.089,23.036,23.125,145.578,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours,13,0,1,0.237,45.893,46.130,154.699,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours_with_index,13,0,1,0.323,47.607,47.930,170.688,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,0,1,0.139,46.441,46.580,147.320,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours,22,0,1,0.222,6.915,7.137,154.699,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",ours_with_index,22,0,1,0.216,6.716,6.932,170.688,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
compare_index_20260218_122658,2026-02-18T12:27:08+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,0,1,0.105,6.746,6.851,146.082,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,0,1,0.555,538.899,539.454,145.309,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours_with_index,1,0,1,0.657,536.057,536.714,154.254,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,0,1,1.680,437.535,439.215,231.777,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,0,1,0.571,373.354,373.925,243.570,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours_with_index,3,0,1,0.779,376.935,377.714,244.402,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,0,1,1.583,0.092,1.675,229.914,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,6,0,1,0.386,408.518,408.904,245.027,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours_with_index,6,0,1,0.400,405.450,405.850,246.953,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,6,0,1,2.865,332.874,335.739,231.227,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,0,1,0.458,14.534,14.992,171.863,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours_with_index,13,0,1,0.765,15.335,16.100,173.875,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,13,0,1,0.856,0.535,1.391,232.648,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,0,1,0.553,15.556,16.109,172.082,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours_with_index,22,0,1,0.889,16.212,17.101,174.094,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:27:36+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,22,0,1,1.797,0.868,2.665,232.648,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
compare_index_20260218_122658,2026-02-18T12:29:21+05:30,tpch1,5,"1,2,3,4,5",ours,1,0,1,0.340,2562.774,2563.114,879.195,ok,,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,1
compare_index_20260218_122658,2026-02-18T12:29:21+05:30,tpch1,5,"1,2,3,4,5",ours_with_index,1,0,1,0.383,2578.618,2579.001,879.633,ok,,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,1
compare_index_20260218_122658,2026-02-18T12:29:21+05:30,tpch1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.338,971.215,971.553,219.473,ok,,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,1
