db,K,query_id,correctness,ours_count,rls_count,reason
tpch0_01,1,1,1,3,3,
tpch0_01,1,2,1,1,1,
tpch0_01,1,3,1,107,107,
tpch0_01,1,4,1,0,0,
tpch0_01,1,5,1,5,5,
tpch0_01,1,6,1,1198,1198,
tpch0_01,1,7,1,2,2,
tpch0_01,1,8,1,1,1,
tpch0_01,1,9,1,100,100,
tpch0_01,1,10,1,407,407,
tpch0_01,1,11,1,223,223,
tpch0_01,1,12,1,2,2,
tpch0_01,1,13,1,32,32,
tpch0_01,1,14,1,1,1,
tpch0_01,1,15,1,0,0,
tpch0_01,1,16,1,282,282,
tpch0_01,1,17,1,1,1,
tpch0_01,1,18,1,0,0,
tpch0_01,1,19,1,1,1,
tpch0_01,1,20,1,1,1,
tpch0_01,1,21,1,2,2,
tpch0_01,1,22,1,7,7,
tpch0_01,5,1,1,2,2,
tpch0_01,5,2,1,1,1,
tpch0_01,5,3,1,28,28,
tpch0_01,5,4,1,0,0,
tpch0_01,5,5,1,5,5,
tpch0_01,5,6,1,188,188,
tpch0_01,5,7,1,2,2,
tpch0_01,5,8,1,1,1,
tpch0_01,5,9,1,78,78,
tpch0_01,5,10,1,135,135,
tpch0_01,5,11,1,223,223,
tpch0_01,5,12,1,1,1,
tpch0_01,5,13,1,32,32,
tpch0_01,5,14,1,1,1,
tpch0_01,5,15,1,0,0,
tpch0_01,5,16,1,282,282,
tpch0_01,5,17,1,1,1,
tpch0_01,5,18,1,0,0,
tpch0_01,5,19,1,1,1,
