db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,1,ok,,,0.125,2.296,6.944,0.401,32.788,1083245,7522,481400,158770,60175,30126,0,50460,2,1,eval_ms=0.125 artifact_load_ms=2.296 artifact_parse_ms=1.078 stamp_ms=1.584 bin_ms=0.609 local_sat_ms=0.299 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.944 ctid_map_ms=0.401 filter_ms=32.788 child_exec_ms=8.100 ctid_extract_ms=8.759 ctid_to_rid_ms=1.425 allow_check_ms=1.336 projection_ms=4.077 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=30126 ctid_misses=0 rss_kb_before_eval=28024 rss_kb_after_eval=28024 rss_kb_after_load=29560 rss_kb_after_engine=39708 rss_kb_after_ctid=39708 rss_kb_end=50460 peak_rss_kb_end=50460
tpch0_01,1,1,ours,2,ok,,,0.081,0.000,0.000,0.000,6.208,0,0,0,0,8991,8991,0,31096,2,1,eval_ms=0.081 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.208 child_exec_ms=4.529 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.780 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8991 rows_passed=8991 ctid_misses=0 rss_kb_before_eval=28024 rss_kb_after_eval=28024 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=31096 peak_rss_kb_end=31096
tpch0_01,1,1,ours,3,ok,,,0.132,2.371,7.279,0.346,19.927,1083245,7522,481400,158770,39718,9669,0,54772,2,1,eval_ms=0.132 artifact_load_ms=2.371 artifact_parse_ms=1.134 stamp_ms=1.683 bin_ms=0.644 local_sat_ms=0.303 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.279 ctid_map_ms=0.346 filter_ms=19.927 child_exec_ms=8.810 ctid_extract_ms=3.837 ctid_to_rid_ms=0.761 allow_check_ms=0.726 projection_ms=0.953 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=39718 rows_passed=9669 ctid_misses=0 rss_kb_before_eval=28536 rss_kb_after_eval=28536 rss_kb_after_load=30072 rss_kb_after_engine=40872 rss_kb_after_ctid=40872 rss_kb_end=54772 peak_rss_kb_end=54772
tpch0_01,1,1,ours,4,ok,,,0.138,2.433,7.311,0.400,19.860,1083245,7522,481400,158770,38465,19214,0,54520,2,1,eval_ms=0.138 artifact_load_ms=2.433 artifact_parse_ms=1.134 stamp_ms=1.696 bin_ms=0.639 local_sat_ms=0.302 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.311 ctid_map_ms=0.400 filter_ms=19.860 child_exec_ms=8.871 ctid_extract_ms=2.153 ctid_to_rid_ms=0.922 allow_check_ms=0.852 projection_ms=1.200 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=38465 rows_passed=19214 ctid_misses=0 rss_kb_before_eval=28024 rss_kb_after_eval=28024 rss_kb_after_load=30072 rss_kb_after_engine=40360 rss_kb_after_ctid=40360 rss_kb_end=54520 peak_rss_kb_end=54520
tpch0_01,1,1,ours,5,ok,,,0.153,2.347,6.944,0.388,31.511,1083245,7522,481400,158770,64104,34055,0,55012,2,1,eval_ms=0.153 artifact_load_ms=2.347 artifact_parse_ms=1.114 stamp_ms=1.584 bin_ms=0.607 local_sat_ms=0.295 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.944 ctid_map_ms=0.388 filter_ms=31.511 child_exec_ms=7.394 ctid_extract_ms=7.877 ctid_to_rid_ms=1.441 allow_check_ms=1.346 projection_ms=3.990 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=64104 rows_passed=34055 ctid_misses=0 rss_kb_before_eval=28536 rss_kb_after_eval=28536 rss_kb_after_load=30584 rss_kb_after_engine=40872 rss_kb_after_ctid=40872 rss_kb_end=55012 peak_rss_kb_end=55012
tpch0_01,1,1,ours,6,ok,,,0.122,2.308,7.004,0.357,7.966,1083245,7522,481400,158770,1198,1198,0,50476,2,1,eval_ms=0.122 artifact_load_ms=2.308 artifact_parse_ms=1.107 stamp_ms=1.581 bin_ms=0.606 local_sat_ms=0.294 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.004 ctid_map_ms=0.357 filter_ms=7.966 child_exec_ms=7.355 ctid_extract_ms=0.149 ctid_to_rid_ms=0.049 allow_check_ms=0.030 projection_ms=0.137 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1198 rows_passed=1198 ctid_misses=0 rss_kb_before_eval=27488 rss_kb_after_eval=27488 rss_kb_after_load=29572 rss_kb_after_engine=39724 rss_kb_after_ctid=39724 rss_kb_end=50476 peak_rss_kb_end=50476
tpch0_01,1,1,ours,7,ok,,,0.155,2.300,6.981,0.390,17.132,1083245,7522,481400,158770,34577,20525,0,54980,2,1,eval_ms=0.155 artifact_load_ms=2.300 artifact_parse_ms=1.089 stamp_ms=1.589 bin_ms=0.611 local_sat_ms=0.304 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.981 ctid_map_ms=0.390 filter_ms=17.132 child_exec_ms=8.128 ctid_extract_ms=2.375 ctid_to_rid_ms=0.434 allow_check_ms=0.398 projection_ms=1.808 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=34577 rows_passed=20525 ctid_misses=0 rss_kb_before_eval=28536 rss_kb_after_eval=28536 rss_kb_after_load=30584 rss_kb_after_engine=40872 rss_kb_after_ctid=40872 rss_kb_end=54980 peak_rss_kb_end=54980
tpch0_01,1,1,ours,8,ok,,,0.154,2.167,7.004,0.345,32.125,1083245,7522,481400,158770,66336,36287,0,56120,2,1,eval_ms=0.154 artifact_load_ms=2.167 artifact_parse_ms=1.135 stamp_ms=1.616 bin_ms=0.609 local_sat_ms=0.291 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.004 ctid_map_ms=0.345 filter_ms=32.125 child_exec_ms=7.751 ctid_extract_ms=7.887 ctid_to_rid_ms=1.438 allow_check_ms=1.328 projection_ms=4.131 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=66336 rows_passed=36287 ctid_misses=0 rss_kb_before_eval=29048 rss_kb_after_eval=29048 rss_kb_after_load=30584 rss_kb_after_engine=40760 rss_kb_after_ctid=40760 rss_kb_end=56120 peak_rss_kb_end=56120
tpch0_01,1,1,ours,9,ok,,,0.159,2.375,7.186,0.394,37.171,1083245,7522,481400,158770,83414,53365,0,57080,2,1,eval_ms=0.159 artifact_load_ms=2.375 artifact_parse_ms=1.174 stamp_ms=1.682 bin_ms=0.637 local_sat_ms=0.315 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.186 ctid_map_ms=0.394 filter_ms=37.171 child_exec_ms=8.442 ctid_extract_ms=8.920 ctid_to_rid_ms=1.425 allow_check_ms=1.336 projection_ms=5.966 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=83414 rows_passed=53365 ctid_misses=0 rss_kb_before_eval=29052 rss_kb_after_eval=29052 rss_kb_after_load=30588 rss_kb_after_engine=40696 rss_kb_after_ctid=40696 rss_kb_end=57080 peak_rss_kb_end=57080
tpch0_01,1,1,ours,10,ok,,,0.141,2.257,7.199,0.392,11.383,1083245,7522,481400,158770,17020,17020,0,55372,2,1,eval_ms=0.141 artifact_load_ms=2.257 artifact_parse_ms=1.133 stamp_ms=1.656 bin_ms=0.636 local_sat_ms=0.322 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.199 ctid_map_ms=0.392 filter_ms=11.383 child_exec_ms=5.110 ctid_extract_ms=0.341 ctid_to_rid_ms=0.374 allow_check_ms=0.339 projection_ms=2.291 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=17020 rows_passed=17020 ctid_misses=0 rss_kb_before_eval=28540 rss_kb_after_eval=28540 rss_kb_after_load=30588 rss_kb_after_engine=40876 rss_kb_after_ctid=40876 rss_kb_end=55372 peak_rss_kb_end=55372
