row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_01,1,1,ours,__setup__,82.634,1083254,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,1,1,rls_with_index,__setup__,52.858,868352,,,,,,,,,,,,,,,ok,,
query,tpch0_01,1,1,ours,1,,,91.180,47600,90.812,51696,,,,,,,,,90.812,51696,ok,,
query,tpch0_01,1,1,rls_with_index,1,,,60.671,28952,60.456,31512,,,,,,,,,60.456,31512,ok,,
query,tpch0_01,1,1,ours,2,,,30.692,24372,30.479,30576,,,,,,,,,30.479,30576,ok,,
query,tpch0_01,1,1,rls_with_index,2,,,30.529,17048,30.370,23320,,,,,,,,,30.370,23320,ok,,
query,tpch0_01,1,1,ours,3,,,60.776,49904,30.557,52464,,,,,,,,,30.557,52464,ok,,
query,tpch0_01,1,1,rls_with_index,3,,,30.543,17048,30.392,36228,,,,,,,,,30.392,36228,ok,,
query,tpch0_01,1,1,ours,4,,,60.766,52080,30.440,54128,,,,,,,,,30.440,54128,ok,,
query,tpch0_01,1,1,rls_with_index,4,,,30.529,17048,30.374,35856,,,,,,,,,30.374,35856,ok,,
query,tpch0_01,1,1,ours,5,,,60.778,49444,60.542,56612,,,,,,,,,60.542,56612,ok,,
query,tpch0_01,1,1,rls_with_index,5,,,30.538,17048,30.388,36632,,,,,,,,,30.388,36632,ok,,
query,tpch0_01,1,1,ours,6,,,30.692,24372,30.449,49552,,,,,,,,,30.449,49552,ok,,
query,tpch0_01,1,1,rls_with_index,6,,,30.535,17048,30.363,30940,,,,,,,,,30.363,30940,ok,,
query,tpch0_01,1,1,ours,7,,,60.771,53572,30.448,54596,,,,,,,,,30.448,54596,ok,,
query,tpch0_01,1,1,rls_with_index,7,,,30.525,17048,30.443,36608,,,,,,,,,30.443,36608,ok,,
query,tpch0_01,1,1,ours,8,,,60.787,49552,60.557,57232,,,,,,,,,60.557,57232,ok,,
query,tpch0_01,1,1,rls_with_index,8,,,30.535,17056,30.385,37128,,,,,,,,,30.385,37128,ok,,
query,tpch0_01,1,1,ours,9,,,60.793,46912,60.554,58688,,,,,,,,,60.554,58688,ok,,
query,tpch0_01,1,1,rls_with_index,9,,,30.546,17052,30.368,39196,,,,,,,,,30.368,39196,ok,,
query,tpch0_01,1,1,ours,10,,,30.661,24376,30.515,55012,,,,,,,,,30.515,55012,ok,,
query,tpch0_01,1,1,rls_with_index,10,,,30.547,17052,30.380,37660,,,,,,,,,30.380,37660,ok,,
query,tpch0_01,1,1,ours,11,,,30.695,24376,30.453,30588,,,,,,,,,30.453,30588,ok,,
query,tpch0_01,1,1,rls_with_index,11,,,30.540,17564,30.379,22752,,,,,,,,,30.379,22752,ok,,
query,tpch0_01,1,1,ours,12,,,30.699,24376,30.455,54184,,,,,,,,,30.455,54184,ok,,
query,tpch0_01,1,1,rls_with_index,12,,,30.527,17052,30.372,36084,,,,,,,,,30.372,36084,ok,,
query,tpch0_01,1,1,ours,13,,,30.696,24376,30.439,32124,,,,,,,,,30.439,32124,ok,,
query,tpch0_01,1,1,rls_with_index,13,,,30.533,17052,30.393,24860,,,,,,,,,30.393,24860,ok,,
query,tpch0_01,1,1,ours,14,,,30.689,24376,30.449,50096,,,,,,,,,30.449,50096,ok,,
query,tpch0_01,1,1,rls_with_index,14,,,30.535,17052,30.362,32540,,,,,,,,,30.362,32540,ok,,
query,tpch0_01,1,1,ours,15,,,30.688,24376,30.477,51056,,,,,,,,,30.477,51056,ok,,
query,tpch0_01,1,1,rls_with_index,15,,,30.537,17052,30.384,33568,,,,,,,,,30.384,33568,ok,,
query,tpch0_01,1,1,ours,16,,,30.681,24376,30.470,30076,,,,,,,,,30.470,30076,ok,,
query,tpch0_01,1,1,rls_with_index,16,,,30.540,17052,30.378,22752,,,,,,,,,30.378,22752,ok,,
query,tpch0_01,1,1,ours,17,,,120.943,102588,90.618,105148,,,,,,,,,90.618,105148,ok,,
query,tpch0_01,1,1,rls_with_index,17,,,120.757,32536,90.485,32536,,,,,,,,,90.485,32536,ok,,
query,tpch0_01,1,1,ours,18,,,60.746,47556,60.522,53188,,,,,,,,,60.522,53188,ok,,
query,tpch0_01,1,1,rls_with_index,18,,,30.539,17048,30.345,33400,,,,,,,,,30.345,33400,ok,,
query,tpch0_01,1,1,ours,19,,,30.693,24372,30.596,50732,,,,,,,,,30.596,50732,ok,,
query,tpch0_01,1,1,rls_with_index,19,,,211.019,32564,210.965,33588,,,,,,,,,210.965,33588,ok,,
query,tpch0_01,1,1,ours,20,,,27351.250,125876,27286.167,128956,,,,,,,,,27286.167,128956,ok,,
query,tpch0_01,1,1,rls_with_index,20,,,26503.639,112544,26262.828,113056,,,,,,,,,26262.828,113056,ok,,
query,tpch0_01,1,1,ours,21,,,753.575,53960,723.112,56520,,,,,,,,,723.112,56520,ok,,
query,tpch0_01,1,1,rls_with_index,21,,,60.676,37656,30.602,37656,,,,,,,,,30.602,37656,ok,,
query,tpch0_01,1,1,ours,22,,,30.717,24372,30.468,32712,,,,,,,,,30.468,32712,ok,,
query,tpch0_01,1,1,rls_with_index,22,,,30.550,17048,30.381,25344,,,,,,,,,30.381,25344,ok,,
setup,tpch0_01,5,"1,2,3,4,5",ours,__setup__,528.109,2954322,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,5,"1,2,3,4,5",rls_with_index,__setup__,278.035,7692288,,,,,,,,,,,,,,,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,1,,,452.690,52112,60.953,56708,,,,,,,,,60.953,56708,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,1,,,30.761,17048,30.613,32572,,,,,,,,,30.613,32572,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,2,,,30.837,24372,30.557,31096,,,,,,,,,30.557,31096,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,2,,,30.538,17048,30.402,23320,,,,,,,,,30.402,23320,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,3,,,422.201,47288,60.711,61768,,,,,,,,,60.711,61768,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,3,,,30.582,17048,30.554,37120,,,,,,,,,30.554,37120,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,4,,,422.213,47512,60.690,60976,,,,,,,,,60.690,60976,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,4,,,30.682,17052,30.436,36612,,,,,,,,,30.436,36612,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,5,,,452.408,57200,60.714,61540,,,,,,,,,60.714,61540,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,5,,,30.618,17052,30.536,37660,,,,,,,,,30.536,37660,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,6,,,422.246,47076,30.595,52740,,,,,,,,,30.595,52740,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,6,,,30.601,17052,30.487,32540,,,,,,,,,30.487,32540,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,7,,,422.279,47956,60.784,62076,,,,,,,,,60.784,62076,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,7,,,30.597,17052,30.342,37636,,,,,,,,,30.342,37636,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,8,,,452.363,57488,60.743,61824,,,,,,,,,60.743,61824,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,8,,,30.644,17052,30.457,38148,,,,,,,,,30.457,38148,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,9,,,452.343,54672,60.759,63672,,,,,,,,,60.759,63672,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,9,,,30.617,17052,30.481,39708,,,,,,,,,30.481,39708,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,10,,,422.225,48376,30.651,57580,,,,,,,,,30.651,57580,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,10,,,30.613,17052,30.469,37660,,,,,,,,,30.469,37660,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,11,,,30.885,24376,30.563,30588,,,,,,,,,30.563,30588,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,11,,,30.550,17052,30.452,23324,,,,,,,,,30.452,23324,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,12,,,422.249,47640,30.696,56460,,,,,,,,,30.696,56460,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,12,,,30.580,17056,30.485,36616,,,,,,,,,30.485,36616,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,13,,,30.818,24372,30.541,32120,,,,,,,,,30.541,32120,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,13,,,30.535,17056,30.404,24864,,,,,,,,,30.404,24864,ok,,
