db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,1,ok,,,0.120,2.301,6.937,0.402,33.519,1083245,7522,481400,158770,60175,30126,0,47892,2,1,eval_ms=0.120 artifact_load_ms=2.301 artifact_parse_ms=1.075 stamp_ms=1.587 bin_ms=0.607 local_sat_ms=0.297 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.937 ctid_map_ms=0.402 filter_ms=33.519 child_exec_ms=8.128 ctid_extract_ms=9.375 ctid_to_rid_ms=1.433 allow_check_ms=1.329 projection_ms=4.153 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=30126 ctid_misses=0 rss_kb_before_eval=26984 rss_kb_after_eval=26984 rss_kb_after_load=28520 rss_kb_after_engine=38676 rss_kb_after_ctid=38676 rss_kb_end=47892 peak_rss_kb_end=47892
tpch0_01,1,1,ours,2,ok,,,0.083,0.000,0.000,0.000,6.165,0,0,0,0,8991,8991,0,29548,2,1,eval_ms=0.083 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.165 child_exec_ms=4.505 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.767 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8991 rows_passed=8991 ctid_misses=0 rss_kb_before_eval=26988 rss_kb_after_eval=26988 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=29548 peak_rss_kb_end=29548
tpch0_01,1,1,ours,3,ok,,,0.111,1.962,6.001,0.296,19.031,1083245,7522,481400,158770,39718,9669,0,50200,2,1,eval_ms=0.111 artifact_load_ms=1.962 artifact_parse_ms=0.944 stamp_ms=1.341 bin_ms=0.514 local_sat_ms=0.262 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.001 ctid_map_ms=0.296 filter_ms=19.031 child_exec_ms=8.259 ctid_extract_ms=3.798 ctid_to_rid_ms=0.751 allow_check_ms=0.706 projection_ms=0.850 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=39718 rows_passed=9669 ctid_misses=0 rss_kb_before_eval=27504 rss_kb_after_eval=27504 rss_kb_after_load=29040 rss_kb_after_engine=39328 rss_kb_after_ctid=39328 rss_kb_end=50200 peak_rss_kb_end=50200
tpch0_01,1,1,ours,4,ok,,,0.142,2.454,7.337,0.401,19.857,1083245,7522,481400,158770,38465,19214,0,50456,2,1,eval_ms=0.142 artifact_load_ms=2.454 artifact_parse_ms=1.151 stamp_ms=1.721 bin_ms=0.640 local_sat_ms=0.313 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.337 ctid_map_ms=0.401 filter_ms=19.857 child_exec_ms=8.809 ctid_extract_ms=2.167 ctid_to_rid_ms=0.926 allow_check_ms=0.863 projection_ms=1.194 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=38465 rows_passed=19214 ctid_misses=0 rss_kb_before_eval=27548 rss_kb_after_eval=27548 rss_kb_after_load=29084 rss_kb_after_engine=39372 rss_kb_after_ctid=39372 rss_kb_end=50456 peak_rss_kb_end=50456
tpch0_01,1,1,ours,5,ok,,,0.117,1.949,5.957,0.333,30.797,1083245,7522,481400,158770,64104,34055,0,50448,2,1,eval_ms=0.117 artifact_load_ms=1.949 artifact_parse_ms=0.927 stamp_ms=1.329 bin_ms=0.513 local_sat_ms=0.255 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=5.957 ctid_map_ms=0.333 filter_ms=30.797 child_exec_ms=7.057 ctid_extract_ms=7.806 ctid_to_rid_ms=1.422 allow_check_ms=1.322 projection_ms=3.919 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=64104 rows_passed=34055 ctid_misses=0 rss_kb_before_eval=27504 rss_kb_after_eval=27504 rss_kb_after_load=29552 rss_kb_after_engine=39840 rss_kb_after_ctid=39840 rss_kb_end=50448 peak_rss_kb_end=50448
tpch0_01,1,1,ours,6,ok,,,0.122,2.483,7.307,0.346,7.953,1083245,7522,481400,158770,1198,1198,0,47908,2,1,eval_ms=0.122 artifact_load_ms=2.483 artifact_parse_ms=1.115 stamp_ms=1.668 bin_ms=0.639 local_sat_ms=0.318 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.307 ctid_map_ms=0.346 filter_ms=7.953 child_exec_ms=7.334 ctid_extract_ms=0.151 ctid_to_rid_ms=0.054 allow_check_ms=0.030 projection_ms=0.140 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1198 rows_passed=1198 ctid_misses=0 rss_kb_before_eval=26456 rss_kb_after_eval=26456 rss_kb_after_load=28540 rss_kb_after_engine=38692 rss_kb_after_ctid=38692 rss_kb_end=47908 peak_rss_kb_end=47908
tpch0_01,1,1,ours,7,ok,,,0.123,1.948,5.979,0.322,16.501,1083245,7522,481400,158770,34577,20525,0,50372,2,1,eval_ms=0.123 artifact_load_ms=1.948 artifact_parse_ms=0.929 stamp_ms=1.384 bin_ms=0.522 local_sat_ms=0.252 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=5.979 ctid_map_ms=0.322 filter_ms=16.501 child_exec_ms=7.887 ctid_extract_ms=2.349 ctid_to_rid_ms=0.426 allow_check_ms=0.393 projection_ms=1.658 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=34577 rows_passed=20525 ctid_misses=0 rss_kb_before_eval=27508 rss_kb_after_eval=27508 rss_kb_after_load=29556 rss_kb_after_engine=39844 rss_kb_after_ctid=39844 rss_kb_end=50372 peak_rss_kb_end=50372
tpch0_01,1,1,ours,8,ok,,,0.152,2.203,7.143,0.350,31.977,1083245,7522,481400,158770,66336,36287,0,51512,2,1,eval_ms=0.152 artifact_load_ms=2.203 artifact_parse_ms=1.177 stamp_ms=1.625 bin_ms=0.606 local_sat_ms=0.304 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.143 ctid_map_ms=0.350 filter_ms=31.977 child_exec_ms=7.652 ctid_extract_ms=7.849 ctid_to_rid_ms=1.412 allow_check_ms=1.330 projection_ms=4.135 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=66336 rows_passed=36287 ctid_misses=0 rss_kb_before_eval=28020 rss_kb_after_eval=28020 rss_kb_after_load=29556 rss_kb_after_engine=39736 rss_kb_after_ctid=39736 rss_kb_end=51512 peak_rss_kb_end=51512
tpch0_01,1,1,ours,9,ok,,,0.130,1.961,5.929,0.332,36.466,1083245,7522,481400,158770,83414,53365,0,52464,2,1,eval_ms=0.130 artifact_load_ms=1.961 artifact_parse_ms=0.917 stamp_ms=1.368 bin_ms=0.514 local_sat_ms=0.253 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=5.929 ctid_map_ms=0.332 filter_ms=36.466 child_exec_ms=8.129 ctid_extract_ms=8.856 ctid_to_rid_ms=1.416 allow_check_ms=1.317 projection_ms=5.817 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=83414 rows_passed=53365 ctid_misses=0 rss_kb_before_eval=28020 rss_kb_after_eval=28020 rss_kb_after_load=29556 rss_kb_after_engine=39664 rss_kb_after_ctid=39664 rss_kb_end=52464 peak_rss_kb_end=52464
tpch0_01,1,1,ours,10,ok,,,0.136,2.294,7.251,0.393,11.402,1083245,7522,481400,158770,17020,17020,0,50816,2,1,eval_ms=0.136 artifact_load_ms=2.294 artifact_parse_ms=1.141 stamp_ms=1.657 bin_ms=0.645 local_sat_ms=0.314 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.251 ctid_map_ms=0.393 filter_ms=11.402 child_exec_ms=5.094 ctid_extract_ms=0.345 ctid_to_rid_ms=0.375 allow_check_ms=0.340 projection_ms=2.286 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=17020 rows_passed=17020 ctid_misses=0 rss_kb_before_eval=27504 rss_kb_after_eval=27504 rss_kb_after_load=29552 rss_kb_after_engine=39840 rss_kb_after_ctid=39840 rss_kb_end=50816 peak_rss_kb_end=50816
