row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_01,1,1,ours,__setup__,83.668,1083254,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,1,1,rls_with_index,__setup__,56.574,868352,,,,,,,,,,,,,,,ok,,
query,tpch0_01,1,1,ours,1,,,91.425,45072,90.748,49168,,,,,,,,,90.748,49168,ok,,
query,tpch0_01,1,1,rls_with_index,1,,,60.830,26444,60.741,29004,,,,,,,,,60.741,29004,ok,,
query,tpch0_01,1,1,ours,2,,,30.736,24400,30.696,29572,,,,,,,,,30.696,29572,ok,,
query,tpch0_01,1,1,rls_with_index,2,,,30.595,16568,30.357,21772,,,,,,,,,30.357,21772,ok,,
query,tpch0_01,1,1,ours,3,,,60.774,47216,30.611,49776,,,,,,,,,30.611,49776,ok,,
query,tpch0_01,1,1,rls_with_index,3,,,30.547,16572,30.474,31520,,,,,,,,,30.474,31520,ok,,
query,tpch0_01,1,1,ours,4,,,60.745,48984,30.468,50008,,,,,,,,,30.468,50008,ok,,
query,tpch0_01,1,1,rls_with_index,4,,,30.567,16572,30.437,31796,,,,,,,,,30.437,31796,ok,,
query,tpch0_01,1,1,ours,5,,,60.812,45380,60.697,52036,,,,,,,,,60.697,52036,ok,,
query,tpch0_01,1,1,rls_with_index,5,,,30.570,16572,30.489,32572,,,,,,,,,30.489,32572,ok,,
query,tpch0_01,1,1,ours,6,,,30.631,23896,30.445,46992,,,,,,,,,30.445,46992,ok,,
query,tpch0_01,1,1,rls_with_index,6,,,30.509,16572,30.491,28884,,,,,,,,,30.491,28884,ok,,
query,tpch0_01,1,1,ours,7,,,60.850,48932,30.534,49956,,,,,,,,,30.534,49956,ok,,
query,tpch0_01,1,1,rls_with_index,7,,,30.514,16572,30.358,32508,,,,,,,,,30.358,32508,ok,,
query,tpch0_01,1,1,ours,8,,,60.705,46480,60.631,52624,,,,,,,,,60.631,52624,ok,,
query,tpch0_01,1,1,rls_with_index,8,,,30.505,16572,30.518,32508,,,,,,,,,30.518,32508,ok,,
query,tpch0_01,1,1,ours,9,,,60.765,44344,60.624,54072,,,,,,,,,60.624,54072,ok,,
query,tpch0_01,1,1,rls_with_index,9,,,30.542,16572,30.472,34068,,,,,,,,,30.472,34068,ok,,
query,tpch0_01,1,1,ours,10,,,30.652,23896,30.545,50328,,,,,,,,,30.545,50328,ok,,
query,tpch0_01,1,1,rls_with_index,10,,,30.509,16572,30.387,33100,,,,,,,,,30.387,33100,ok,,
query,tpch0_01,1,1,ours,11,,,30.689,23896,30.535,29040,,,,,,,,,30.535,29040,ok,,
query,tpch0_01,1,1,rls_with_index,11,,,30.536,16572,30.524,21776,,,,,,,,,30.524,21776,ok,,
query,tpch0_01,1,1,ours,12,,,30.648,23896,30.532,50084,,,,,,,,,30.532,50084,ok,,
query,tpch0_01,1,1,rls_with_index,12,,,30.509,16572,30.472,31976,,,,,,,,,30.472,31976,ok,,
query,tpch0_01,1,1,ours,13,,,30.667,23896,30.433,29552,,,,,,,,,30.433,29552,ok,,
query,tpch0_01,1,1,rls_with_index,13,,,30.538,16572,30.453,22288,,,,,,,,,30.453,22288,ok,,
query,tpch0_01,1,1,ours,14,,,30.638,23896,30.444,47532,,,,,,,,,30.444,47532,ok,,
query,tpch0_01,1,1,rls_with_index,14,,,30.516,16572,30.424,29968,,,,,,,,,30.424,29968,ok,,
query,tpch0_01,1,1,ours,15,,,30.718,24408,30.478,48472,,,,,,,,,30.478,48472,ok,,
query,tpch0_01,1,1,rls_with_index,15,,,30.514,16572,30.343,30480,,,,,,,,,30.343,30480,ok,,
query,tpch0_01,1,1,ours,16,,,30.641,23896,30.530,29040,,,,,,,,,30.530,29040,ok,,
query,tpch0_01,1,1,rls_with_index,16,,,30.518,16572,30.438,21716,,,,,,,,,30.438,21716,ok,,
query,tpch0_01,1,1,ours,17,,,120.947,100024,90.754,102584,,,,,,,,,90.754,102584,ok,,
query,tpch0_01,1,1,rls_with_index,17,,,120.821,29456,120.632,29456,,,,,,,,,120.632,29456,ok,,
query,tpch0_01,1,1,ours,18,,,60.829,44992,60.662,50624,,,,,,,,,60.662,50624,ok,,
query,tpch0_01,1,1,rls_with_index,18,,,30.648,16572,30.369,30320,,,,,,,,,30.369,30320,ok,,
query,tpch0_01,1,1,ours,19,,,30.684,23896,30.551,47660,,,,,,,,,30.551,47660,ok,,
query,tpch0_01,1,1,rls_with_index,19,,,211.159,29996,180.847,30508,,,,,,,,,180.847,30508,ok,,
query,tpch0_01,1,1,ours,21,,,753.431,49860,723.056,52420,,,,,,,,,723.056,52420,ok,,
