db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,1,ok,,,0.112,2.299,6.933,0.400,33.488,1083245,7522,481400,158770,60175,30126,0,48416,2,1,eval_ms=0.112 artifact_load_ms=2.299 artifact_parse_ms=1.082 stamp_ms=1.597 bin_ms=0.609 local_sat_ms=0.295 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.933 ctid_map_ms=0.400 filter_ms=33.488 child_exec_ms=8.113 ctid_extract_ms=9.387 ctid_to_rid_ms=1.430 allow_check_ms=1.332 projection_ms=4.158 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=30126 ctid_misses=0 rss_kb_before_eval=27508 rss_kb_after_eval=27508 rss_kb_after_load=29044 rss_kb_after_engine=39200 rss_kb_after_ctid=39200 rss_kb_end=48416 peak_rss_kb_end=48416
tpch0_01,1,1,ours,2,ok,,,0.079,0.000,0.000,0.000,6.165,0,0,0,0,8991,8991,0,30068,2,1,eval_ms=0.079 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.165 child_exec_ms=4.516 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.765 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8991 rows_passed=8991 ctid_misses=0 rss_kb_before_eval=26996 rss_kb_after_eval=26996 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=30068 peak_rss_kb_end=30068
tpch0_01,1,1,ours,3,ok,,,0.129,2.396,7.337,0.345,19.792,1083245,7522,481400,158770,39718,9669,0,50688,2,1,eval_ms=0.129 artifact_load_ms=2.396 artifact_parse_ms=1.139 stamp_ms=1.670 bin_ms=0.640 local_sat_ms=0.310 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.337 ctid_map_ms=0.345 filter_ms=19.792 child_exec_ms=8.645 ctid_extract_ms=3.873 ctid_to_rid_ms=0.764 allow_check_ms=0.720 projection_ms=0.949 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=39718 rows_passed=9669 ctid_misses=0 rss_kb_before_eval=27508 rss_kb_after_eval=27508 rss_kb_after_load=29556 rss_kb_after_engine=39844 rss_kb_after_ctid=39844 rss_kb_end=50688 peak_rss_kb_end=50688
tpch0_01,1,1,ours,4,ok,,,0.143,2.497,7.351,0.410,19.970,1083245,7522,481400,158770,38465,19214,0,50416,2,1,eval_ms=0.143 artifact_load_ms=2.497 artifact_parse_ms=1.158 stamp_ms=1.701 bin_ms=0.638 local_sat_ms=0.319 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.351 ctid_map_ms=0.410 filter_ms=19.970 child_exec_ms=8.914 ctid_extract_ms=2.161 ctid_to_rid_ms=0.930 allow_check_ms=0.857 projection_ms=1.196 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=38465 rows_passed=19214 ctid_misses=0 rss_kb_before_eval=27508 rss_kb_after_eval=27508 rss_kb_after_load=29556 rss_kb_after_engine=39844 rss_kb_after_ctid=39844 rss_kb_end=50416 peak_rss_kb_end=50416
tpch0_01,1,1,ours,5,ok,,,0.144,2.202,6.758,0.371,31.312,1083245,7522,481400,158770,64104,34055,0,50920,2,1,eval_ms=0.144 artifact_load_ms=2.202 artifact_parse_ms=1.041 stamp_ms=1.571 bin_ms=0.598 local_sat_ms=0.285 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.758 ctid_map_ms=0.371 filter_ms=31.312 child_exec_ms=7.300 ctid_extract_ms=7.852 ctid_to_rid_ms=1.453 allow_check_ms=1.343 projection_ms=3.946 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=64104 rows_passed=34055 ctid_misses=0 rss_kb_before_eval=28020 rss_kb_after_eval=28020 rss_kb_after_load=30068 rss_kb_after_engine=40356 rss_kb_after_ctid=40356 rss_kb_end=50920 peak_rss_kb_end=50920
tpch0_01,1,1,ours,6,ok,,,0.106,2.244,6.817,0.343,7.883,1083245,7522,481400,158770,1198,1198,0,48424,2,1,eval_ms=0.106 artifact_load_ms=2.244 artifact_parse_ms=1.072 stamp_ms=1.566 bin_ms=0.580 local_sat_ms=0.288 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.817 ctid_map_ms=0.343 filter_ms=7.883 child_exec_ms=7.272 ctid_extract_ms=0.146 ctid_to_rid_ms=0.062 allow_check_ms=0.030 projection_ms=0.131 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1198 rows_passed=1198 ctid_misses=0 rss_kb_before_eval=26972 rss_kb_after_eval=26972 rss_kb_after_load=29056 rss_kb_after_engine=39208 rss_kb_after_ctid=39208 rss_kb_end=48424 peak_rss_kb_end=48424
tpch0_01,1,1,ours,7,ok,,,0.150,2.392,7.354,0.369,17.073,1083245,7522,481400,158770,34577,20525,0,51396,2,1,eval_ms=0.150 artifact_load_ms=2.392 artifact_parse_ms=1.138 stamp_ms=1.694 bin_ms=0.671 local_sat_ms=0.308 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.354 ctid_map_ms=0.369 filter_ms=17.073 child_exec_ms=8.059 ctid_extract_ms=2.404 ctid_to_rid_ms=0.435 allow_check_ms=0.401 projection_ms=1.814 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=34577 rows_passed=20525 ctid_misses=0 rss_kb_before_eval=28020 rss_kb_after_eval=28020 rss_kb_after_load=30068 rss_kb_after_engine=40356 rss_kb_after_ctid=40356 rss_kb_end=51396 peak_rss_kb_end=51396
tpch0_01,1,1,ours,8,ok,,,0.151,2.131,6.988,0.342,32.013,1083245,7522,481400,158770,66336,36287,0,52024,2,1,eval_ms=0.151 artifact_load_ms=2.131 artifact_parse_ms=1.125 stamp_ms=1.604 bin_ms=0.609 local_sat_ms=0.293 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.988 ctid_map_ms=0.342 filter_ms=32.013 child_exec_ms=7.676 ctid_extract_ms=7.869 ctid_to_rid_ms=1.429 allow_check_ms=1.332 projection_ms=4.119 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=66336 rows_passed=36287 ctid_misses=0 rss_kb_before_eval=28532 rss_kb_after_eval=28532 rss_kb_after_load=30068 rss_kb_after_engine=40248 rss_kb_after_ctid=40248 rss_kb_end=52024 peak_rss_kb_end=52024
tpch0_01,1,1,ours,9,ok,,,0.162,2.400,7.204,0.387,37.169,1083245,7522,481400,158770,83414,53365,0,52976,2,1,eval_ms=0.162 artifact_load_ms=2.400 artifact_parse_ms=1.139 stamp_ms=1.665 bin_ms=0.639 local_sat_ms=0.313 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.204 ctid_map_ms=0.387 filter_ms=37.169 child_exec_ms=8.381 ctid_extract_ms=8.993 ctid_to_rid_ms=1.429 allow_check_ms=1.333 projection_ms=5.952 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=83414 rows_passed=53365 ctid_misses=0 rss_kb_before_eval=28532 rss_kb_after_eval=28532 rss_kb_after_load=30068 rss_kb_after_engine=40176 rss_kb_after_ctid=40176 rss_kb_end=52976 peak_rss_kb_end=52976
tpch0_01,1,1,ours,10,ok,,,0.138,2.277,7.233,0.395,11.365,1083245,7522,481400,158770,17020,17020,0,51784,2,1,eval_ms=0.138 artifact_load_ms=2.277 artifact_parse_ms=1.152 stamp_ms=1.670 bin_ms=0.642 local_sat_ms=0.312 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.233 ctid_map_ms=0.395 filter_ms=11.365 child_exec_ms=5.105 ctid_extract_ms=0.341 ctid_to_rid_ms=0.370 allow_check_ms=0.335 projection_ms=2.281 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=17020 rows_passed=17020 ctid_misses=0 rss_kb_before_eval=28020 rss_kb_after_eval=28020 rss_kb_after_load=30068 rss_kb_after_engine=40356 rss_kb_after_ctid=40356 rss_kb_end=51784 peak_rss_kb_end=51784
