row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_01,1,1,ours,__setup__,78.837,1083254,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,1,1,rls_with_index,__setup__,53.148,868352,,,,,,,,,,,,,,,ok,,
query,tpch0_01,1,1,ours,1,,,91.335,45500,90.689,49596,,,,,,,,,90.689,49596,ok,,
query,tpch0_01,1,1,rls_with_index,1,,,60.675,27412,60.800,29460,,,,,,,,,60.800,29460,ok,,
query,tpch0_01,1,1,ours,2,,,30.701,23844,30.491,30080,,,,,,,,,30.491,30080,ok,,
query,tpch0_01,1,1,rls_with_index,2,,,30.532,16520,30.378,22292,,,,,,,,,30.378,22292,ok,,
query,tpch0_01,1,1,ours,3,,,60.798,48208,30.482,50256,,,,,,,,,30.482,50256,ok,,
query,tpch0_01,1,1,rls_with_index,3,,,30.545,16520,30.379,31996,,,,,,,,,30.379,31996,ok,,
query,tpch0_01,1,1,ours,4,,,60.782,47920,30.467,49968,,,,,,,,,30.467,49968,ok,,
query,tpch0_01,1,1,rls_with_index,4,,,30.520,16520,30.366,31756,,,,,,,,,30.366,31756,ok,,
query,tpch0_01,1,1,ours,5,,,60.774,45852,60.531,52508,,,,,,,,,60.531,52508,ok,,
query,tpch0_01,1,1,rls_with_index,5,,,30.603,16520,30.373,33044,,,,,,,,,30.373,33044,ok,,
query,tpch0_01,1,1,ours,6,,,30.693,23844,30.462,47508,,,,,,,,,30.462,47508,ok,,
query,tpch0_01,1,1,rls_with_index,6,,,30.554,16520,30.362,28888,,,,,,,,,30.362,28888,ok,,
query,tpch0_01,1,1,ours,7,,,60.839,50400,30.465,50912,,,,,,,,,30.465,50912,ok,,
query,tpch0_01,1,1,rls_with_index,7,,,30.524,16520,30.527,33020,,,,,,,,,30.527,33020,ok,,
query,tpch0_01,1,1,ours,8,,,60.809,45968,60.515,53136,,,,,,,,,60.515,53136,ok,,
query,tpch0_01,1,1,rls_with_index,8,,,30.558,16520,30.362,33020,,,,,,,,,30.362,33020,ok,,
query,tpch0_01,1,1,ours,9,,,60.765,44856,60.545,54584,,,,,,,,,60.545,54584,ok,,
query,tpch0_01,1,1,rls_with_index,9,,,30.548,16520,30.525,34580,,,,,,,,,30.525,34580,ok,,
query,tpch0_01,1,1,ours,10,,,30.695,23844,30.480,51336,,,,,,,,,30.480,51336,ok,,
query,tpch0_01,1,1,rls_with_index,10,,,30.559,16520,30.482,33556,,,,,,,,,30.482,33556,ok,,
query,tpch0_01,1,1,ours,11,,,30.705,23844,30.469,29044,,,,,,,,,30.469,29044,ok,,
query,tpch0_01,1,1,rls_with_index,11,,,30.546,16520,30.392,21780,,,,,,,,,30.392,21780,ok,,
query,tpch0_01,1,1,ours,12,,,30.765,24356,30.468,50600,,,,,,,,,30.468,50600,ok,,
query,tpch0_01,1,1,rls_with_index,12,,,30.552,16520,30.370,32492,,,,,,,,,30.370,32492,ok,,
query,tpch0_01,1,1,ours,13,,,30.689,23844,30.455,29556,,,,,,,,,30.455,29556,ok,,
query,tpch0_01,1,1,rls_with_index,13,,,30.532,16520,30.368,22292,,,,,,,,,30.368,22292,ok,,
query,tpch0_01,1,1,ours,14,,,30.699,23844,30.445,48048,,,,,,,,,30.445,48048,ok,,
query,tpch0_01,1,1,rls_with_index,14,,,30.593,16520,30.360,29972,,,,,,,,,30.360,29972,ok,,
query,tpch0_01,1,1,ours,15,,,30.657,23844,30.441,48980,,,,,,,,,30.441,48980,ok,,
query,tpch0_01,1,1,rls_with_index,15,,,30.542,16520,30.378,30976,,,,,,,,,30.378,30976,ok,,
query,tpch0_01,1,1,ours,16,,,30.755,24416,30.458,29048,,,,,,,,,30.458,29048,ok,,
query,tpch0_01,1,1,rls_with_index,16,,,30.563,16576,30.365,21720,,,,,,,,,30.365,21720,ok,,
query,tpch0_01,1,1,ours,17,,,120.954,100540,90.619,103100,,,,,,,,,90.619,103100,ok,,
query,tpch0_01,1,1,rls_with_index,17,,,90.734,29972,90.529,29972,,,,,,,,,90.529,29972,ok,,
query,tpch0_01,1,1,ours,18,,,60.758,46532,60.539,51140,,,,,,,,,60.539,51140,ok,,
query,tpch0_01,1,1,rls_with_index,18,,,30.538,16576,30.378,30836,,,,,,,,,30.378,30836,ok,,
query,tpch0_01,1,1,ours,19,,,30.654,23900,30.444,48176,,,,,,,,,30.444,48176,ok,,
query,tpch0_01,1,1,rls_with_index,19,,,211.075,30000,210.870,30000,,,,,,,,,210.870,30000,ok,,
query,tpch0_01,1,1,ours,21,,,753.412,50376,723.074,52936,,,,,,,,,723.074,52936,ok,,
query,tpch0_01,1,1,rls_with_index,21,,,60.714,34068,30.446,34068,,,,,,,,,30.446,34068,ok,,
query,tpch0_01,1,1,ours,22,,,30.699,23900,30.470,29556,,,,,,,,,30.470,29556,ok,,
query,tpch0_01,1,1,rls_with_index,22,,,30.538,16576,30.415,22268,,,,,,,,,30.415,22268,ok,,
setup,tpch0_01,5,"1,2,3,4,5",ours,__setup__,525.039,2954322,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,5,"1,2,3,4,5",rls_with_index,__setup__,275.124,7692288,,,,,,,,,,,,,,,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,1,,,452.684,49076,60.718,54688,,,,,,,,,60.718,54688,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,1,,,30.601,16520,30.489,30492,,,,,,,,,30.489,30492,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,2,,,30.863,24356,30.519,30068,,,,,,,,,30.519,30068,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,2,,,30.596,16520,30.375,22292,,,,,,,,,30.375,22292,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,3,,,422.261,46736,60.672,57600,,,,,,,,,60.672,57600,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,3,,,30.598,16520,30.385,33020,,,,,,,,,30.385,33020,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,4,,,422.230,46916,60.695,56676,,,,,,,,,60.695,56676,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,4,,,30.615,16520,30.473,33020,,,,,,,,,30.473,33020,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,5,,,452.389,53572,60.686,57976,,,,,,,,,60.686,57976,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,5,,,30.608,16520,30.353,34068,,,,,,,,,30.353,34068,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,6,,,422.155,46012,30.576,50132,,,,,,,,,30.576,50132,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,6,,,30.592,16520,30.416,30484,,,,,,,,,30.416,30484,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,7,,,422.265,47396,60.679,57404,,,,,,,,,60.679,57404,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,7,,,30.589,16520,30.547,34044,,,,,,,,,30.547,34044,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,8,,,422.255,47608,60.610,58176,,,,,,,,,60.610,58176,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,8,,,30.603,16520,30.646,34556,,,,,,,,,30.646,34556,ok,,
query,tpch0_01,5,"1,2,3,4,5",ours,9,,,452.489,52084,60.741,59080,,,,,,,,,60.741,59080,ok,,
query,tpch0_01,5,"1,2,3,4,5",rls_with_index,9,,,30.611,16520,30.615,35092,,,,,,,,,30.615,35092,ok,,
