row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,__setup__,24519.852,344171741,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,,,7922.820,1101728,7741.253,1139928,,,,,,,,,7741.253,1139928,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,,,7470.598,1102312,7289.566,1140104,,,,,,,,,7289.566,1140104,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,,,6356.412,1101208,6144.900,1138996,,,,,,,,,6144.900,1138996,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,,,1326.444,244576,1295.815,285560,,,,,,,,,1295.815,285560,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,,,964.927,197360,904.271,240480,,,,,,,,,904.271,240480,ok,,
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,46389.485,727015424,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,,,37588.199,241868,37106.596,243596,,,,,,,,,37106.596,243596,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,3,,,3765.723,243864,3674.770,245688,,,,,,,,,3674.770,245688,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,6,,,21564.889,241004,21354.084,242272,,,,,,,,,21354.084,242272,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,8344.067,242172,8132.683,242952,,,,,,,,,8132.683,242952,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,1566.912,231116,1446.110,232172,,,,,,,,,1446.110,232172,ok,,
