db,K,query_id,correctness,ours_count,rls_count,reason
tpch0_1,1,5,1,5,5,
tpch0_1,1,12,1,2,2,
tpch0_1,1,8,1,1,1,
tpch0_1,5,8,1,0,0,
tpch0_1,5,10,1,174,174,
tpch0_1,5,3,1,24,24,
tpch0_1,10,8,1,0,0,
tpch0_1,10,3,1,0,0,
tpch0_1,10,13,1,18,18,
tpch0_1,11,8,skip,,,ours_count_failed: custom_filter[engine_error]: missing allow_bits for policy-required table rel=customer 
tpch0_1,11,10,1,1,1,
tpch0_1,11,18,skip,,,ours_count_failed: custom_filter[engine_error]: missing allow_bits for policy-required table rel=lineitem 
tpch1,1,5,1,5,5,
tpch1,1,7,1,2,2,
tpch1,1,12,1,2,2,
