db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,1,1,ours,3,ok,,,0.080,11.266,18.693,1.472,18.079,12011519,75072,4804576,1584188,3023,2788,0,176828,1,1,eval_ms=0.080 artifact_load_ms=11.266 artifact_parse_ms=0.011 stamp_ms=11.683 bin_ms=4.049 local_sat_ms=0.147 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=18.693 ctid_map_ms=1.472 filter_ms=18.079 child_exec_ms=16.924 ctid_extract_ms=0.188 ctid_to_rid_ms=0.105 allow_check_ms=0.049 projection_ms=0.171 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=3023 rows_passed=2788 ctid_misses=0 rss_kb_before_eval=26504 rss_kb_after_eval=26504 rss_kb_after_load=45596 rss_kb_after_engine=73820 rss_kb_after_ctid=75164 rss_kb_end=176828 peak_rss_kb_end=176828
tpch0_1,1,1,ours,5,ok,,,0.101,16.341,19.758,1.786,13.700,12011519,75072,4804576,1584188,18948,18948,0,179336,1,1,eval_ms=0.101 artifact_load_ms=16.341 artifact_parse_ms=0.011 stamp_ms=12.425 bin_ms=4.331 local_sat_ms=0.141 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.758 ctid_map_ms=1.786 filter_ms=13.700 child_exec_ms=8.779 ctid_extract_ms=1.250 ctid_to_rid_ms=0.446 allow_check_ms=0.297 projection_ms=1.155 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=18948 rows_passed=18948 ctid_misses=0 rss_kb_before_eval=27176 rss_kb_after_eval=27176 rss_kb_after_load=46180 rss_kb_after_engine=74404 rss_kb_after_ctid=75524 rss_kb_end=179336 peak_rss_kb_end=179336
tpch0_1,1,1,ours,7,ok,,,0.066,14.419,20.168,1.746,32.339,12011519,75072,4804576,1584188,41850,30883,0,187596,1,1,eval_ms=0.066 artifact_load_ms=14.419 artifact_parse_ms=0.026 stamp_ms=12.561 bin_ms=4.610 local_sat_ms=0.144 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=20.168 ctid_map_ms=1.746 filter_ms=32.339 child_exec_ms=27.039 ctid_extract_ms=0.986 ctid_to_rid_ms=0.350 allow_check_ms=0.227 projection_ms=1.239 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=41850 rows_passed=30883 ctid_misses=0 rss_kb_before_eval=26952 rss_kb_after_eval=26952 rss_kb_after_load=45976 rss_kb_after_engine=73976 rss_kb_after_ctid=75096 rss_kb_end=187596 peak_rss_kb_end=187596
tpch0_1,1,1,ours,8,ok,,,0.059,11.639,20.032,1.722,37.797,12011519,75072,4804576,1584188,62419,30815,0,193564,1,1,eval_ms=0.059 artifact_load_ms=11.639 artifact_parse_ms=0.012 stamp_ms=12.598 bin_ms=4.397 local_sat_ms=0.146 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=20.032 ctid_map_ms=1.722 filter_ms=37.797 child_exec_ms=28.878 ctid_extract_ms=2.448 ctid_to_rid_ms=0.826 allow_check_ms=0.527 projection_ms=1.342 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=62419 rows_passed=30815 ctid_misses=0 rss_kb_before_eval=27624 rss_kb_after_eval=27624 rss_kb_after_load=46884 rss_kb_after_engine=75108 rss_kb_after_ctid=76452 rss_kb_end=193564 peak_rss_kb_end=193564
tpch0_1,1,1,ours,10,ok,,,0.117,12.504,19.799,1.760,45.969,12011519,75072,4804576,1584188,148301,148301,0,197200,1,1,eval_ms=0.117 artifact_load_ms=12.504 artifact_parse_ms=0.012 stamp_ms=12.406 bin_ms=4.414 local_sat_ms=0.147 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.799 ctid_map_ms=1.760 filter_ms=45.969 child_exec_ms=20.102 ctid_extract_ms=1.627 ctid_to_rid_ms=1.792 allow_check_ms=1.621 projection_ms=7.967 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=148301 rows_passed=148301 ctid_misses=0 rss_kb_before_eval=26952 rss_kb_after_eval=26952 rss_kb_after_load=45516 rss_kb_after_engine=73516 rss_kb_after_ctid=74860 rss_kb_end=197200 peak_rss_kb_end=197200
tpch0_1,1,1,ours,12,ok,,,0.065,13.173,19.254,1.459,52.247,12011519,75072,4804576,1584188,3209,3209,0,190028,1,1,eval_ms=0.065 artifact_load_ms=13.173 artifact_parse_ms=0.013 stamp_ms=12.059 bin_ms=4.247 local_sat_ms=0.146 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.254 ctid_map_ms=1.459 filter_ms=52.247 child_exec_ms=51.419 ctid_extract_ms=0.204 ctid_to_rid_ms=0.100 allow_check_ms=0.043 projection_ms=0.188 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=3209 rows_passed=3209 ctid_misses=0 rss_kb_before_eval=26504 rss_kb_after_eval=26504 rss_kb_after_load=44908 rss_kb_after_engine=73132 rss_kb_after_ctid=74476 rss_kb_end=190028 peak_rss_kb_end=190028
tpch0_1,1,1,ours,13,error,profile_count,policy_profile_lines=2,0.206,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,23368,2,1,eval_ms=0.206 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=0.000 child_exec_ms=0.000 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.000 n_scanned_tables=0 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=0 rows_passed=0 ctid_misses=0 rss_kb_before_eval=23144 rss_kb_after_eval=23368 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=23368 peak_rss_kb_end=23368
tpch0_1,1,1,ours,18,ok,,,0.096,10.758,18.849,1.532,123.038,12011519,75072,4804576,1584188,600584,299857,0,252472,1,1,eval_ms=0.096 artifact_load_ms=10.758 artifact_parse_ms=0.015 stamp_ms=11.579 bin_ms=4.286 local_sat_ms=0.155 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=18.849 ctid_map_ms=1.532 filter_ms=123.038 child_exec_ms=37.633 ctid_extract_ms=18.135 ctid_to_rid_ms=7.140 allow_check_ms=6.696 projection_ms=8.627 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600584 rows_passed=299857 ctid_misses=0 rss_kb_before_eval=26952 rss_kb_after_eval=26952 rss_kb_after_load=45536 rss_kb_after_engine=73760 rss_kb_after_ctid=75104 rss_kb_end=252472 peak_rss_kb_end=252472
tpch0_1,1,1,ours,22,error,profile_count,policy_profile_lines=2,0.172,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,22920,2,1,eval_ms=0.172 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=0.000 child_exec_ms=0.000 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.000 n_scanned_tables=0 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=0 rows_passed=0 ctid_misses=0 rss_kb_before_eval=22696 rss_kb_after_eval=22920 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=22920 peak_rss_kb_end=22920
tpch0_1,5,"1,2,3,4,5",ours,3,ok,,,0.226,30.153,174.302,1.257,17.114,27977134,75072,4804576,1584188,3023,24,0,190184,1,1,eval_ms=0.226 artifact_load_ms=30.153 artifact_parse_ms=1.817 stamp_ms=100.242 bin_ms=8.613 local_sat_ms=52.439 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=174.302 ctid_map_ms=1.257 filter_ms=17.114 child_exec_ms=16.252 ctid_extract_ms=0.183 ctid_to_rid_ms=0.074 allow_check_ms=0.048 projection_ms=0.002 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=27977134 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=3023 rows_passed=24 ctid_misses=0 rss_kb_before_eval=27624 rss_kb_after_eval=27624 rss_kb_after_load=76104 rss_kb_after_engine=111272 rss_kb_after_ctid=111272 rss_kb_end=190184 peak_rss_kb_end=190184
