row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,930.767,12011528,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,280.371,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,3,,,91.489,116848,61.232,142644,61.127,163924,61.418,163808,61.331,163944,61.250,163980,61.271,159660,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,61.065,98856,30.717,128340,30.565,128172,30.778,128172,30.846,128172,30.682,128172,30.718,128205,ok,,
query,tpch0_1,1,1,ours,5,,,91.330,172560,61.439,175720,61.415,175808,61.370,175864,61.353,175876,61.360,175880,61.387,175829,ok,,
query,tpch0_1,1,1,rls_with_index,5,,,30.653,16648,30.740,132008,30.685,132008,30.762,132008,30.949,132008,30.960,132008,30.819,132008,ok,,
query,tpch0_1,1,1,ours,7,,,92.185,177188,61.144,184692,61.482,184760,61.304,184792,61.239,184820,61.340,184836,61.302,184780,ok,,
query,tpch0_1,1,1,rls_with_index,7,,,30.665,16200,30.969,140744,31.004,140744,30.727,140744,30.794,140744,30.881,140744,30.875,140744,ok,,
query,tpch0_1,1,1,ours,8,,,91.266,184556,61.088,189780,61.273,189868,61.080,189908,61.162,189924,61.281,189932,61.177,189882,ok,,
query,tpch0_1,1,1,rls_with_index,8,,,60.944,145448,31.513,145448,30.848,145448,30.927,145448,30.870,145448,30.906,145448,31.013,145448,ok,,
query,tpch0_1,1,1,ours,10,,,121.535,190492,91.206,192732,91.307,193560,91.340,193536,91.230,193552,91.214,193552,91.259,193386,ok,,
query,tpch0_1,1,1,rls_with_index,10,,,60.849,147868,61.146,149424,60.806,149328,61.013,149108,61.203,148644,61.083,149076,61.050,149116,ok,,
query,tpch0_1,1,1,ours,12,,,122.120,184768,91.796,185896,91.466,186120,91.618,186172,91.477,186184,91.675,186196,91.606,186113,ok,,
query,tpch0_1,1,1,rls_with_index,12,,,91.273,141864,61.157,143184,60.855,143156,60.900,143132,61.089,143104,60.784,143328,60.957,143180,ok,,
query,tpch0_1,1,1,ours,13,,,60.939,101544,61.014,123516,61.146,123400,61.172,123404,61.030,123404,61.096,123408,61.092,123426,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,60.765,98632,60.879,115932,61.148,115824,61.186,115824,61.166,115828,61.322,115828,61.140,115847,ok,,
query,tpch0_1,1,1,ours,18,,,243.416,247432,212.010,248080,212.396,248236,212.550,248252,212.611,255420,212.847,255420,212.483,251081,ok,,
query,tpch0_1,1,1,rls_with_index,18,,,90.902,139624,90.995,146528,91.326,146644,91.017,146648,91.099,146652,91.239,146656,91.135,146625,ok,,
query,tpch0_1,1,1,ours,22,,,30.782,23368,31.057,65928,31.560,65928,31.509,65928,31.554,65928,31.456,65928,31.427,65928,ok,,
query,tpch0_1,1,1,rls_with_index,22,,,30.927,16648,30.838,58984,31.189,58984,31.154,58984,30.971,58984,30.814,58984,30.993,58984,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,4683.561,27977143,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,1555.654,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,3,,,272.549,183600,91.694,217648,61.173,217872,61.179,217872,61.088,217872,61.068,217872,67.240,217827,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,,,121.490,142064,91.646,144440,91.132,147012,91.349,147020,91.236,147024,91.272,147028,91.327,146504,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,5,,,273.134,173820,91.763,222204,92.371,222204,92.134,229148,61.356,229148,61.204,229148,79.766,226370,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,5,,,151.906,148660,151.946,150568,151.433,150964,151.789,150980,152.040,150988,151.752,150992,151.792,150898,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,7,,,273.453,192036,91.724,226756,92.055,233700,91.804,233700,92.061,233700,91.916,233700,91.912,232311,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,7,,,120.994,147184,121.607,149528,121.853,149876,121.955,149880,121.952,149884,121.880,149888,121.849,149811,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,8,,,273.338,178144,91.550,226752,91.609,233472,91.679,233696,91.857,233696,91.756,233696,91.690,232262,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,8,,,1542.638,147464,1513.616,147772,1511.773,149240,1539.962,149244,1509.795,149248,1511.166,149252,1517.262,148951,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,10,,,273.162,174396,91.348,226812,91.463,226812,91.596,226812,91.492,233756,91.597,233756,91.499,229589,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,10,,,121.144,149344,91.416,151344,91.208,151336,91.228,151336,91.121,151340,90.977,151340,91.190,151339,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,12,,,272.893,193648,92.000,226128,91.689,227024,92.387,227024,91.765,227024,91.618,227024,91.892,226844,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,12,,,121.521,147240,91.316,150064,91.223,150104,91.140,149984,91.371,149984,91.219,149984,91.254,150024,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,13,,,60.797,89000,61.112,95248,61.453,95112,61.167,95116,61.280,95120,61.380,95120,61.279,95143,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,,,61.106,82280,61.292,92072,61.256,92188,61.604,92016,61.104,92020,61.200,92020,61.291,92063,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,18,,,364.171,244996,152.600,278372,151.900,278372,151.935,279940,151.929,279940,151.962,279940,152.065,279312,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,18,,,121.641,149256,91.457,149992,91.328,149888,91.347,149892,91.178,149896,91.171,149900,91.296,149913,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,22,,,30.885,24040,31.299,50248,31.035,50248,31.064,50248,31.833,50248,31.628,50248,31.372,50248,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,,,31.211,17096,31.289,53832,31.210,53832,31.345,53832,31.300,53832,31.108,53832,31.251,53832,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,__setup__,5326.006,32161048,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,__setup__,1733.821,80003072,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,,,333.479,179860,122.811,212564,121.839,212564,122.298,212564,122.262,212564,122.171,212564,122.276,212564,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,3,,,121.599,134600,91.427,141176,91.261,141164,91.285,141164,91.080,144300,91.242,144300,91.259,142420,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,5,,,303.194,150032,91.632,157468,91.546,157468,91.668,157468,91.672,157468,91.640,157468,91.632,157468,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,5,,,121.429,150116,91.396,152908,91.338,153012,91.181,153020,91.252,153032,91.326,153036,91.298,153001,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,7,,,303.336,142220,91.423,149880,91.577,149880,91.570,149880,91.662,151896,91.689,151896,91.584,150686,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,7,,,91.307,131624,91.320,152708,91.592,152748,91.336,152752,91.433,152756,91.275,152760,91.391,152744,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,8,,,303.177,151728,91.545,184360,91.384,185928,91.577,185928,91.695,188168,91.582,188168,91.557,186510,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,8,,,121.221,142056,121.681,152224,121.985,152140,121.993,152144,121.770,153044,121.926,153048,121.871,152520,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,10,,,363.735,205040,152.493,238864,152.134,238864,152.397,238864,152.544,240656,152.233,240656,152.360,239580,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,10,,,121.207,146792,91.690,147744,91.054,147608,121.388,147612,91.482,147596,91.230,147600,97.369,147632,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,12,,,363.874,205176,212.489,238104,151.956,238104,152.575,238104,152.143,238104,152.393,238104,164.311,238104,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,12,,,91.130,120512,91.338,139316,91.171,139724,91.266,139728,91.413,139732,91.366,139736,91.311,139647,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,,,121.676,79964,121.733,100124,122.262,102364,121.851,102332,121.768,102340,122.028,102364,121.928,101904,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,13,,,60.785,119464,60.948,140708,61.114,140708,61.236,140708,61.264,140932,61.218,140932,61.156,140797,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,18,,,999.098,267536,,,,,,,,,,,0.000,0,error,db_error,SSL SYSCALL error: EOF detected
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,18,,,121.380,97900,91.223,123036,91.297,123020,91.039,123024,91.346,123028,91.287,123032,91.238,123028,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,22,,,91.336,50248,61.621,62608,61.166,62832,61.152,63056,61.145,63056,61.062,63056,61.229,62921,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,22,,,30.658,16872,30.679,32536,30.841,32748,31.078,32972,31.389,33056,31.440,33056,31.085,32873,ok,,
setup,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",ours,__setup__,6893.695,35163425,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",rls_with_index,__setup__,1752.395,91209728,,,,,,,,,,,,,,,ok,,
query,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",ours,3,,,363.757,125864,152.800,167024,122.516,167024,121.989,167024,121.963,167024,121.734,167024,128.200,167024,ok,,
query,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",rls_with_index,3,,,122.110,104368,91.107,124808,91.468,125108,91.108,125336,91.297,130264,90.994,130492,91.195,127201,ok,,
query,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",ours,5,,,333.099,120936,121.763,138372,121.881,138372,121.914,138372,121.648,138372,121.897,138372,121.821,138372,ok,,
query,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",rls_with_index,5,,,121.737,118920,121.532,144076,121.755,143900,121.577,144576,121.860,144584,121.825,144596,121.710,144346,ok,,
query,tpch0_1,11,"1,2,3,4,5,10,11,12,13,14,15",ours,7,,,334.052,117628,121.831,135668,122.003,136564,122.244,136564,121.996,156948,122.073,156948,122.030,144538,ok,,
