db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_A,rls_index,1,1,121.5462489053607,121.11541675403714,131296,2,,,,0,,,,4342.556849122047,4300.093621015549,75563008
tpch0_1,S_A,rls_index,3,1,90.87861329317093,60.63675507903099,144480,311,,,,0,,,,4342.556849122047,4300.093621015549,75563008
tpch0_1,S_A,rls_index,6,1,60.835654847323895,60.55202009156346,128556,1,,,,0,,,,4342.556849122047,4300.093621015549,75563008
tpch0_1,S_A,rls_index,10,1,90.85480822250247,60.88919984176755,146992,1307,,,,0,,,,4342.556849122047,4300.093621015549,75563008
tpch0_1,S_A,rls_index,11,1,60.811580158770084,30.804290901869535,39560,2753,,,,0,,,,4342.556849122047,4300.093621015549,75563008
tpch0_1,S_A,ours,1,0,31.188291031867266,0.0,0,4,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3111.3681169226766,3048.102512024343,29131488
tpch0_1,S_A,ours,3,0,31.066049821674824,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3111.3681169226766,3048.102512024343,29131488
tpch0_1,S_A,ours,6,0,31.144408974796534,0.0,0,1,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3111.3681169226766,3048.102512024343,29131488
tpch0_1,S_A,ours,10,1,301.907473243773,272.211279720068,202496,1307,,,,1,,,,3111.3681169226766,3048.102512024343,29131488
tpch0_1,S_A,ours,11,1,61.20625231415033,30.716746114194393,51708,2753,,,,0,,,,3111.3681169226766,3048.102512024343,29131488
tpch0_1,S_B,rls_index,1,1,121.05423305183649,120.97960105165839,131268,2,,,,0,,,,4490.1499496772885,4417.959460988641,77275136
tpch0_1,S_B,rls_index,3,1,30.657016206532717,30.452586244791746,29668,0,,,,0,,,,4490.1499496772885,4417.959460988641,77275136
tpch0_1,S_B,rls_index,6,1,60.72687590494752,60.68521598353982,128564,1,,,,0,,,,4490.1499496772885,4417.959460988641,77275136
tpch0_1,S_B,rls_index,10,1,90.84137389436364,60.52314629778266,149740,0,,,,0,,,,4490.1499496772885,4417.959460988641,77275136
tpch0_1,S_B,rls_index,11,1,60.708846896886826,30.54103907197714,37940,2753,,,,0,,,,4490.1499496772885,4417.959460988641,77275136
tpch0_1,S_B,ours,1,0,31.308313831686974,0.0,0,4,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3178.344768937677,3115.479378029704,30601996
