db,K,query_id,status,ours_count,rls_count,error_type,error_msg
tpch0_1,10,1,ok,1,1,,
tpch0_1,10,2,ok,41,41,,
tpch0_1,10,3,ok,0,0,,
tpch0_1,10,4,ok,0,0,,
tpch0_1,10,5,ok,0,0,,
tpch0_1,10,6,ok,395,395,,
tpch0_1,10,7,ok,0,0,,
tpch0_1,10,8,ok,0,0,,
tpch0_1,10,9,ok,62,62,,
tpch0_1,10,10,mismatch,3845,0,count_mismatch,
tpch0_1,10,11,ok,2753,2753,,
tpch0_1,10,12,ok,1,1,,
tpch0_1,10,13,ok,0,0,,
tpch0_1,10,14,ok,1,1,,
tpch0_1,10,15,ok,0,0,,
tpch0_1,10,16,ok,2846,2846,,
tpch0_1,10,17,ok,1,1,,
tpch0_1,10,18,error,,0,engine_error,ours: pid=201093 ERROR:  custom_filter[engine_error]: ctid length mismatch for rel=lineitem len=0 rows=600572
tpch0_1,10,19,ok,1,1,,
tpch0_1,10,21,ok,1,1,,
tpch0_1,10,22,ok,0,0,,
tpch0_1,15,1,ok,0,0,,
tpch0_1,15,2,ok,41,41,,
tpch0_1,15,3,ok,0,0,,
tpch0_1,15,4,ok,0,0,,
tpch0_1,15,5,ok,0,0,,
tpch0_1,15,6,ok,0,0,,
tpch0_1,15,7,ok,0,0,,
tpch0_1,15,8,ok,0,0,,
tpch0_1,15,9,mismatch,175,0,count_mismatch,
tpch0_1,15,10,ok,0,0,,
tpch0_1,15,11,ok,2753,2753,,
tpch0_1,15,12,ok,0,0,,
tpch0_1,15,13,mismatch,1,0,count_mismatch,
tpch0_1,15,14,ok,1,1,,
tpch0_1,15,15,ok,0,0,,
tpch0_1,15,16,ok,2846,2846,,
tpch0_1,15,17,ok,1,1,,
tpch0_1,15,18,ok,0,0,,
tpch0_1,15,19,ok,1,1,,
tpch0_1,15,21,ok,0,0,,
tpch0_1,15,22,mismatch,7,0,count_mismatch,
