db,K,query_id,correctness,ours_count,rls_count,reason
tpch0_01,1,1,1,3,3,
tpch0_01,1,2,1,1,1,
tpch0_01,1,3,1,107,107,
tpch0_01,1,4,1,0,0,
tpch0_01,1,5,1,5,5,
tpch0_01,1,6,1,1198,1198,
tpch0_01,1,7,1,2,2,
tpch0_01,1,8,1,1,1,
tpch0_01,1,9,1,100,100,
tpch0_01,1,10,1,407,407,
tpch0_01,1,11,1,223,223,
tpch0_01,1,12,1,2,2,
tpch0_01,1,13,1,32,32,
tpch0_01,1,14,1,1,1,
tpch0_01,1,15,1,0,0,
tpch0_01,1,16,1,282,282,
tpch0_01,1,17,1,1,1,
tpch0_01,1,18,1,0,0,
tpch0_01,1,19,1,1,1,
tpch0_01,1,21,1,2,2,
tpch0_01,1,22,1,7,7,
tpch0_01,5,1,1,1,1,
tpch0_01,5,2,1,1,1,
tpch0_01,5,3,1,1,1,
tpch0_01,5,4,1,0,0,
tpch0_01,5,5,1,0,0,
tpch0_01,5,6,1,38,38,
tpch0_01,5,7,1,1,1,
tpch0_01,5,8,1,0,0,
tpch0_01,5,9,1,14,14,
tpch0_01,5,10,1,19,19,
tpch0_01,5,11,1,223,223,
tpch0_01,5,12,1,1,1,
tpch0_01,5,13,1,32,32,
tpch0_01,5,14,1,1,1,
tpch0_01,5,15,1,0,0,
tpch0_01,5,16,1,282,282,
tpch0_01,5,17,1,1,1,
tpch0_01,5,18,1,0,0,
tpch0_01,5,19,1,1,1,
tpch0_01,5,21,1,0,0,
tpch0_01,5,22,1,7,7,
tpch0_01,10,1,1,1,1,
tpch0_01,10,2,1,1,1,
tpch0_01,10,3,1,0,0,
tpch0_01,10,4,1,0,0,
tpch0_01,10,5,1,0,0,
tpch0_01,10,6,1,38,38,
tpch0_01,10,7,1,0,0,
tpch0_01,10,8,1,0,0,
tpch0_01,10,9,1,14,14,
tpch0_01,10,10,1,0,0,
tpch0_01,10,11,1,223,223,
tpch0_01,10,12,1,1,1,
tpch0_01,10,13,1,0,0,
tpch0_01,10,14,1,1,1,
tpch0_01,10,15,1,0,0,
tpch0_01,10,16,1,282,282,
tpch0_01,10,17,1,1,1,
tpch0_01,10,18,1,0,0,
tpch0_01,10,19,1,1,1,
tpch0_01,10,21,1,0,0,
tpch0_01,10,22,1,0,0,
tpch0_01,15,1,1,0,0,
tpch0_01,15,2,1,1,1,
tpch0_01,15,3,1,0,0,
tpch0_01,15,4,1,0,0,
tpch0_01,15,5,1,0,0,
tpch0_01,15,6,1,0,0,
tpch0_01,15,7,1,0,0,
tpch0_01,15,8,1,0,0,
tpch0_01,15,9,1,0,0,
tpch0_01,15,10,1,0,0,
tpch0_01,15,11,1,223,223,
tpch0_01,15,12,1,0,0,
tpch0_01,15,13,1,0,0,
tpch0_01,15,14,1,1,1,
tpch0_01,15,15,1,0,0,
tpch0_01,15,16,1,282,282,
tpch0_01,15,17,1,1,1,
tpch0_01,15,18,1,0,0,
tpch0_01,15,19,1,1,1,
tpch0_01,15,21,1,0,0,
tpch0_01,15,22,1,0,0,
tpch0_01,20,1,1,0,0,
tpch0_01,20,2,1,0,0,
tpch0_01,20,3,1,0,0,
tpch0_01,20,4,1,0,0,
tpch0_01,20,5,1,0,0,
tpch0_01,20,6,1,0,0,
tpch0_01,20,7,1,0,0,
tpch0_01,20,8,1,0,0,
tpch0_01,20,9,1,0,0,
tpch0_01,20,10,1,0,0,
tpch0_01,20,11,1,0,0,
tpch0_01,20,12,1,0,0,
tpch0_01,20,13,1,0,0,
tpch0_01,20,14,1,1,1,
tpch0_01,20,15,1,0,0,
tpch0_01,20,16,1,5,5,
tpch0_01,20,17,1,1,1,
tpch0_01,20,18,1,0,0,
tpch0_01,20,19,1,1,1,
tpch0_01,20,21,1,0,0,
tpch0_01,20,22,1,0,0,
