db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,1,ok,,,0.041,2.792,5.030,0.362,33.282,1203579,7522,481400,158770,60175,30126,0,-1,2,1,eval_ms=0.041 artifact_load_ms=2.792 artifact_parse_ms=0.023 stamp_ms=1.696 bin_ms=0.619 local_sat_ms=0.317 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=5.030 ctid_map_ms=0.362 filter_ms=33.282 child_exec_ms=8.274 ctid_extract_ms=8.842 ctid_to_rid_ms=1.457 allow_check_ms=1.353 projection_ms=4.049 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=30126 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,2,ok,,,0.036,0.000,0.000,0.000,6.552,0,0,0,0,8991,8991,0,-1,2,1,eval_ms=0.036 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.552 child_exec_ms=4.810 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.813 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8991 rows_passed=8991 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,3,ok,,,0.050,2.714,4.998,0.365,20.421,1203579,7522,481400,158770,39718,9669,0,-1,2,1,eval_ms=0.050 artifact_load_ms=2.714 artifact_parse_ms=0.023 stamp_ms=1.671 bin_ms=0.617 local_sat_ms=0.318 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.998 ctid_map_ms=0.365 filter_ms=20.421 child_exec_ms=9.058 ctid_extract_ms=3.898 ctid_to_rid_ms=0.768 allow_check_ms=0.735 projection_ms=0.982 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=39718 rows_passed=9669 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,4,ok,,,0.057,2.590,4.971,0.350,20.275,1203579,7522,481400,158770,38465,19214,0,-1,2,1,eval_ms=0.057 artifact_load_ms=2.590 artifact_parse_ms=0.022 stamp_ms=1.661 bin_ms=0.852 local_sat_ms=0.296 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.971 ctid_map_ms=0.350 filter_ms=20.275 child_exec_ms=9.043 ctid_extract_ms=2.203 ctid_to_rid_ms=0.933 allow_check_ms=0.868 projection_ms=1.228 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=38465 rows_passed=19214 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,5,ok,,,0.053,2.557,4.652,0.336,32.012,1203579,7522,481400,158770,64104,34055,0,-1,2,1,eval_ms=0.053 artifact_load_ms=2.557 artifact_parse_ms=0.022 stamp_ms=1.594 bin_ms=0.589 local_sat_ms=0.303 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.652 ctid_map_ms=0.336 filter_ms=32.012 child_exec_ms=7.613 ctid_extract_ms=7.892 ctid_to_rid_ms=1.443 allow_check_ms=1.353 projection_ms=4.066 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=64104 rows_passed=34055 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,6,ok,,,0.039,2.552,4.923,0.338,8.207,1203579,7522,481400,158770,1198,1198,0,-1,2,1,eval_ms=0.039 artifact_load_ms=2.552 artifact_parse_ms=0.022 stamp_ms=1.602 bin_ms=0.852 local_sat_ms=0.310 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.923 ctid_map_ms=0.338 filter_ms=8.207 child_exec_ms=7.572 ctid_extract_ms=0.155 ctid_to_rid_ms=0.051 allow_check_ms=0.031 projection_ms=0.140 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1198 rows_passed=1198 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,7,ok,,,0.069,2.664,4.933,0.349,17.599,1203579,7522,481400,158770,34577,20525,0,-1,2,1,eval_ms=0.069 artifact_load_ms=2.664 artifact_parse_ms=0.024 stamp_ms=1.675 bin_ms=0.618 local_sat_ms=0.312 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.933 ctid_map_ms=0.349 filter_ms=17.599 child_exec_ms=8.345 ctid_extract_ms=2.405 ctid_to_rid_ms=0.431 allow_check_ms=0.417 projection_ms=1.880 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=34577 rows_passed=20525 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,8,ok,,,0.067,2.514,4.904,0.328,32.720,1203579,7522,481400,158770,66336,36287,0,-1,2,1,eval_ms=0.067 artifact_load_ms=2.514 artifact_parse_ms=0.025 stamp_ms=1.702 bin_ms=0.620 local_sat_ms=0.309 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.904 ctid_map_ms=0.328 filter_ms=32.720 child_exec_ms=7.969 ctid_extract_ms=7.958 ctid_to_rid_ms=1.421 allow_check_ms=1.337 projection_ms=4.245 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=66336 rows_passed=36287 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,9,ok,,,0.067,2.541,4.671,0.342,37.827,1203579,7522,481400,158770,83414,53365,0,-1,2,1,eval_ms=0.067 artifact_load_ms=2.541 artifact_parse_ms=0.023 stamp_ms=1.620 bin_ms=0.586 local_sat_ms=0.305 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.671 ctid_map_ms=0.342 filter_ms=37.827 child_exec_ms=8.655 ctid_extract_ms=9.068 ctid_to_rid_ms=1.434 allow_check_ms=1.347 projection_ms=6.079 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=83414 rows_passed=53365 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_01,1,1,ours,10,ok,,,0.047,2.308,4.332,0.327,11.339,1203579,7522,481400,158770,17020,17020,0,-1,2,1,eval_ms=0.047 artifact_load_ms=2.308 artifact_parse_ms=0.022 stamp_ms=1.454 bin_ms=0.542 local_sat_ms=0.280 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=4.332 ctid_map_ms=0.327 filter_ms=11.339 child_exec_ms=5.038 ctid_extract_ms=0.347 ctid_to_rid_ms=0.382 allow_check_ms=0.341 projection_ms=2.290 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1203579 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=17020 rows_passed=17020 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
