row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_01,1,1,ours,__setup__,193.706,1203588,,,,,,,,,,,,,,,ok,,
setup,tpch0_01,1,1,rls_with_index,__setup__,55.051,868352,,,,,,,,,,,,,,,ok,,
query,tpch0_01,1,1,ours,1,,,91.291,46920,90.705,50504,,,,,,,,,90.705,50504,ok,,
query,tpch0_01,1,1,rls_with_index,1,,,60.676,28420,60.461,32004,,,,,,,,,60.461,32004,ok,,
query,tpch0_01,1,1,ours,2,,,30.693,24324,30.703,30024,,,,,,,,,30.703,30024,ok,,
query,tpch0_01,1,1,rls_with_index,2,,,30.529,17000,30.394,22720,,,,,,,,,30.394,22720,ok,,
query,tpch0_01,1,1,ours,3,,,60.771,49952,30.459,52512,,,,,,,,,30.459,52512,ok,,
query,tpch0_01,1,1,rls_with_index,3,,,30.521,17000,30.387,34540,,,,,,,,,30.387,34540,ok,,
query,tpch0_01,1,1,ours,4,,,60.822,50608,30.445,52656,,,,,,,,,30.445,52656,ok,,
query,tpch0_01,1,1,rls_with_index,4,,,30.652,17000,30.363,34748,,,,,,,,,30.363,34748,ok,,
query,tpch0_01,1,1,ours,5,,,60.741,48112,60.505,54256,,,,,,,,,60.505,54256,ok,,
query,tpch0_01,1,1,rls_with_index,5,,,30.584,17000,30.376,35008,,,,,,,,,30.376,35008,ok,,
query,tpch0_01,1,1,ours,6,,,30.680,24324,30.459,49672,,,,,,,,,30.459,49672,ok,,
query,tpch0_01,1,1,rls_with_index,6,,,30.542,17000,30.362,31364,,,,,,,,,30.362,31364,ok,,
query,tpch0_01,1,1,ours,7,,,30.718,24324,30.433,52676,,,,,,,,,30.433,52676,ok,,
query,tpch0_01,1,1,rls_with_index,7,,,30.548,17000,30.367,35496,,,,,,,,,30.367,35496,ok,,
query,tpch0_01,1,1,ours,8,,,60.760,48168,60.529,54824,,,,,,,,,60.529,54824,ok,,
query,tpch0_01,1,1,rls_with_index,8,,,30.525,17004,30.373,35496,,,,,,,,,30.373,35496,ok,,
query,tpch0_01,1,1,ours,9,,,60.740,47128,60.557,56344,,,,,,,,,60.557,56344,ok,,
query,tpch0_01,1,1,rls_with_index,9,,,30.532,17004,30.369,37568,,,,,,,,,30.369,37568,ok,,
query,tpch0_01,1,1,ours,10,,,30.690,24328,30.576,53152,,,,,,,,,30.576,53152,ok,,
query,tpch0_01,1,1,rls_with_index,10,,,30.537,17004,30.376,35520,,,,,,,,,30.376,35520,ok,,
query,tpch0_01,1,1,ours,11,,,30.657,24328,30.447,29472,,,,,,,,,30.447,29472,ok,,
query,tpch0_01,1,1,rls_with_index,11,,,30.509,17004,30.363,21696,,,,,,,,,30.363,21696,ok,,
query,tpch0_01,1,1,ours,12,,,30.678,24328,30.431,52756,,,,,,,,,30.431,52756,ok,,
query,tpch0_01,1,1,rls_with_index,12,,,30.529,17004,30.366,34464,,,,,,,,,30.366,34464,ok,,
query,tpch0_01,1,1,ours,13,,,30.688,24328,30.662,29984,,,,,,,,,30.662,29984,ok,,
