db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,9,ok,,,0.419,58.719,334.927,2.472,321.156,27977134,75072,4804576,1584188,832706,234405,0,-1,2,1,eval_ms=0.419 artifact_load_ms=58.719 artifact_parse_ms=3.841 stamp_ms=187.289 bin_ms=6.181 local_sat_ms=111.064 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=334.927 ctid_map_ms=2.472 filter_ms=321.156 child_exec_ms=95.935 ctid_extract_ms=87.084 ctid_to_rid_ms=13.936 allow_check_ms=13.121 projection_ms=17.553 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=27977134 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=832706 rows_passed=234405 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,10,ok,,,0.522,62.157,409.153,2.730,8.022,29234606,76947,4924576,1626462,15025,25,0,-1,2,1,eval_ms=0.522 artifact_load_ms=62.157 artifact_parse_ms=5.059 stamp_ms=192.393 bin_ms=6.337 local_sat_ms=162.421 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=409.153 ctid_map_ms=2.730 filter_ms=8.022 child_exec_ms=2.110 ctid_extract_ms=3.384 ctid_to_rid_ms=0.345 allow_check_ms=0.327 projection_ms=0.004 n_scanned_tables=4 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=29234606 bytes_allow=76947 bytes_ctid=4924576 bytes_blk_index=1626462 rows_seen=15025 rows_passed=25 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,13,ok,,,0.396,4.179,28.818,0.199,4.855,1257472,1875,120000,42274,15000,0,0,-1,2,1,eval_ms=0.396 artifact_load_ms=4.179 artifact_parse_ms=1.792 stamp_ms=4.024 bin_ms=0.145 local_sat_ms=4.845 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=28.818 ctid_map_ms=0.199 filter_ms=4.855 child_exec_ms=1.281 ctid_extract_ms=0.874 ctid_to_rid_ms=0.368 allow_check_ms=0.351 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1257472 bytes_allow=1875 bytes_ctid=120000 bytes_blk_index=42274 rows_seen=15000 rows_passed=0 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,18,ok,,,0.496,59.537,407.296,2.794,25.011,29234606,76947,4924576,1626462,15488,1,0,-1,2,1,eval_ms=0.496 artifact_load_ms=59.537 artifact_parse_ms=5.019 stamp_ms=190.808 bin_ms=6.305 local_sat_ms=162.689 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=407.296 ctid_map_ms=2.794 filter_ms=25.011 child_exec_ms=20.642 ctid_extract_ms=1.764 ctid_to_rid_ms=0.358 allow_check_ms=0.337 projection_ms=0.000 n_scanned_tables=3 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=29234606 bytes_allow=76947 bytes_ctid=4924576 bytes_blk_index=1626462 rows_seen=15488 rows_passed=1 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,22,ok,,,0.403,4.070,28.676,0.194,13.821,1257472,1875,120000,42274,3823,0,0,-1,2,1,eval_ms=0.403 artifact_load_ms=4.070 artifact_parse_ms=1.883 stamp_ms=4.023 bin_ms=0.155 local_sat_ms=4.823 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=28.676 ctid_map_ms=0.194 filter_ms=13.821 child_exec_ms=12.901 ctid_extract_ms=0.242 ctid_to_rid_ms=0.093 allow_check_ms=0.088 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1257472 bytes_allow=1875 bytes_ctid=120000 bytes_blk_index=42274 rows_seen=3823 rows_passed=0 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,9,ok,,,0.834,80.484,557.297,3.141,256.474,35898429,93822,6004576,1973030,601597,1025,0,-1,2,1,eval_ms=0.834 artifact_load_ms=80.484 artifact_parse_ms=5.013 stamp_ms=207.623 bin_ms=7.578 local_sat_ms=202.848 prop_ms=1.442 prop_iters=1 decode_ms=0.539 policy_total_ms=557.297 ctid_map_ms=3.141 filter_ms=256.474 child_exec_ms=67.462 ctid_extract_ms=87.708 ctid_to_rid_ms=13.968 allow_check_ms=13.151 projection_ms=0.077 n_scanned_tables=6 n_policy_targets=3 n_filters=2 bytes_artifacts_loaded=35898429 bytes_allow=93822 bytes_ctid=6004576 bytes_blk_index=1973030 rows_seen=601597 rows_passed=1025 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,10,ok,,,0.802,80.371,553.233,3.267,7.996,35898429,95697,6124576,2015304,15025,25,0,-1,2,1,eval_ms=0.802 artifact_load_ms=80.371 artifact_parse_ms=4.810 stamp_ms=209.140 bin_ms=7.529 local_sat_ms=202.507 prop_ms=1.441 prop_iters=1 decode_ms=0.602 policy_total_ms=553.233 ctid_map_ms=3.267 filter_ms=7.996 child_exec_ms=2.120 ctid_extract_ms=3.343 ctid_to_rid_ms=0.348 allow_check_ms=0.329 projection_ms=0.005 n_scanned_tables=4 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=35898429 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=15025 rows_passed=25 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,ok,,,0.638,14.334,106.697,0.712,4.654,5518987,20625,1320000,431116,15000,0,0,-1,2,1,eval_ms=0.638 artifact_load_ms=14.334 artifact_parse_ms=1.546 stamp_ms=4.040 bin_ms=0.139 local_sat_ms=6.930 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=106.697 ctid_map_ms=0.712 filter_ms=4.654 child_exec_ms=1.290 ctid_extract_ms=0.810 ctid_to_rid_ms=0.345 allow_check_ms=0.331 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=5518987 bytes_allow=20625 bytes_ctid=1320000 bytes_blk_index=431116 rows_seen=15000 rows_passed=0 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,18,ok,,,0.722,80.228,553.344,3.286,215.027,35898429,95697,6124576,2015304,600572,0,0,-1,2,1,eval_ms=0.722 artifact_load_ms=80.228 artifact_parse_ms=4.869 stamp_ms=208.720 bin_ms=7.539 local_sat_ms=200.964 prop_ms=1.495 prop_iters=1 decode_ms=0.502 policy_total_ms=553.344 ctid_map_ms=3.286 filter_ms=215.027 child_exec_ms=77.651 ctid_extract_ms=36.801 ctid_to_rid_ms=13.807 allow_check_ms=13.102 projection_ms=0.000 n_scanned_tables=3 n_policy_targets=3 n_filters=3 bytes_artifacts_loaded=35898429 bytes_allow=95697 bytes_ctid=6124576 bytes_blk_index=2015304 rows_seen=600572 rows_passed=0 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,ok,,,0.663,14.298,108.840,0.686,13.190,5518987,20625,1320000,431116,3823,0,0,-1,2,1,eval_ms=0.663 artifact_load_ms=14.298 artifact_parse_ms=1.534 stamp_ms=4.041 bin_ms=0.142 local_sat_ms=6.949 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=108.840 ctid_map_ms=0.686 filter_ms=13.190 child_exec_ms=12.312 ctid_extract_ms=0.232 ctid_to_rid_ms=0.090 allow_check_ms=0.083 projection_ms=0.000 n_scanned_tables=2 n_policy_targets=2 n_filters=2 bytes_artifacts_loaded=5518987 bytes_allow=20625 bytes_ctid=1320000 bytes_blk_index=431116 rows_seen=3823 rows_passed=0 ctid_misses=0 rss_kb_before_eval=-1 rss_kb_after_eval=-1 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=-1 peak_rss_kb_end=-1
