row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,__setup__,9780.821,29234624,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,__setup__,2791.854,77275136,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,9,,,754.359,123380,422.551,158196,,,,,,,,,422.551,158196,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,9,,,13794.992,136860,13824.099,138140,,,,,,,,,13824.099,138140,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,10,,,513.132,97416,91.203,100732,,,,,,,,,91.203,100732,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,10,,,30.771,17572,30.587,25956,,,,,,,,,30.587,25956,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,13,,,61.172,42468,30.622,43856,,,,,,,,,30.622,43856,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,13,,,30.634,17572,30.375,24308,,,,,,,,,30.375,24308,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,18,,,542.948,142952,121.095,152940,,,,,,,,,121.095,152940,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,18,,,241.403,113488,181.217,121868,,,,,,,,,181.217,121868,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",ours,22,,,61.217,41428,30.786,43792,,,,,,,,,30.786,43792,ok,,
query,tpch0_1,10,"1,2,3,4,5,6,7,8,9,10",rls_with_index,22,,,30.580,17572,30.642,25332,,,,,,,,,30.642,25332,ok,,
setup,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,__setup__,14247.761,35898468,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,__setup__,3096.818,92323840,,,,,,,,,,,,,,,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,9,,,904.869,108764,452.495,119672,,,,,,,,,452.495,119672,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,9,,,241.436,118616,211.282,140120,,,,,,,,,211.282,140120,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,10,,,663.769,107244,211.506,111496,,,,,,,,,211.506,111496,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,10,,,211.258,128628,211.229,139980,,,,,,,,,211.229,139980,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,,,151.660,53192,121.280,57124,,,,,,,,,121.280,57124,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,13,,,30.649,17572,30.460,26628,,,,,,,,,30.460,26628,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,18,,,904.526,235292,422.356,265504,,,,,,,,,422.356,265504,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,18,,,241.650,140700,211.217,142148,,,,,,,,,211.217,142148,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,,,151.654,52200,121.203,55936,,,,,,,,,121.203,55936,ok,,
query,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,22,,,30.666,17584,30.633,26828,,,,,,,,,30.633,26828,ok,,
setup,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,__setup__,18755.799,46155726,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,3656.468,110084096,,,,,,,,,,,,,,,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,9,,,363.074,143496,302.118,172332,,,,,,,,,302.118,172332,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,9,,,271.745,121960,241.344,135844,,,,,,,,,241.344,135844,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,10,,,302.641,134852,272.038,143448,,,,,,,,,272.038,143448,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,10,,,271.643,142000,241.318,146104,,,,,,,,,241.318,146104,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,13,,,151.895,54776,121.201,60696,,,,,,,,,121.201,60696,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,30.650,17568,30.576,26356,,,,,,,,,30.576,26356,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,18,,,543.482,237464,452.675,278424,,,,,,,,,452.675,278424,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,18,,,271.550,155220,241.230,156676,,,,,,,,,241.230,156676,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,22,,,152.058,54084,121.275,60064,,,,,,,,,121.275,60064,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,30.623,17568,30.529,26304,,,,,,,,,30.529,26304,ok,,
