row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,1,1,ours,__setup__,3550.018,51010780,,,,,,,,,,,,,,,ok,,
query,tpch1,1,1,ours,1,,,6537.702,408692,6446.277,468800,6445.298,468928,6446.473,468916,,,,,6446.016,468881,ok,,
query,tpch1,1,1,ours,3,,,2488.900,430148,2397.168,464244,2396.520,464464,2394.436,464452,,,,,2396.041,464386,ok,,
query,tpch1,1,1,ours,5,,,3795.817,379024,3675.316,472392,3705.084,473092,3675.058,472988,,,,,3685.153,472824,ok,,
query,tpch1,1,1,ours,6,,,1386.472,408072,1295.678,444056,1265.412,448620,1265.373,448912,,,,,1275.488,447196,ok,,
query,tpch1,1,1,ours,9,,,4940.371,363812,4880.409,454900,4879.872,455660,4850.013,455904,,,,,4870.098,455488,ok,,
query,tpch1,1,1,ours,10,,,2642.621,432952,2563.212,473992,2557.078,474024,2573.507,474024,,,,,2564.599,474013,ok,,
setup,tpch1,1,1,rls_with_index,__setup__,8593.934,83214336,,,,,,,,,,,,,,,ok,,
query,tpch1,1,1,rls_with_index,1,,,3614.727,184940,3584.224,185964,3584.218,185964,3584.333,185964,,,,,3584.258,185964,ok,,
query,tpch1,1,1,rls_with_index,3,,,1186.071,217168,1115.125,218724,1114.801,218700,1114.720,218780,,,,,1114.882,218734,ok,,
query,tpch1,1,1,rls_with_index,5,,,1295.590,213560,1235.159,215144,1235.186,215048,1235.427,215084,,,,,1235.257,215092,ok,,
query,tpch1,1,1,rls_with_index,6,,,964.488,173304,933.981,187128,933.922,187128,933.945,187128,,,,,933.949,187128,ok,,
query,tpch1,1,1,rls_with_index,9,,,2229.391,216960,2139.243,219296,2138.887,219476,2138.754,218548,,,,,2138.962,219106,ok,,
query,tpch1,1,1,rls_with_index,10,,,1519.572,238980,1461.244,239992,1463.072,240004,1444.779,240004,,,,,1456.365,240000,ok,,
setup,tpch1,5,"1,2,3,4,5",ours,__setup__,12357.051,91788838,,,,,,,,,,,,,,,ok,,
query,tpch1,5,"1,2,3,4,5",ours,1,,,13133.181,1451792,12680.808,1525396,12590.311,1546820,12621.031,1540896,,,,,12630.717,1537704,ok,,
query,tpch1,5,"1,2,3,4,5",ours,3,,,12139.033,1452248,11656.933,1541944,11626.654,1556588,11626.877,1560836,,,,,11636.821,1553122,ok,,
