db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,1,1,ours,1,ok,,,0.120,20.949,38.154,3.049,327.429,12011519,75072,4804576,1584188,600569,299856,0,170920,1,1,eval_ms=0.120 artifact_load_ms=20.949 artifact_parse_ms=0.021 stamp_ms=22.098 bin_ms=10.183 local_sat_ms=0.288 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.154 ctid_map_ms=3.049 filter_ms=327.429 child_exec_ms=85.128 ctid_extract_ms=83.606 ctid_to_rid_ms=14.059 allow_check_ms=12.597 projection_ms=43.418 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600569 rows_passed=299856 ctid_misses=0 rss_kb_before_eval=29508 rss_kb_after_eval=29508 rss_kb_after_load=49804 rss_kb_after_engine=80016 rss_kb_after_ctid=81040 rss_kb_end=170920 peak_rss_kb_end=170920
tpch0_1,1,1,ours,2,ok,,,0.068,0.000,0.000,0.000,462.338,0,0,0,0,192566,192566,0,52040,2,1,eval_ms=0.068 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=462.338 child_exec_ms=432.454 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=13.588 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=192566 rows_passed=192566 ctid_misses=0 rss_kb_before_eval=29512 rss_kb_after_eval=29512 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=52040 peak_rss_kb_end=52040
tpch0_1,1,1,ours,3,ok,,,0.119,20.813,38.804,2.976,201.951,12011519,75072,4804576,1584188,398751,98035,0,183004,1,1,eval_ms=0.119 artifact_load_ms=20.813 artifact_parse_ms=0.020 stamp_ms=22.215 bin_ms=10.641 local_sat_ms=0.292 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.804 ctid_map_ms=2.976 filter_ms=201.951 child_exec_ms=95.483 ctid_extract_ms=37.084 ctid_to_rid_ms=7.475 allow_check_ms=6.779 projection_ms=8.318 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=398751 rows_passed=98035 ctid_misses=0 rss_kb_before_eval=30052 rss_kb_after_eval=30052 rss_kb_after_load=50152 rss_kb_after_engine=80364 rss_kb_after_ctid=81388 rss_kb_end=183004 peak_rss_kb_end=183004
tpch0_1,1,1,ours,4,ok,,,0.108,21.229,38.397,3.021,209.262,12011519,75072,4804576,1584188,385402,191832,0,187940,2,1,eval_ms=0.108 artifact_load_ms=21.229 artifact_parse_ms=0.022 stamp_ms=22.243 bin_ms=10.289 local_sat_ms=0.302 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.397 ctid_map_ms=3.021 filter_ms=209.262 child_exec_ms=100.644 ctid_extract_ms=23.402 ctid_to_rid_ms=8.830 allow_check_ms=7.979 projection_ms=11.865 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=385402 rows_passed=191832 ctid_misses=0 rss_kb_before_eval=28968 rss_kb_after_eval=28968 rss_kb_after_load=49248 rss_kb_after_engine=79460 rss_kb_after_ctid=80484 rss_kb_end=187940 peak_rss_kb_end=187940
tpch0_1,1,1,ours,5,ok,,,0.114,20.722,38.588,3.001,312.372,12011519,75072,4804576,1584188,639556,338840,0,188740,1,1,eval_ms=0.114 artifact_load_ms=20.722 artifact_parse_ms=0.021 stamp_ms=22.413 bin_ms=10.302 local_sat_ms=0.299 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.588 ctid_map_ms=3.001 filter_ms=312.372 child_exec_ms=81.539 ctid_extract_ms=74.728 ctid_to_rid_ms=13.978 allow_check_ms=12.678 projection_ms=37.761 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=639556 rows_passed=338840 ctid_misses=0 rss_kb_before_eval=30020 rss_kb_after_eval=30020 rss_kb_after_load=50156 rss_kb_after_engine=80368 rss_kb_after_ctid=81392 rss_kb_end=188740 peak_rss_kb_end=188740
tpch0_1,1,1,ours,6,ok,,,0.082,18.725,38.331,2.900,80.119,12011519,75072,4804576,1584188,11482,11482,0,167300,1,1,eval_ms=0.082 artifact_load_ms=18.725 artifact_parse_ms=0.022 stamp_ms=22.464 bin_ms=9.978 local_sat_ms=0.294 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.331 ctid_map_ms=2.900 filter_ms=80.119 child_exec_ms=75.021 ctid_extract_ms=1.251 ctid_to_rid_ms=0.420 allow_check_ms=0.254 projection_ms=1.119 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=11482 rows_passed=11482 ctid_misses=0 rss_kb_before_eval=28948 rss_kb_after_eval=28948 rss_kb_after_load=49228 rss_kb_after_engine=79440 rss_kb_after_ctid=80464 rss_kb_end=167300 peak_rss_kb_end=167300
tpch0_1,1,1,ours,7,ok,,,0.114,18.724,38.302,3.000,176.676,12011519,75072,4804576,1584188,348766,208079,0,189184,1,1,eval_ms=0.114 artifact_load_ms=18.724 artifact_parse_ms=0.023 stamp_ms=22.222 bin_ms=10.198 local_sat_ms=0.298 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.302 ctid_map_ms=3.000 filter_ms=176.676 child_exec_ms=91.151 ctid_extract_ms=23.098 ctid_to_rid_ms=4.318 allow_check_ms=3.861 projection_ms=16.131 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=348766 rows_passed=208079 ctid_misses=0 rss_kb_before_eval=30020 rss_kb_after_eval=30020 rss_kb_after_load=50128 rss_kb_after_engine=80340 rss_kb_after_ctid=81364 rss_kb_end=189184 peak_rss_kb_end=189184
tpch0_1,1,1,ours,8,ok,,,0.135,20.730,38.657,2.964,322.278,12011519,75072,4804576,1584188,662360,361644,0,191428,1,1,eval_ms=0.135 artifact_load_ms=20.730 artifact_parse_ms=0.021 stamp_ms=22.584 bin_ms=10.190 local_sat_ms=0.299 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.657 ctid_map_ms=2.964 filter_ms=322.278 child_exec_ms=87.236 ctid_extract_ms=75.352 ctid_to_rid_ms=14.151 allow_check_ms=12.708 projection_ms=39.332 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=662360 rows_passed=361644 ctid_misses=0 rss_kb_before_eval=30532 rss_kb_after_eval=30532 rss_kb_after_load=50328 rss_kb_after_engine=80540 rss_kb_after_ctid=81564 rss_kb_end=191428 peak_rss_kb_end=191428
tpch0_1,1,1,ours,9,ok,,,0.137,20.948,38.806,2.992,369.615,12011519,75072,4804576,1584188,832706,531990,0,201380,1,1,eval_ms=0.137 artifact_load_ms=20.948 artifact_parse_ms=0.022 stamp_ms=22.100 bin_ms=10.813 local_sat_ms=0.296 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.806 ctid_map_ms=2.992 filter_ms=369.615 child_exec_ms=93.798 ctid_extract_ms=84.731 ctid_to_rid_ms=13.974 allow_check_ms=12.673 projection_ms=56.791 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=832706 rows_passed=531990 ctid_misses=0 rss_kb_before_eval=29092 rss_kb_after_eval=29092 rss_kb_after_load=48772 rss_kb_after_engine=78984 rss_kb_after_ctid=80008 rss_kb_end=201380 peak_rss_kb_end=201380
tpch0_1,1,1,ours,10,ok,,,0.120,20.693,38.002,3.072,114.223,12011519,75072,4804576,1584188,169099,169099,0,192904,1,1,eval_ms=0.120 artifact_load_ms=20.693 artifact_parse_ms=0.020 stamp_ms=21.995 bin_ms=10.150 local_sat_ms=0.301 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.002 ctid_map_ms=3.072 filter_ms=114.223 child_exec_ms=55.286 ctid_extract_ms=3.346 ctid_to_rid_ms=4.244 allow_check_ms=3.143 projection_ms=20.638 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=169099 rows_passed=169099 ctid_misses=0 rss_kb_before_eval=26960 rss_kb_after_eval=26960 rss_kb_after_load=46636 rss_kb_after_engine=76848 rss_kb_after_ctid=77872 rss_kb_end=192904 peak_rss_kb_end=192904
