row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,1872.494,12011528,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,469.636,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,693.900,166496,663.074,167324,662.942,167420,662.889,167484,662.870,167500,662.862,167508,662.928,167447,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,391.969,125700,361.635,125700,361.823,125700,361.612,125700,361.636,125700,361.944,125700,361.730,125700,ok,,
query,tpch0_1,1,1,ours,2,,,512.801,51568,512.381,51568,512.265,51568,512.172,51568,512.159,51568,512.207,51568,512.237,51568,ok,,
query,tpch0_1,1,1,rls_with_index,2,,,452.080,44268,451.918,44780,451.877,44780,451.873,44780,451.850,44780,451.842,44780,451.872,44780,ok,,
query,tpch0_1,1,1,ours,3,,,301.778,176276,271.564,177892,273.472,191204,243.140,177964,242.285,178488,241.641,178496,254.420,180808,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,120.900,135052,120.686,138568,120.747,139096,120.648,139096,120.632,139612,120.658,139616,120.674,139197,ok,,
query,tpch0_1,1,1,ours,4,,,301.748,162328,271.369,182680,271.406,183212,271.399,183236,271.365,183256,271.371,183432,271.382,183163,ok,,
query,tpch0_1,1,1,rls_with_index,4,,,151.041,139140,150.851,145772,150.777,146152,150.766,146152,150.809,147176,150.832,147176,150.807,146485,ok,,
query,tpch0_1,1,1,ours,5,,,422.254,183124,391.839,184092,391.879,184656,391.807,184680,391.791,184700,391.857,185224,391.835,184670,ok,,
query,tpch0_1,1,1,rls_with_index,5,,,151.025,143732,120.654,144756,120.617,144648,120.718,144648,120.688,144648,120.612,144648,120.658,144669,ok,,
query,tpch0_1,1,1,ours,6,,,151.141,151336,120.851,163272,120.828,163372,120.716,163424,120.717,163436,120.694,163460,120.761,163392,ok,,
query,tpch0_1,1,1,rls_with_index,6,,,120.911,121544,90.551,121544,90.618,121544,90.872,121544,90.519,121544,90.685,121544,90.649,121544,ok,,
query,tpch0_1,1,1,ours,7,,,271.706,184032,241.301,185420,241.315,185584,241.274,185620,241.268,185644,241.308,185652,241.293,185584,ok,,
query,tpch0_1,1,1,rls_with_index,7,,,120.952,144620,120.754,145128,120.660,144972,120.625,144972,120.662,144972,120.650,144972,120.670,145003,ok,,
query,tpch0_1,1,1,ours,8,,,422.233,186756,391.875,187712,391.797,187764,391.884,187776,391.841,187792,391.832,187808,391.846,187770,ok,,
query,tpch0_1,1,1,rls_with_index,8,,,151.016,146668,120.666,146648,120.713,146648,120.776,146648,120.672,146648,120.641,146648,120.693,146648,ok,,
query,tpch0_1,1,1,ours,9,,,542.738,195288,482.230,197076,482.244,197588,482.311,197632,482.166,197636,482.237,197652,482.238,197516,ok,,
query,tpch0_1,1,1,rls_with_index,9,,,181.095,148808,180.974,156820,180.933,156748,180.924,156752,180.933,157268,180.933,157272,180.940,156972,ok,,
query,tpch0_1,1,1,ours,10,,,278.438,182364,211.719,182364,211.763,183128,221.042,188812,183.688,188812,183.520,188844,202.346,186392,ok,,
