row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,__setup__,17784.859,180628195,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,,,44702.202,2666300,43939.815,2859784,44004.771,2886372,44071.734,2910780,,,,,44005.440,2885645,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,,,45151.521,2654820,44306.957,2842076,44426.846,2903936,44216.666,2905752,,,,,44316.823,2883921,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,,,44790.550,2653268,43889.901,2870816,43979.307,2906696,44128.273,2902088,,,,,43999.160,2893200,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,,,2531.652,325792,2411.038,384904,2380.447,391048,2380.768,389248,,,,,2390.751,388400,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,,,2109.905,315152,2049.637,380148,2049.108,376940,2018.920,379924,,,,,2039.222,379004,ok,,
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,46550.429,727015424,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,,,36503.811,242080,36172.668,244192,36082.185,246752,36202.567,247264,,,,,36152.473,246069,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,3,,,3795.848,244896,3675.111,246632,3735.031,248168,3735.104,249192,,,,,3715.082,247997,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,6,,,20902.801,241604,20811.989,243416,20812.098,244952,20902.382,245472,,,,,20842.156,244613,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,8132.919,241668,8012.212,242628,8012.152,242416,8042.105,242704,,,,,8022.156,242582,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,1536.661,230032,1446.067,231608,1446.048,232120,1446.027,232632,,,,,1446.048,232120,ok,,
