row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,__setup__,17834.552,180628195,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,,,47019.202,2672728,46414.921,2881724,46265.653,2927364,46354.333,2953540,,,,,46344.969,2920876,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,,,46806.411,2674824,45812.363,2855688,45962.490,2910408,45902.259,2905576,,,,,45892.371,2890557,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,,,45572.581,2668808,44729.080,2854864,44697.978,2902216,44758.814,2899128,,,,,44728.624,2885402,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,,,2501.513,338464,2410.417,379784,2410.702,387708,2380.327,385040,,,,,2400.482,384177,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,,,2109.582,289336,2018.877,343172,2018.890,339100,2018.852,339356,,,,,2018.873,340542,ok,,
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,46623.309,727015424,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,,,36263.286,241980,36143.124,244940,36022.353,247500,36142.563,248560,,,,,36102.680,247000,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,3,,,3795.941,244892,3674.994,245540,3674.934,247616,3674.883,248640,,,,,3674.937,247265,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,6,,,20932.924,241336,20782.066,243672,20812.336,245692,20811.639,246752,,,,,20802.014,245372,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,8133.072,241840,8072.275,242624,8042.304,243036,8012.098,243048,,,,,8042.225,242902,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,1536.735,231308,1446.053,232860,1446.001,233372,1445.950,233372,,,,,1446.001,233201,ok,,
