row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,__setup__,17765.977,180628195,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,,,44910.041,2673260,44247.511,2860176,44186.055,2902684,44035.150,2927356,,,,,44156.239,2896738,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,,,45451.997,2654536,44667.155,2860844,44126.922,2903140,44458.253,2926544,,,,,44417.443,2896842,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,,,44970.925,2653864,44096.544,2858176,43975.766,2851488,44187.364,2906584,,,,,44086.558,2872082,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,,,2531.743,325748,2411.012,380388,2380.323,383704,2410.438,383712,,,,,2400.591,382601,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,,,2109.884,315644,2049.034,381648,2018.839,378744,2018.849,378504,,,,,2028.907,379632,ok,,
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,46471.384,727015424,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,,,36414.210,242200,36263.356,244824,36262.790,246360,36203.290,246880,,,,,36243.145,246021,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,3,,,3795.866,244636,3674.950,246392,3674.948,247928,3674.887,248976,,,,,3674.928,247765,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,6,,,20902.482,241300,20752.205,243112,20751.858,244648,20812.297,245168,,,,,20772.120,244309,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,8133.109,242104,8072.596,242804,8042.247,242672,8012.505,243104,,,,,8042.450,242860,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,1536.771,231268,1446.151,232820,1446.100,233332,1446.017,233332,,,,,1446.089,233161,ok,,
