row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,__setup__,17813.993,180628195,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,1,,,46987.889,2684384,46205.307,2864008,46173.970,2888840,46475.480,2886220,,,,,46284.919,2879689,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,3,,,46746.331,2679080,46113.243,2853220,46053.098,2888400,45781.806,2876192,,,,,45982.716,2872604,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,6,,,45542.176,2666096,44938.660,2844548,44668.209,2913616,44938.813,2928544,,,,,44848.560,2895569,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,13,,,2501.205,340444,2410.468,377708,2380.207,378256,2410.342,388664,,,,,2400.339,381542,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",ours,22,,,2109.774,292952,2018.975,338672,2018.920,343288,2018.835,345120,,,,,2018.910,342360,ok,,
setup,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,46563.786,727015424,,,,,,,,,,,,,,,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,1,,,36293.532,242556,36293.388,244668,36113.099,246688,36112.967,247712,,,,,36173.151,246356,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,3,,,3795.878,244860,3674.926,246020,3674.816,248076,3704.887,248580,,,,,3684.877,247558,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,6,,,20932.833,241612,20842.254,243424,20812.038,244960,20842.082,245956,,,,,20832.125,244780,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,13,,,8162.958,241612,8042.225,242744,8072.132,243040,8072.417,243220,,,,,8062.258,243001,ok,,
query,tpch1,10,"11,12,13,14,15,16,17,18,19,20",rls_with_index,22,,,1536.710,231144,1446.124,233232,1446.103,233744,1445.975,233744,,,,,1446.067,233573,ok,,
