row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,1849.590,12011528,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,475.551,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,17,,,9158.149,177316,9127.733,179616,,,,,,,,,9127.733,179616,ok,,
query,tpch0_1,1,1,rls_with_index,17,,,11025.139,157236,11054.735,158232,,,,,,,,,11054.735,158232,ok,,
query,tpch0_1,1,1,ours,18,,,452.490,169928,392.376,170884,,,,,,,,,392.376,170884,ok,,
query,tpch0_1,1,1,rls_with_index,18,,,241.387,86284,241.465,91584,,,,,,,,,241.465,91584,ok,,
query,tpch0_1,1,1,ours,19,,,181.319,93996,151.083,110356,,,,,,,,,151.083,110356,ok,,
query,tpch0_1,1,1,rls_with_index,19,,,19125.640,82824,19094.901,83336,,,,,,,,,19094.901,83336,ok,,
setup,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,__setup__,19166.119,46155726,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,__setup__,3621.695,110084096,,,,,,,,,,,,,,,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,17,,,302.503,125432,241.835,147992,,,,,,,,,241.835,147992,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,17,,,271.517,132848,241.416,143368,,,,,,,,,241.416,143368,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,18,,,332.527,171148,,,,,,,,,,,0.000,0,error,db_error,ERROR:  custom_filter[engine_error]: missing allow_bits for policy-required table rel=lineitem
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,18,,,271.498,140556,241.278,149820,,,,,,,,,241.278,149820,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",ours,19,,,302.460,125312,271.942,193632,,,,,,,,,271.942,193632,ok,,
query,tpch0_1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",rls_with_index,19,,,241.465,134588,181.033,135232,,,,,,,,,181.033,135232,ok,,
