db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_1,1,1,ours,3,ok,,,0.102,20.435,37.866,2.922,170.912,12011519,75072,4804576,1584188,322795,22079,0,180972,1,1,eval_ms=0.102 artifact_load_ms=20.435 artifact_parse_ms=0.020 stamp_ms=22.737 bin_ms=9.308 local_sat_ms=0.292 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.866 ctid_map_ms=2.922 filter_ms=170.912 child_exec_ms=76.081 ctid_extract_ms=37.414 ctid_to_rid_ms=7.634 allow_check_ms=6.825 projection_ms=2.406 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=322795 rows_passed=22079 ctid_misses=0 rss_kb_before_eval=27972 rss_kb_after_eval=27972 rss_kb_after_load=47372 rss_kb_after_engine=76080 rss_kb_after_ctid=77104 rss_kb_end=180972 peak_rss_kb_end=180972
tpch0_1,1,1,ours,5,ok,,,0.119,19.672,37.864,2.806,290.639,12011519,75072,4804576,1584188,600572,299856,0,183396,1,1,eval_ms=0.119 artifact_load_ms=19.672 artifact_parse_ms=0.022 stamp_ms=22.734 bin_ms=9.260 local_sat_ms=0.294 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.864 ctid_map_ms=2.806 filter_ms=290.639 child_exec_ms=64.694 ctid_extract_ms=75.118 ctid_to_rid_ms=14.185 allow_check_ms=12.781 projection_ms=35.058 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600572 rows_passed=299856 ctid_misses=0 rss_kb_before_eval=27972 rss_kb_after_eval=27972 rss_kb_after_load=47120 rss_kb_after_engine=75892 rss_kb_after_ctid=76916 rss_kb_end=183396 peak_rss_kb_end=183396
tpch0_1,1,1,ours,7,ok,,,0.135,20.655,37.934,2.765,177.358,12011519,75072,4804576,1584188,348766,208079,0,187348,1,1,eval_ms=0.135 artifact_load_ms=20.655 artifact_parse_ms=0.021 stamp_ms=22.735 bin_ms=9.349 local_sat_ms=0.293 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.934 ctid_map_ms=2.765 filter_ms=177.358 child_exec_ms=91.575 ctid_extract_ms=23.169 ctid_to_rid_ms=4.470 allow_check_ms=3.892 projection_ms=16.140 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=348766 rows_passed=208079 ctid_misses=0 rss_kb_before_eval=27972 rss_kb_after_eval=27972 rss_kb_after_load=47080 rss_kb_after_engine=75276 rss_kb_after_ctid=76812 rss_kb_end=187348 peak_rss_kb_end=187348
tpch0_1,1,1,ours,8,ok,,,0.126,20.438,37.862,2.782,321.763,12011519,75072,4804576,1584188,662360,361644,0,189988,1,1,eval_ms=0.126 artifact_load_ms=20.438 artifact_parse_ms=0.021 stamp_ms=22.770 bin_ms=9.288 local_sat_ms=0.298 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.862 ctid_map_ms=2.782 filter_ms=321.763 child_exec_ms=86.330 ctid_extract_ms=75.570 ctid_to_rid_ms=14.155 allow_check_ms=12.768 projection_ms=39.069 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=662360 rows_passed=361644 ctid_misses=0 rss_kb_before_eval=28484 rss_kb_after_eval=28484 rss_kb_after_load=47724 rss_kb_after_engine=76432 rss_kb_after_ctid=77456 rss_kb_end=189988 peak_rss_kb_end=189988
tpch0_1,1,1,ours,10,ok,,,0.113,20.632,37.972,2.803,91.124,12011519,75072,4804576,1584188,148301,148301,0,194380,1,1,eval_ms=0.113 artifact_load_ms=20.632 artifact_parse_ms=0.021 stamp_ms=22.657 bin_ms=9.473 local_sat_ms=0.295 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=37.972 ctid_map_ms=2.803 filter_ms=91.124 child_exec_ms=38.455 ctid_extract_ms=3.208 ctid_to_rid_ms=3.565 allow_check_ms=3.127 projection_ms=16.923 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=148301 rows_passed=148301 ctid_misses=0 rss_kb_before_eval=27972 rss_kb_after_eval=27972 rss_kb_after_load=47472 rss_kb_after_engine=75732 rss_kb_after_ctid=77268 rss_kb_end=194380 peak_rss_kb_end=194380
tpch0_1,1,1,ours,12,ok,,,0.102,21.010,38.008,2.832,108.910,12011519,75072,4804576,1584188,3209,3209,0,183976,1,1,eval_ms=0.102 artifact_load_ms=21.010 artifact_parse_ms=0.021 stamp_ms=22.908 bin_ms=9.271 local_sat_ms=0.290 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.008 ctid_map_ms=2.832 filter_ms=108.910 child_exec_ms=107.176 ctid_extract_ms=0.460 ctid_to_rid_ms=0.208 allow_check_ms=0.082 projection_ms=0.396 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=3209 rows_passed=3209 ctid_misses=0 rss_kb_before_eval=27972 rss_kb_after_eval=27972 rss_kb_after_load=47340 rss_kb_after_engine=76560 rss_kb_after_ctid=77584 rss_kb_end=183976 peak_rss_kb_end=183976
tpch0_1,1,1,ours,13,ok,,,0.103,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,24300,2,1,eval_ms=0.103 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=0.000 child_exec_ms=0.000 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.000 n_scanned_tables=0 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=0 rows_passed=0 ctid_misses=0 rss_kb_before_eval=24300 rss_kb_after_eval=24300 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=24300 peak_rss_kb_end=24300
tpch0_1,1,1,ours,18,ok,,,0.087,20.349,38.982,2.756,247.144,12011519,75072,4804576,1584188,600580,299857,0,230812,1,1,eval_ms=0.087 artifact_load_ms=20.349 artifact_parse_ms=0.022 stamp_ms=22.979 bin_ms=10.007 local_sat_ms=0.302 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=38.982 ctid_map_ms=2.756 filter_ms=247.144 child_exec_ms=76.142 ctid_extract_ms=36.284 ctid_to_rid_ms=14.847 allow_check_ms=12.852 projection_ms=18.159 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600580 rows_passed=299857 ctid_misses=0 rss_kb_before_eval=27460 rss_kb_after_eval=27460 rss_kb_after_load=46924 rss_kb_after_engine=75696 rss_kb_after_ctid=76720 rss_kb_end=230812 peak_rss_kb_end=230812
tpch0_1,1,1,ours,22,ok,,,0.120,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,24300,2,1,eval_ms=0.120 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=0.000 child_exec_ms=0.000 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.000 n_scanned_tables=0 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=0 rows_passed=0 ctid_misses=0 rss_kb_before_eval=24300 rss_kb_after_eval=24300 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=24300 peak_rss_kb_end=24300
tpch0_1,5,"1,2,3,4,5",ours,3,ok,,,0.466,56.130,352.431,2.452,168.189,27977134,75072,4804576,1584188,322795,137,0,196096,1,1,eval_ms=0.466 artifact_load_ms=56.130 artifact_parse_ms=3.865 stamp_ms=198.883 bin_ms=15.359 local_sat_ms=109.974 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=352.431 ctid_map_ms=2.452 filter_ms=168.189 child_exec_ms=77.068 ctid_extract_ms=37.240 ctid_to_rid_ms=7.693 allow_check_ms=6.813 projection_ms=0.018 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=27977134 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=322795 rows_passed=137 ctid_misses=0 rss_kb_before_eval=27976 rss_kb_after_eval=27976 rss_kb_after_load=71136 rss_kb_after_engine=106500 rss_kb_after_ctid=106500 rss_kb_end=196096 peak_rss_kb_end=196096
