row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,1838.352,12011528,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,474.612,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,3,,,302.106,174328,241.604,175056,241.283,175576,241.218,175600,241.349,175604,241.323,176152,241.355,175597,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,120.934,117528,121.031,133352,120.911,133380,120.691,133892,120.709,133900,120.648,133900,120.798,133684,ok,,
query,tpch0_1,1,1,ours,5,,,422.257,173620,391.939,178736,361.777,178776,361.789,179324,361.869,179588,361.749,180104,367.825,179305,ok,,
query,tpch0_1,1,1,rls_with_index,5,,,151.167,132840,120.886,136424,120.712,136332,120.648,136844,120.686,136844,120.651,137356,120.717,136760,ok,,
query,tpch0_1,1,1,ours,7,,,271.636,168244,241.280,182072,241.259,182096,241.456,182872,241.391,182872,241.347,183524,241.347,182687,ok,,
query,tpch0_1,1,1,rls_with_index,7,,,120.922,128272,120.818,139008,120.683,138884,120.652,138884,120.640,138884,120.689,138884,120.696,138908,ok,,
query,tpch0_1,1,1,ours,8,,,452.396,184840,391.846,186336,391.915,186616,391.952,186616,391.967,186204,391.890,186208,391.914,186396,ok,,
query,tpch0_1,1,1,rls_with_index,8,,,151.057,140024,120.727,142024,120.653,142024,120.620,142024,120.619,142024,120.605,142024,120.645,142024,ok,,
query,tpch0_1,1,1,ours,10,,,241.530,189176,181.559,189688,181.727,190424,181.530,190452,181.516,190468,181.401,190500,181.547,190306,ok,,
query,tpch0_1,1,1,rls_with_index,10,,,130.111,142720,91.053,144768,91.057,145268,90.968,145276,90.958,145280,90.920,145280,90.991,145174,ok,,
query,tpch0_1,1,1,ours,12,,,211.381,166448,150.901,180404,150.831,180444,150.919,180468,150.952,180496,150.864,180496,150.893,180461,ok,,
query,tpch0_1,1,1,rls_with_index,12,,,151.019,128760,120.642,135928,120.675,135928,120.658,135928,120.660,135928,150.717,135928,126.670,135928,ok,,
query,tpch0_1,1,1,ours,13,,,90.953,55652,90.690,60944,90.615,60720,90.638,60604,90.574,60728,90.571,60612,90.618,60721,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,90.729,48888,90.600,53716,90.520,53612,90.558,53612,90.545,53616,90.490,53620,90.542,53635,ok,,
query,tpch0_1,1,1,ours,18,,,452.295,226116,391.843,226628,391.787,227008,391.779,227032,391.818,227032,391.789,227036,391.803,226947,ok,,
query,tpch0_1,1,1,rls_with_index,18,,,241.394,124424,241.258,129236,241.158,129448,241.177,129452,241.184,129456,241.162,129460,241.188,129410,ok,,
query,tpch0_1,1,1,ours,22,,,60.932,56640,30.540,59200,30.490,59200,30.392,59200,30.390,59200,30.436,59200,30.450,59200,ok,,
query,tpch0_1,1,1,rls_with_index,22,,,30.591,16980,30.352,51936,30.337,51936,30.324,51936,30.307,51936,30.313,51936,30.327,51936,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,9266.289,27977143,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2619.812,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,3,,,633.535,188424,271.840,224264,271.569,224264,271.504,224264,271.545,224264,271.528,224264,271.597,224264,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,,,331.769,141644,331.596,143148,331.492,143628,331.474,145208,301.367,145212,301.397,145216,319.465,144482,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,5,,,693.517,180720,331.740,223728,331.779,223728,331.760,230896,331.669,230896,331.648,230896,331.719,228028,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,5,,,1265.391,142736,1265.203,143356,1265.160,143400,1235.078,145668,1235.027,145676,1235.062,145676,1247.106,144755,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,7,,,633.447,186312,271.536,223176,271.590,230344,271.509,230344,241.400,230344,241.373,230344,259.481,228910,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,7,,,572.701,142272,572.431,143192,572.496,143220,542.674,145272,542.408,145276,542.499,145276,554.502,144447,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,8,,,723.741,186584,362.074,224492,361.852,232172,361.836,232172,362.149,232172,361.876,232172,361.957,230636,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,8,,,542.509,145304,512.180,145584,512.207,146140,512.170,149728,482.032,149728,482.283,149732,500.174,148182,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,10,,,512.861,151992,181.184,223844,151.141,223844,151.081,230500,151.191,230500,151.158,230500,157.151,227837,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,10,,,211.329,132068,180.938,147400,180.918,147492,180.907,147500,180.897,147504,180.956,147508,180.923,147480,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,12,,,482.728,134908,151.327,218360,121.005,220920,121.035,220920,120.877,220920,120.826,220920,127.014,220408,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,12,,,211.261,130720,180.959,143316,180.911,143544,180.873,143548,180.862,143552,180.889,143556,180.899,143503,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,13,,,91.119,53208,90.785,59060,90.745,58812,90.674,58708,90.659,58820,90.670,58712,90.706,58822,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,,,90.796,48892,90.599,53388,90.559,53284,90.551,53284,90.526,53288,90.508,53292,90.548,53307,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,18,,,663.327,213592,301.714,256600,301.678,256600,301.631,258136,271.536,258136,271.517,258136,289.615,257521,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,18,,,211.262,123028,180.949,123628,180.883,123748,180.946,123756,181.332,123760,181.068,123764,181.036,123731,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,22,,,61.065,48420,60.719,53068,30.568,53580,30.526,54092,30.737,54092,30.500,54092,36.610,53784,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,,,30.536,16988,30.361,48864,30.396,48864,30.325,48864,30.446,48864,30.341,48864,30.374,48864,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,__setup__,10673.513,32161048,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,__setup__,2875.529,80003072,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,,,603.397,119136,211.633,152840,211.402,152840,211.351,152840,211.624,153352,181.283,153352,205.459,153044,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,3,,,1024.612,139576,964.284,139864,964.128,139888,964.017,139880,994.075,140392,963.931,140996,970.087,140204,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,5,,,573.511,116496,181.436,128164,151.226,128164,151.183,128164,151.083,128164,151.048,128164,157.195,128164,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,5,,,211.295,135304,211.107,136232,211.049,136172,180.852,136176,180.883,136180,180.848,136184,192.948,136188,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,7,,,573.233,117372,181.372,128520,181.368,128520,181.214,128520,181.366,130568,181.292,130568,181.323,129339,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,7,,,181.128,128356,181.031,136784,180.841,136796,180.899,136800,180.926,136804,180.925,136808,180.924,136798,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,8,,,603.339,118340,181.428,152216,181.322,154264,181.253,154264,181.188,156312,181.183,156312,181.275,154673,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,8,,,8584.285,140888,8524.053,141488,8463.870,141008,8434.013,140528,8403.616,140376,8433.396,140416,8451.790,140763,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,10,,,663.619,166260,271.820,239260,241.697,239260,241.510,239260,241.584,239260,241.586,239260,247.639,239260,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,10,,,301.732,203864,241.209,207396,241.140,207396,241.089,207908,241.166,207576,241.090,207632,241.139,207581,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,12,,,663.646,196848,271.634,236272,241.573,236272,241.702,236272,241.558,236272,241.583,236272,247.610,236272,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,12,,,1958.383,222484,1867.783,228596,1867.630,230132,1867.571,230132,1867.553,230132,1867.577,230132,1867.623,229824,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,,,211.782,74248,181.148,85512,181.206,88072,181.146,88028,211.245,88044,181.106,88048,187.170,87540,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,13,,,120.951,114872,90.667,115904,90.568,115904,90.504,116416,90.576,116416,90.557,116416,90.574,116211,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,18,,,603.280,117896,,,,,,,,,,,0.000,0,error,db_error,ERROR:  custom_filter[engine_error]: malformed ctid_pairs_len for rel=lineitem len=145
