db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,hash,gt_rows,gt_hash,match_gt,setup_ms,disk_bytes,scan_mode,scan_mode_reason,allow_density,parallelism_off_verified,proj_sig_count,proj_mask_or_ops,proj_rid_iters,cf_exec_ms_total,custom_scan_total_ms,custom_scan_overhead_ms,cf_exec_child_next_calls_total,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,bin_ops_total,bins_touched_total,bin_rids_scanned_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,single_table_bin_fastpath_used
tpch0_1,rls_index,S_A,"1,2,3,4,5",1,1,,,121.023,119032,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,4345.349,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",3,1,,,60.818,152464,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,TRUE,4345.349,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",6,1,,,60.633,151600,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,TRUE,4345.349,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",10,1,,,61.386,155772,1307,6bf0e52f111ad9380880a72c21732711,1307,6bf0e52f111ad9380880a72c21732711,TRUE,4345.349,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,rls_index,S_A,"1,2,3,4,5",11,1,,,30.493,38060,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,TRUE,4345.349,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",1,1,,,120.689,149556,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,TRUE,4272.195,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",3,1,,,90.898,150724,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,TRUE,4272.195,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",6,1,,,60.801,149700,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,TRUE,4272.195,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",10,1,,,60.777,154052,1307,6bf0e52f111ad9380880a72c21732711,1307,6bf0e52f111ad9380880a72c21732711,TRUE,4272.195,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch0_1,sieve_index,S_A,"1,2,3,4,5",11,1,,,30.651,77384,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,TRUE,4272.195,75563008,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
