db,baseline,policy_set,policy_ids,query_id,status,error_type,error_msg,hot_ms,peak_rss_kb,rows,hash,gt_rows,gt_hash,match_gt,setup_ms,disk_bytes,scan_mode,scan_mode_reason,allow_density,parallelism_off_verified,proj_sig_count,proj_mask_or_ops,proj_rid_iters,cf_exec_ms_total,custom_scan_total_ms,custom_scan_overhead_ms,cf_exec_child_next_calls_total,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,cf_exec_rows_seen_total,cf_exec_rows_pass_total,cf_exec_rows_reject_total,cf_exec_allow_lookup_total,cf_exec_allow_lookup_ms,tid_count,tid_fetch_calls,tid_fetch_ms,tid_heap_pages_touched,tid_heap_fetch_ms,tid_slot_store_ms,tid_visibility_ms,bin_ops_total,bins_touched_total,bin_rids_scanned_total,allow_cache_hit,allow_cache_miss,allow_cache_build_ms,single_table_bin_fastpath_used
tpch1,rls_index,S_A,"1,2,3,4,5",1,1,,,1747.395,173732,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,TRUE,49636.992,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,rls_index,S_A,"1,2,3,4,5",3,1,,,1295.736,175608,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,TRUE,49636.992,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,rls_index,S_A,"1,2,3,4,5",6,1,,,632.848,148684,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,TRUE,49636.992,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,rls_index,S_A,"1,2,3,4,5",10,1,,,1434.608,190100,12535,01e8e4842c266e7d3b30715a66ba8a97,12535,01e8e4842c266e7d3b30715a66ba8a97,TRUE,49636.992,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,rls_index,S_A,"1,2,3,4,5",11,1,,,294.533,29256,22571,1cf2beddfd31f4171650def4bcfe68ab,22571,1cf2beddfd31f4171650def4bcfe68ab,TRUE,49636.992,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,sieve_index,S_A,"1,2,3,4,5",1,1,,,1777.432,174648,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,TRUE,49672.702,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,sieve_index,S_A,"1,2,3,4,5",3,1,,,1416.000,175520,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,TRUE,49672.702,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,sieve_index,S_A,"1,2,3,4,5",6,1,,,1205.107,173928,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,TRUE,49672.702,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,sieve_index,S_A,"1,2,3,4,5",10,1,,,1451.253,190104,12535,01e8e4842c266e7d3b30715a66ba8a97,12535,01e8e4842c266e7d3b30715a66ba8a97,TRUE,49672.702,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,sieve_index,S_A,"1,2,3,4,5",11,1,,,293.668,30792,22571,1cf2beddfd31f4171650def4bcfe68ab,22571,1cf2beddfd31f4171650def4bcfe68ab,TRUE,49672.702,753713152,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpch1,ours,S_A,"1,2,3,4,5",1,1,,,15090.080,1082188,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,TRUE,32772.624,287565093,TID,sparse_tid,0.066936,true,0,0,0,489.377,489.377,84.787,0,0.000,0.000,0.000,0.000,63.126,401698,401698,0,401698,0.000,401698,401698,308.808,107896,308.808,78.675,308.808,1867977,1867952,74576952,0,1,997.183,0
tpch1,ours,S_A,"1,2,3,4,5",3,1,,,14849.238,1081988,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,TRUE,32772.624,287565093,TID,sparse_tid,0.066936,true,0,0,0,357.306,357.306,31.838,0,0.000,0.000,0.000,0.000,4.030,401698,25163,376535,401698,0.000,401698,401698,290.060,107896,290.060,5.047,290.060,1867977,1867952,74576952,0,1,973.318,0
tpch1,ours,S_A,"1,2,3,4,5",6,1,,,14547.850,1081608,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,TRUE,32772.624,287565093,TID,sparse_tid,0.066936,true,0,0,0,379.565,379.565,30.333,0,0.000,0.000,0.000,0.000,2.342,401698,16364,385334,401698,0.000,401698,401698,297.359,107896,297.359,3.001,297.359,1867977,1867952,74576952,0,1,974.678,0
