run_id,ts,db,K,query_id,policy_total_ms,artifact_load_ms,artifact_parse_ms,ctid_map_ms,filter_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,rss_mb,rows_filtered,rows_returned,pe_total_ms,pe_load_ms,pe_local_ms,pe_prop_ms,pe_decode_ms,local_stamp_ms,local_bin_ms,local_eval_ms,local_fill_ms,prop_ms_bundle,status,error_type,error_msg,policy_profile_lines,policy_profile_query_lines,policy_profile_bundle_lines
layer_probe_20260214_055227,2026-02-14T05:52:33+05:30,tpch0_1,5,1,668.131,54.665,31.977,2.511,280.436,88.181,83.760,13.946,13.173,5.340,110.566,560326,40243,668.131,31.977,611.315,0.000,0.000,188.433,6.223,112.351,304.308,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:34+05:30,tpch0_1,5,3,667.906,54.608,31.749,2.552,209.714,103.494,38.379,7.516,7.113,6.756,111.785,320283,78468,667.906,31.749,611.213,0.000,0.000,189.214,6.224,112.236,303.540,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:35+05:30,tpch0_1,5,6,673.116,54.164,31.624,2.556,82.330,78.530,1.339,0.410,0.260,0.200,110.898,9791,1691,673.116,31.624,616.753,0.000,0.000,194.415,6.723,112.230,303.386,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:35+05:30,tpch0_1,5,13,0.000,0.000,0.000,0.000,75.971,49.861,0.000,0.000,0.000,12.291,52.812,0,163292,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_055227,2026-02-14T05:52:35+05:30,tpch0_1,5,22,0.000,0.000,0.000,0.000,56.411,34.085,0.000,0.000,0.000,9.380,50.355,0,155718,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_055227,2026-02-14T05:52:43+05:30,tpch0_1,15,1,672.801,73.389,35.039,2.579,280.323,88.325,83.403,13.986,13.169,5.341,128.094,560326,40243,672.801,35.039,74.720,0.000,0.000,9.810,1.489,12.196,51.225,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:43+05:30,tpch0_1,15,3,671.752,73.121,35.312,3.340,36.104,17.684,6.185,1.728,1.594,0.000,129.656,73099,1,671.752,35.312,75.945,0.000,0.000,9.926,1.520,12.364,52.134,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:44+05:30,tpch0_1,15,6,669.032,74.693,36.035,2.585,81.902,78.070,1.339,0.426,0.264,0.208,126.949,9791,1691,669.032,36.035,75.888,0.000,0.000,10.948,1.496,12.162,51.282,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:45+05:30,tpch0_1,15,13,151.103,10.925,5.690,0.793,4.860,1.547,0.807,0.346,0.329,0.000,52.566,15000,0,151.103,5.690,50.167,0.000,0.000,4.176,0.143,8.797,37.051,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:52:45+05:30,tpch0_1,15,22,147.169,10.628,5.564,0.771,14.777,13.907,0.227,0.092,0.084,0.000,52.309,3823,0,147.169,5.564,50.270,0.000,0.000,4.165,0.143,8.820,37.141,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:53:39+05:30,tpch1,5,1,2962.345,530.687,357.077,28.259,2756.713,833.923,836.380,139.803,131.964,53.234,841.250,5599499,401698,2962.345,357.077,2425.016,0.000,0.000,1899.239,66.076,118.837,340.864,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:53:45+05:30,tpch1,5,3,2954.528,522.730,358.182,28.424,2052.473,980.300,389.848,75.242,71.152,69.393,842.598,3201498,786202,2954.528,358.182,2416.514,0.000,0.000,1891.159,66.085,119.106,340.164,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:53:49+05:30,tpch1,5,6,2951.659,522.647,352.220,27.968,791.098,751.846,14.272,4.606,2.570,1.993,840.785,97874,16364,2951.659,352.220,2418.496,0.000,0.000,1892.771,66.203,119.222,340.300,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:53:51+05:30,tpch1,5,13,0.000,0.000,0.000,0.000,759.131,499.884,0.000,0.000,0.000,123.288,127.230,0,1633672,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_055227,2026-02-14T05:53:51+05:30,tpch1,5,22,0.000,0.000,0.000,0.000,543.472,317.688,0.000,0.000,0.000,95.243,61.441,0,1557136,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_055227,2026-02-14T05:55:01+05:30,tpch1,15,1,4291.190,730.131,407.747,26.272,2760.177,835.300,839.352,139.872,130.809,53.917,973.488,5599499,401698,4291.190,407.747,190.192,0.000,0.000,97.947,14.403,12.220,65.621,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:55:07+05:30,tpch1,15,3,4307.208,706.297,406.096,34.242,368.868,182.108,62.943,17.182,16.129,0.001,973.625,731285,1,4307.208,406.096,190.790,0.000,0.000,98.552,14.314,12.289,65.635,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:55:13+05:30,tpch1,15,6,4276.608,705.624,401.102,26.267,789.274,750.272,13.669,4.908,2.572,2.035,972.211,97874,16364,4276.608,401.102,189.060,0.000,0.000,96.969,14.326,12.217,65.549,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:55:14+05:30,tpch1,15,13,1005.560,87.558,58.345,7.136,74.214,40.568,8.445,3.491,3.304,0.000,232.402,150000,0,1005.560,58.345,94.233,0.000,0.000,43.047,1.427,8.803,40.956,0.000,ok,,,2,1,1
layer_probe_20260214_055227,2026-02-14T05:55:15+05:30,tpch1,15,22,1000.899,88.611,59.003,7.087,151.832,143.131,2.256,0.946,0.838,0.000,185.707,38107,0,1000.899,59.003,95.357,0.000,0.000,44.110,1.408,8.837,41.004,0.000,ok,,,2,1,1
