run_id,ts,db,K,query_id,policy_total_ms,artifact_load_ms,artifact_parse_ms,atoms_ms,presence_ms,project_ms,ctid_map_ms,filter_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,rss_mb,rows_filtered,rows_returned,pe_total_ms,pe_load_ms,pe_local_ms,pe_prop_ms,pe_decode_ms,local_stamp_ms,local_bin_ms,local_eval_ms,local_fill_ms,prop_ms_bundle,status,error_type,error_msg,policy_profile_lines,policy_profile_query_lines,policy_profile_bundle_lines
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:05+05:30,tpch0_1,5,1,730.315,16.545,4.209,20.170,0.000,0.000,2.648,281.812,89.613,83.730,14.131,13.109,5.198,145.789,560326,40243,730.315,4.209,699.747,0.000,0.000,276.992,7.025,112.342,303.387,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:06+05:30,tpch0_1,5,3,729.524,16.925,4.165,20.415,0.000,0.000,2.703,171.293,77.635,38.754,7.549,7.057,0.289,146.820,320283,2512,729.524,4.165,698.887,0.000,0.000,277.003,6.124,112.082,303.678,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:07+05:30,tpch0_1,5,6,728.978,16.122,4.092,20.619,0.000,0.000,2.700,82.488,78.707,1.347,0.384,0.271,0.188,145.477,9791,1691,728.978,4.092,698.452,0.000,0.000,277.145,6.115,112.203,302.989,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:07+05:30,tpch0_1,5,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.848,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:07+05:30,tpch0_1,5,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.848,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:14+05:30,tpch0_1,15,1,757.399,20.754,5.134,25.488,487.384,8.988,2.546,281.875,89.929,83.501,14.048,13.096,5.139,172.051,560326,40243,757.399,5.134,81.201,0.000,8.988,15.590,1.508,12.249,51.855,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:15+05:30,tpch0_1,15,3,760.649,20.705,5.234,25.534,489.583,8.943,3.306,37.666,19.091,6.359,1.698,1.602,0.000,172.312,73099,1,760.649,5.234,81.223,0.000,8.943,15.726,1.510,12.262,51.726,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:16+05:30,tpch0_1,15,6,759.986,20.511,5.056,25.392,490.596,8.888,2.540,82.984,79.181,1.343,0.405,0.268,0.201,170.930,9791,1691,759.986,5.056,81.794,0.000,8.888,16.129,1.563,12.241,51.859,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:16+05:30,tpch0_1,15,13,171.135,6.224,1.773,16.126,72.426,1.137,0.761,5.140,1.818,0.821,0.344,0.326,0.000,64.113,15000,0,171.135,1.773,56.663,0.000,1.137,10.465,0.286,8.814,37.099,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:52:17+05:30,tpch0_1,15,22,169.743,6.058,1.688,16.187,71.888,1.120,0.820,15.768,14.852,0.245,0.094,0.085,0.000,63.934,3823,0,169.743,1.688,56.657,0.000,1.120,10.387,0.277,8.834,37.158,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:53:11+05:30,tpch1,5,1,3440.441,122.936,30.251,144.348,0.000,0.000,25.679,2752.485,828.363,839.553,140.769,130.866,52.322,726.324,5599499,401698,3440.441,30.251,3230.964,0.000,0.000,2707.044,64.506,118.795,340.618,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:53:17+05:30,tpch1,5,3,3462.771,123.265,29.907,144.385,0.000,0.000,25.623,1714.739,770.629,393.410,76.170,70.558,2.994,727.082,3201498,25163,3462.771,29.907,3253.907,0.000,0.000,2729.139,64.583,118.901,341.285,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:53:21+05:30,tpch1,5,6,3461.255,122.965,29.993,144.182,0.000,0.000,25.713,787.638,749.538,13.503,4.351,2.631,1.902,725.438,97874,16364,3461.255,29.993,3252.050,0.000,0.000,2723.121,64.642,120.810,343.477,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:53:22+05:30,tpch1,5,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.445,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:53:23+05:30,tpch1,5,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.445,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:54:34+05:30,tpch1,15,1,6088.650,164.391,43.352,216.318,4039.130,88.363,25.673,2753.360,828.288,839.538,141.648,130.916,52.122,1138.348,5599499,401698,6088.650,43.352,303.077,0.000,88.363,209.935,15.149,12.277,65.716,0.000,ok,,,2,1,1
layer_probe_gate_nontargets_20260215_194800,2026-02-14T19:54:41+05:30,tpch1,15,3,6069.596,163.560,42.880,214.990,4028.248,87.376,32.714,374.088,184.989,65.477,17.267,15.970,0.001,1138.898,731285,1,6069.596,42.880,303.967,0.000,87.376,210.937,15.025,12.316,65.690,0.000,ok,,,2,1,1
