run_id,ts,db,K,query_id,policy_total_ms,artifact_load_ms,artifact_parse_ms,atoms_ms,ctid_map_ms,filter_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,rss_mb,rows_filtered,rows_returned,pe_total_ms,pe_load_ms,pe_local_ms,pe_prop_ms,pe_decode_ms,local_stamp_ms,local_bin_ms,local_eval_ms,local_fill_ms,prop_ms_bundle,status,error_type,error_msg,policy_profile_lines,policy_profile_query_lines,policy_profile_bundle_lines
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:35+05:30,tpch0_1,5,1,751.209,14.863,4.074,20.637,2.723,282.720,88.935,84.412,13.939,13.375,5.507,134.695,560326,40243,751.209,4.074,720.280,0.000,0.000,300.027,6.373,112.015,301.866,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:36+05:30,tpch0_1,5,3,753.405,15.629,4.060,20.761,2.726,210.536,103.716,38.950,7.503,7.210,6.565,135.730,320283,78468,753.405,4.060,722.373,0.000,0.000,300.373,7.295,112.318,302.388,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:37+05:30,tpch0_1,5,6,750.062,15.212,3.958,20.315,2.694,81.540,77.757,1.337,0.387,0.265,0.189,134.461,9791,1691,750.062,3.958,719.759,0.000,0.000,298.938,6.363,111.870,302.588,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:37+05:30,tpch0_1,5,13,0.000,0.000,0.000,0.000,0.000,75.292,49.440,0.000,0.000,0.000,12.128,52.926,0,163292,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:37+05:30,tpch0_1,5,22,0.000,0.000,0.000,0.000,0.000,55.598,33.921,0.000,0.000,0.000,8.797,50.445,0,155718,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:44+05:30,tpch0_1,15,1,741.376,18.812,5.279,25.342,2.610,281.703,88.797,83.287,13.925,13.352,5.913,158.598,560326,40243,741.376,5.279,82.739,0.000,0.000,17.161,1.572,12.248,51.758,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:45+05:30,tpch0_1,15,3,738.752,19.121,5.019,25.540,3.345,36.496,17.868,6.319,1.702,1.639,0.000,159.594,73099,1,738.752,5.019,82.777,0.000,0.000,17.358,1.609,12.214,51.595,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:46+05:30,tpch0_1,15,6,739.773,18.369,5.320,25.610,2.617,81.969,78.173,1.336,0.402,0.267,0.203,157.508,9791,1691,739.773,5.320,82.515,0.000,0.000,17.074,1.558,12.182,51.699,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:46+05:30,tpch0_1,15,13,164.283,5.956,1.656,15.705,0.900,5.185,1.605,0.946,0.357,0.351,0.000,58.438,15000,0,164.283,1.656,57.329,0.000,0.000,11.181,0.283,8.838,37.028,0.000,ok,,,2,1,1
layer_probe_k5_15_q1_3_6_13_22_20260214_081528,2026-02-14T08:15:47+05:30,tpch0_1,15,22,162.962,5.720,1.635,15.702,0.841,14.983,14.101,0.232,0.092,0.085,0.000,57.414,3823,0,162.962,1.635,57.121,0.000,0.000,11.215,0.281,8.774,36.851,0.000,ok,,,2,1,1
