run_id,ts,db,K,query_id,policy_total_ms,artifact_load_ms,artifact_parse_ms,atoms_ms,presence_ms,project_ms,ctid_map_ms,filter_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,rss_mb,rows_filtered,rows_returned,pe_total_ms,pe_load_ms,pe_local_ms,pe_prop_ms,pe_decode_ms,local_stamp_ms,local_bin_ms,local_eval_ms,local_fill_ms,prop_ms_bundle,status,error_type,error_msg,policy_profile_lines,policy_profile_query_lines,policy_profile_bundle_lines
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:30+05:30,tpch0_1,5,1,723.484,16.385,4.206,20.851,0.000,0.000,2.715,281.835,89.931,83.234,14.172,13.101,5.507,145.844,560326,40243,723.484,4.206,692.435,0.000,0.000,271.533,6.262,112.394,302.245,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:31+05:30,tpch0_1,5,3,720.270,16.290,4.175,20.987,0.000,0.000,2.702,170.633,77.157,38.515,7.585,7.073,0.336,146.887,320283,2512,720.270,4.175,689.029,0.000,0.000,267.888,6.212,111.769,303.161,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:32+05:30,tpch0_1,5,6,719.449,16.549,4.288,20.792,0.000,0.000,2.729,82.723,78.903,1.356,0.428,0.260,0.193,145.605,9791,1691,719.449,4.288,688.424,0.000,0.000,267.346,6.209,111.847,303.023,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:32+05:30,tpch0_1,5,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.473,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:32+05:30,tpch0_1,5,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.473,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:40+05:30,tpch0_1,15,1,745.278,20.515,5.157,25.812,471.742,9.842,2.589,283.801,91.453,83.044,14.092,13.907,5.456,171.621,560326,40243,745.278,5.157,81.571,0.000,9.842,15.699,1.676,12.263,51.932,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:41+05:30,tpch0_1,15,3,746.453,20.450,5.203,25.991,471.651,10.027,3.436,37.703,19.075,6.322,1.772,1.593,0.000,172.445,73099,1,746.453,5.203,81.234,0.000,10.027,15.648,1.631,12.234,51.720,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:42+05:30,tpch0_1,15,6,743.657,20.716,5.158,25.658,470.231,10.356,2.592,82.741,78.892,1.354,0.445,0.261,0.203,171.000,9791,1691,743.657,5.158,81.051,0.000,10.356,15.437,1.626,12.200,51.788,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:42+05:30,tpch0_1,15,13,164.618,6.209,1.769,16.331,66.181,1.192,0.787,5.133,1.796,0.824,0.351,0.328,0.000,64.168,15000,0,164.618,1.769,56.389,0.000,1.192,10.141,0.288,8.821,37.140,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:16:42+05:30,tpch0_1,15,22,163.758,6.030,1.708,16.097,65.999,1.218,0.831,15.696,14.785,0.237,0.098,0.086,0.000,63.570,3823,0,163.758,1.708,56.255,0.000,1.218,10.224,0.287,8.779,36.965,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:17:37+05:30,tpch1,5,1,3381.800,123.497,30.906,146.692,0.000,0.000,26.197,2749.604,831.092,834.238,141.122,131.112,52.184,726.148,5599499,401698,3381.800,30.906,3168.786,0.000,0.000,2643.770,65.613,118.839,340.564,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:17:42+05:30,tpch1,5,3,3371.268,122.956,30.882,146.507,0.000,0.000,26.080,1715.001,768.740,393.923,76.511,71.057,3.463,726.652,3201498,25163,3371.268,30.882,3158.775,0.000,0.000,2633.085,65.263,119.159,341.268,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:17:47+05:30,tpch1,5,6,3377.792,123.619,30.862,146.648,0.000,0.000,26.224,785.782,747.617,13.548,4.489,2.561,1.917,725.445,97874,16364,3377.792,30.862,3165.119,0.000,0.000,2635.642,67.788,119.769,341.919,0.000,ok,,,2,1,1
layer_probe_scanonce_20260215_231054,2026-02-14T23:17:48+05:30,tpch1,5,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.465,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_scanonce_20260215_231054,2026-02-14T23:17:48+05:30,tpch1,5,22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.465,0,0,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
