row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,__setup__,27830.989,338916208,,,,,,,,,,,,,,,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,,,5754.370,1147912,5663.357,1155808,,,,,,,,,5663.357,1155808,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,,,3224.264,1148716,3133.563,1155648,,,,,,,,,3133.563,1155648,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,6,,,3675.822,1146456,3584.906,1153520,,,,,,,,,3584.906,1153520,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,,,483.102,239596,452.901,280608,,,,,,,,,452.901,280608,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,,,483.093,191828,482.755,226920,,,,,,,,,482.755,226920,ok,,
setup,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,__setup__,56146.990,918839296,,,,,,,,,,,,,,,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,,,3133.167,239840,3012.426,241816,,,,,,,,,3012.426,241816,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,,,30.832,16024,30.390,21304,,,,,,,,,30.390,21304,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,6,,,1897.948,233012,1807.616,233804,,,,,,,,,1807.616,233804,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,13,,,90.995,82708,60.497,187404,,,,,,,,,60.497,187404,ok,,
query,tpch1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,22,,,30.571,17560,30.532,125968,,,,,,,,,30.532,125968,ok,,
