run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,result_hash,ours_count,ours_hash,rls_count,rls_hash,correctness
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",ours,1,0,1,1.511,875.935,877.446,189.801,ok,,,2,81252ed4c0d3dca2fb75e84361626dd5,2,81252ed4c0d3dca2fb75e84361626dd5,2,81252ed4c0d3dca2fb75e84361626dd5,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",rls_with_index,1,0,1,6.486,2210.841,2217.327,219.605,ok,,,2,81252ed4c0d3dca2fb75e84361626dd5,2,81252ed4c0d3dca2fb75e84361626dd5,2,81252ed4c0d3dca2fb75e84361626dd5,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",ours,3,0,1,1.090,790.780,791.870,193.273,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",rls_with_index,3,0,1,3.399,2041.871,2045.270,231.129,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",ours,6,0,1,0.857,657.026,657.883,254.898,ok,,,1,d48b425b87b47b5a094f58d4076ecbb7,1,d48b425b87b47b5a094f58d4076ecbb7,1,d48b425b87b47b5a094f58d4076ecbb7,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",rls_with_index,6,0,1,2.842,1840.489,1843.331,244.914,ok,,,1,d48b425b87b47b5a094f58d4076ecbb7,1,d48b425b87b47b5a094f58d4076ecbb7,1,d48b425b87b47b5a094f58d4076ecbb7,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",ours,13,0,1,0.763,134.498,135.261,169.234,ok,,,23,b5d1f5376abf74fb041b8e33b80925ca,23,b5d1f5376abf74fb041b8e33b80925ca,23,b5d1f5376abf74fb041b8e33b80925ca,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",rls_with_index,13,0,1,0.761,1096.746,1097.507,247.926,ok,,,23,b5d1f5376abf74fb041b8e33b80925ca,23,b5d1f5376abf74fb041b8e33b80925ca,23,b5d1f5376abf74fb041b8e33b80925ca,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",ours,22,0,1,1.063,93.403,94.466,169.234,ok,,,7,83bc995168ba104e267a9b7e441605da,7,83bc995168ba104e267a9b7e441605da,7,83bc995168ba104e267a9b7e441605da,1
matrix_factored_combo_11_20_1_10_retry_20260220_1125,2026-02-20T11:26:38+05:30,tpch0_1,15,"11,12,13,14,15,16,17,18,19,20,1,2,3,4,5",rls_with_index,22,0,1,0.682,105.000,105.682,247.910,ok,,,7,83bc995168ba104e267a9b7e441605da,7,83bc995168ba104e267a9b7e441605da,7,83bc995168ba104e267a9b7e441605da,1
