run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,result_hash,ours_count,ours_hash,rls_count,rls_hash,correctness
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",ours,1,0,1,0.703,1116.777,1117.480,117.812,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.703,141.899,142.602,98.102,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",ours,3,0,1,0.512,984.888,985.400,150.805,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,0,1,0.367,61.008,61.375,138.840,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",ours,6,0,1,0.335,840.019,840.354,151.270,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,0,1,0.177,40.864,41.041,138.770,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",ours,13,0,1,0.259,144.943,145.202,125.445,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,0,1,0.224,98.043,98.267,138.367,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",ours,22,0,1,0.177,74.820,74.997,125.445,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:16+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,0,1,0.169,33.714,33.883,137.895,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,0,1,1.193,1145.328,1146.521,157.496,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,0,1,3.292,912.017,915.309,228.711,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,0,1,0.941,820.630,821.571,248.430,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,3,0,1,3.069,0.192,3.261,227.895,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,6,0,1,0.765,856.712,857.477,287.898,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,6,0,1,1.481,672.997,674.478,227.895,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,13,0,1,0.270,174.573,174.843,224.434,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,13,0,1,1.685,1.026,2.711,229.895,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,22,0,1,0.189,188.172,188.361,227.434,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:04:35+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,22,0,1,1.755,0.913,2.668,229.895,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",ours,1,0,1,0.817,7179.577,7180.394,698.801,ok,,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.768,1943.660,1944.428,220.930,ok,,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",ours,3,0,1,0.520,6079.632,6080.152,692.199,ok,,,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",rls_with_index,3,0,1,0.407,1569.576,1569.983,241.738,ok,,,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",ours,6,0,1,0.346,4423.273,4423.619,725.273,ok,,,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",rls_with_index,6,0,1,0.185,1192.886,1193.071,253.773,ok,,,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,1
matrix_tpch0_1_tpch1_K5_15_q1_3_6_13_22_20260214_090401,2026-02-14T09:06:44+05:30,tpch1,5,"1,2,3,4,5",ours,13,0,1,0.335,1715.674,1716.009,257.441,ok,,,42,6789fe4f627c452d04e01d4e1a4c0384,42,6789fe4f627c452d04e01d4e1a4c0384,42,6789fe4f627c452d04e01d4e1a4c0384,1
