run_id,ts,db,K,policy_ids,baseline,query_id,warmup_runs,timed_runs,planning_ms,execution_ms,total_ms,peak_rss_mb,status,error_type,error_msg,result_count,result_hash,ours_count,ours_hash,rls_count,rls_hash,correctness
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",ours,1,0,1,0.771,4402.327,4403.098,178.863,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,0,1,0.913,110.101,111.014,135.672,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",ours,3,0,1,0.498,4256.562,4257.060,229.727,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,0,1,0.351,57.785,58.136,149.387,ok,,,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,311,5db592aa190655620ba81ec9a3cc3d4c,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",ours,6,0,1,0.318,4143.640,4143.958,232.230,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,0,1,0.164,40.869,41.033,149.316,ok,,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1,20c82b47b7d063d653bdf9fbc14c23a2,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",ours,13,0,1,0.396,98.304,98.700,174.129,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,0,1,0.228,100.543,100.771,148.914,ok,,,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,37,7590ec7055e099a850b01dde0049b951,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",ours,22,0,1,0.373,34.928,35.301,174.129,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:53:48+05:30,tpch0_1,5,"1,2,3,4,5",rls_with_index,22,0,1,0.170,34.219,34.389,148.285,ok,,,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,7,2128e7251299ad57dcae8e45ad4d723b,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:54:47+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,1,0,1,1.255,7029.498,7030.753,174.672,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:54:47+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",rls_with_index,1,0,1,4.095,915.206,919.301,233.434,ok,,,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,2,6b23519e9bb6976fc8207bcb897b2800,1
matrix_tripartite_remote_20260218_074749,2026-02-17T07:54:47+05:30,tpch0_1,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",ours,3,0,1,0.912,6692.139,6693.051,248.945,ok,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,1
