row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,1,1,ours,__setup__,705.049,10810396,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,1,1,rls_with_index,__setup__,469.101,8372224,,,,,,,,,,,,,,,ok,,
query,tpch0_1,1,1,ours,1,,,693.877,138596,663.024,164196,662.945,164392,,,,,,,662.984,164294,ok,,
query,tpch0_1,1,1,rls_with_index,1,,,361.715,108304,361.811,114960,361.578,114960,,,,,,,361.694,114960,ok,,
query,tpch0_1,1,1,ours,3,,,301.772,164760,271.557,187948,271.449,188020,,,,,,,271.503,187984,ok,,
query,tpch0_1,1,1,rls_with_index,3,,,120.825,125724,120.765,140060,120.644,140176,,,,,,,120.705,140118,ok,,
query,tpch0_1,1,1,ours,6,,,151.147,119016,120.824,164072,120.855,164120,,,,,,,120.839,164096,ok,,
query,tpch0_1,1,1,rls_with_index,6,,,120.765,111376,90.571,114448,90.586,114448,,,,,,,90.579,114448,ok,,
query,tpch0_1,1,1,ours,13,,,151.087,55096,120.793,55236,120.723,55012,,,,,,,120.758,55124,ok,,
query,tpch0_1,1,1,rls_with_index,13,,,90.644,43224,90.568,48768,90.577,48616,,,,,,,90.573,48692,ok,,
setup,tpch0_1,5,"1,2,3,4,5",ours,__setup__,4006.636,26776011,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,"1,2,3,4,5",rls_with_index,__setup__,2627.892,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,1,,,573.084,149856,361.834,209708,361.971,209712,,,,,,,361.903,209710,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,1,,,120.817,104252,120.770,118844,120.653,118504,,,,,,,120.711,118674,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,3,,,482.631,152348,271.503,208160,271.686,208164,,,,,,,271.595,208162,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,3,,,90.734,126232,60.575,144152,60.486,143900,,,,,,,60.530,144026,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,6,,,362.143,133884,151.122,211580,151.133,211588,,,,,,,151.128,211584,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,6,,,60.616,62280,60.688,119544,60.490,119180,,,,,,,60.589,119362,ok,,
query,tpch0_1,5,"1,2,3,4,5",ours,13,,,151.307,54616,150.924,54772,120.773,54552,,,,,,,135.849,54662,ok,,
query,tpch0_1,5,"1,2,3,4,5",rls_with_index,13,,,90.680,42724,90.546,48828,90.515,48772,,,,,,,90.531,48800,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,__setup__,4161.548,30629904,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,__setup__,2851.991,80003072,,,,,,,,,,,,,,,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,1,,,573.377,120876,392.162,182248,392.123,182764,,,,,,,392.143,182506,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,1,,,120.808,91072,120.846,118396,120.640,118072,,,,,,,120.743,118234,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,3,,,543.012,151068,362.015,238960,362.157,239520,,,,,,,362.086,239240,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,3,,,30.565,23320,30.486,28988,30.355,28988,,,,,,,30.421,28988,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,6,,,362.299,128668,151.196,231388,151.288,210896,,,,,,,151.242,221142,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,6,,,60.624,61804,60.640,120080,60.697,119752,,,,,,,60.668,119916,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",ours,13,,,211.600,65860,211.225,76756,211.281,77152,,,,,,,211.253,76954,ok,,
query,tpch0_1,10,"1,2,3,4,5,10,11,12,13,14",rls_with_index,13,,,30.529,22312,30.505,23960,30.337,23960,,,,,,,30.421,23960,ok,,
