db,K,query_id,correctness,ours_count,rls_count,reason
tpch0_1,1,1,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,1,3,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,1,6,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,1,13,1,37,37,
tpch0_1,5,1,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,5,3,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,5,6,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,5,13,1,37,37,
tpch0_1,10,1,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,10,3,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,10,6,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
tpch0_1,10,13,skip,,,ours_count_failed: custom_filter[memctx_violation]: allocation escaped query context (label=artifact_blob rel=<global>) 
