db,policy_set,policy_ids,query_id,status,reason,ours_rows,ours_hash,gt_rows,gt_hash,ours_ms,rls_ms,ours_rss_kb,run_id,files_table,hygiene_ok,pfv3_route,pfv3_route_count,pfv3_legacy_fallback_taken,pfv3_dp_td_bags,pfv3_dp_width_max,pfv3_msg_tuples_total,pfv3_factor_tuple_total,pfv3_factor_rows_scanned_total,pfv3_dp_ms,pfv3_allowed_tuples_target,pfv3_target_rows_scanned,pfv3_target_rows_allowed,pfv3_target_rows_stamped,pfv3_stamp_ms,pfv3_used_bins,pfv3_bin_slices_touched,pfv3_bin_intersections,pfv3_bin_rid_iters,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,S1,"1,2,3,4,5",1,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),,,2,755fb94a0398adb8a139aba533ddab35,1929.853,1898.131,620796,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,578.540,6,36007290,6077862,6077862,578.483,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",3,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),,,3007,2df11eab7f17777967092248e90ca6dd,1868.500,1536.775,622116,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,569.440,6,36007290,6077862,6077862,569.382,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",6,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),,,1,22e1def56e0b26b26d77ccfa7de9c5c6,1868.418,783.727,620724,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,571.340,6,36007290,6077862,6077862,571.283,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",13,PASS,,42,6789fe4f627c452d04e01d4e1a4c0384,42,6789fe4f627c452d04e01d4e1a4c0384,1085.204,1084.849,166136,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",22,PASS,,7,8fb9a5eb160efdc9d8879b2ad503adfe,7,8fb9a5eb160efdc9d8879b2ad503adfe,332.253,331.755,144376,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",1,PASS,,4,a2b9213f118bea73614f99abc44624fe,4,a2b9213f118bea73614f99abc44624fe,6114.936,6114.434,198184,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",3,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,512.890,60.770,130652,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.338,20,3000000,275448,275448,35.196,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",6,PASS,,1,a48343de54b0874914799f71b8d6459a,1,a48343de54b0874914799f71b8d6459a,814.068,813.544,196680,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",13,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,482.736,30.654,131384,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.198,20,3000000,275448,275448,35.059,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",22,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,482.659,30.581,83328,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.422,20,3000000,275448,275448,35.280,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",1,FAIL,rows/hash mismatch,4,43cadfb1b4fa0a30764f348ef4f9c7be,4,2abadc97238956035753729fda626a7d,486112.395,36294.627,2095352,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,377178.733,2935817,499597200,8034304,2190665,21677.162,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",3,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,486060.590,3765.691,2093660,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,377642.169,2935817,499597200,8034304,2190665,21647.574,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",6,FAIL,rows/hash mismatch,1,e61def2c90f406c262165b14d14ba723,1,34fe41804c0eec91827dd2b95857bc9f,483799.192,20903.913,2055596,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,376777.971,2935817,499597200,8034304,2190665,21613.285,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",13,PASS,,27,5008c53bf2a6d75171e4a45f337329f0,27,5008c53bf2a6d75171e4a45f337329f0,4368.673,8133.775,241444,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,13,0,25,1,262603,2684595,21450220,2910.865,262563,19500000,2190665,0,937.325,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",22,PASS,,7,157b1bea83899f906d826869f3e58863,7,157b1bea83899f906d826869f3e58863,3916.935,1536.837,192220,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,13,0,25,1,262603,2684595,21450220,2864.725,262563,19500000,2190665,0,931.685,0,0,0,0,0,0,0
tpch1,MIX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",1,ERROR,ERROR:  custom_filter: policy_run failed (target_count=3 atom_count=74),,,0,d41d8cd98f00b204e9800998ecf8427e,8014.478,4789.598,1076852,cf_59d1b350074e60a4a66d,public.cf_files_cf_59d1b350074e60a4a66d,1,pfv3_solver,40,0,51,1,262603,2684621,21452075,3615.154,262589,58507290,8543975,8543975,1548.281,0,0,0,0,,,
tpch1,MIX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",3,ERROR,ERROR:  custom_filter: policy_run failed (target_count=3 atom_count=74),,,0,d41d8cd98f00b204e9800998ecf8427e,7983.615,91.022,1079508,cf_59d1b350074e60a4a66d,public.cf_files_cf_59d1b350074e60a4a66d,1,pfv3_solver,40,0,51,1,262603,2684621,21452075,3604.441,262589,58507290,8543975,8543975,1542.127,0,0,0,0,,,
tpch1,MIX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",6,ERROR,ERROR:  custom_filter: policy_run failed (target_count=3 atom_count=74),,,1,387a67b70a578ec87da2bb781f0f1076,8073.602,4126.858,1077680,cf_59d1b350074e60a4a66d,public.cf_files_cf_59d1b350074e60a4a66d,1,pfv3_solver,40,0,51,1,262603,2684621,21452075,3639.612,262589,58507290,8543975,8543975,1551.334,0,0,0,0,,,
tpch1,MIX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",13,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,3856.799,121.086,258816,cf_59d1b350074e60a4a66d,public.cf_files_cf_59d1b350074e60a4a66d,1,pfv3_solver,33,0,45,1,262603,2684615,21451730,2900.974,262583,22500000,2466113,275448,968.016,0,0,0,0,0,0,0
tpch1,MIX,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",22,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,3917.020,30.619,212664,cf_59d1b350074e60a4a66d,public.cf_files_cf_59d1b350074e60a4a66d,1,pfv3_solver,33,0,45,1,262603,2684615,21451730,2961.567,262583,22500000,2466113,275448,983.337,0,0,0,0,0,0,0
