db,policy_set,policy_ids,query_id,status,correctness,reason,ours_ms,rls_ms,ours_over_rls,ours_rss_kb,run_id,files_table,hygiene_ok,pfv3_route,pfv3_route_count,pfv3_legacy_fallback_taken,pfv3_dp_td_bags,pfv3_dp_width_max,pfv3_msg_tuples_total,pfv3_factor_tuple_total,pfv3_factor_rows_scanned_total,pfv3_dp_ms,pfv3_allowed_tuples_target,pfv3_target_rows_scanned,pfv3_target_rows_allowed,pfv3_target_rows_stamped,pfv3_stamp_ms,pfv3_used_bins,pfv3_bin_slices_touched,pfv3_bin_intersections,pfv3_bin_rid_iters,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,S1,"1,2,3,4,5",1,error,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),1929.853,1898.131,1.017,620796,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,578.540,6,36007290,6077862,6077862,578.483,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",3,error,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),1868.500,1536.775,1.216,622116,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,569.440,6,36007290,6077862,6077862,569.382,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",6,error,ERROR,ERROR:  custom_filter: policy_run failed (target_count=1 atom_count=21),1868.418,783.727,2.384,620724,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,7,0,6,0,0,6,345,571.340,6,36007290,6077862,6077862,571.283,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",13,ok,PASS,,1085.204,1084.849,1.000,166136,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",22,ok,PASS,,332.253,331.755,1.002,144376,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",1,ok,PASS,,6114.936,6114.434,1.000,198184,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",3,ok,PASS,,512.890,60.770,8.440,130652,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.338,20,3000000,275448,275448,35.196,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",6,ok,PASS,,814.068,813.544,1.001,196680,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",13,ok,PASS,,482.736,30.654,15.748,131384,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.198,20,3000000,275448,275448,35.059,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",22,ok,PASS,,482.659,30.581,15.783,83328,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,35.422,20,3000000,275448,275448,35.280,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",1,ok,FAIL,rows/hash mismatch,486112.395,36294.627,13.394,2095352,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,377178.733,2935817,499597200,8034304,2190665,21677.162,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",3,ok,PASS,,486060.590,3765.691,129.076,2093660,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,377642.169,2935817,499597200,8034304,2190665,21647.574,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",6,ok,FAIL,rows/hash mismatch,483799.192,20903.913,23.144,2055596,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,93,0,231,1,105111187,380114535,633887720,376777.971,2935817,499597200,8034304,2190665,21613.285,0,0,0,0,0,0,0
