db,policy_set,policy_ids,query_id,status,reason,ours_rows,ours_hash,gt_rows,gt_hash,ours_ms,rls_ms,ours_rss_kb,run_id,files_table,hygiene_ok,pfv3_route,pfv3_route_count,pfv3_legacy_fallback_taken,pfv3_dp_td_bags,pfv3_dp_width_max,pfv3_msg_tuples_total,pfv3_factor_tuple_total,pfv3_factor_rows_scanned_total,pfv3_dp_ms,pfv3_allowed_tuples_target,pfv3_target_nrows,pfv3_target_rows_scanned,pfv3_target_rows_allowed,pfv3_target_rows_stamped,pfv3_stamp_passes,pfv3_policy_run_failed,pfv3_stamp_ms,pfv3_used_bins,pfv3_bin_slices_touched,pfv3_bin_intersections,pfv3_bin_rid_iters,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,S1,"1,2,3,4,5",1,PASS,,2,755fb94a0398adb8a139aba533ddab35,2,755fb94a0398adb8a139aba533ddab35,5241.411,1898.270,539968,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,526.349,16,6001215,6001215,401698,401698,1,0,526.136,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",3,PASS,,3007,2df11eab7f17777967092248e90ca6dd,3007,2df11eab7f17777967092248e90ca6dd,4162.626,1536.912,566700,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,524.000,16,6001215,6001215,401698,401698,1,0,523.798,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",6,PASS,,1,22e1def56e0b26b26d77ccfa7de9c5c6,1,22e1def56e0b26b26d77ccfa7de9c5c6,3103.527,784.064,556228,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,525.837,16,6001215,6001215,401698,401698,1,0,525.624,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",13,PASS,,42,6789fe4f627c452d04e01d4e1a4c0384,42,6789fe4f627c452d04e01d4e1a4c0384,1055.086,1085.161,125844,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",22,PASS,,7,8fb9a5eb160efdc9d8879b2ad503adfe,7,8fb9a5eb160efdc9d8879b2ad503adfe,332.212,331.948,58240,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",1,PASS,,4,a2b9213f118bea73614f99abc44624fe,4,a2b9213f118bea73614f99abc44624fe,6115.263,6114.536,179080,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",3,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,482.906,60.790,127140,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.418,20,150000,150000,0,0,1,0,8.967,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",6,PASS,,1,a48343de54b0874914799f71b8d6459a,1,a48343de54b0874914799f71b8d6459a,814.074,813.515,177708,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",13,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,452.626,30.653,129152,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.366,20,150000,150000,0,0,1,0,8.930,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",22,PASS,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,452.570,30.561,81140,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.551,20,150000,150000,0,0,1,0,8.969,0,0,0,0,0,0,0
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",1,ERROR,ERROR:  policy: PFV3.0b26 does not support signature-bit output in formula evaluation DETAIL:  PFV3 exact path defers stamping/signature projection until final target algebra,,,4,2abadc97238956035753729fda626a7d,3073.871,36023.872,892012,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,2,0,2,0,39904,259933,3300000,292.300,39904,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,M1,"11,12,13,14,15,16,17,18,19,20",3,ERROR,ERROR:  policy: PFV3.0b26 does not support signature-bit output in formula evaluation DETAIL:  PFV3 exact path defers stamping/signature projection until final target algebra,,,0,d41d8cd98f00b204e9800998ecf8427e,3043.451,3765.901,895820,cf_8fe916a3410edf4c429b,public.cf_files_cf_8fe916a3410edf4c429b,1,pfv3_solver,2,0,2,0,39904,259933,3300000,287.953,39904,0,0,0,0,0,0,0.000,0,0,0,0,,,
