db,policy_set,policy_ids,query_id,status,correctness,reason,ours_ms,rls_ms,ours_over_rls,ours_rss_kb,run_id,files_table,hygiene_ok,pfv3_route,pfv3_route_count,pfv3_legacy_fallback_taken,pfv3_dp_td_bags,pfv3_dp_width_max,pfv3_msg_tuples_total,pfv3_factor_tuple_total,pfv3_factor_rows_scanned_total,pfv3_dp_ms,pfv3_allowed_tuples_target,pfv3_target_nrows,pfv3_target_rows_scanned,pfv3_target_rows_allowed,pfv3_target_rows_stamped,pfv3_stamp_passes,pfv3_policy_run_failed,pfv3_stamp_ms,pfv3_used_bins,pfv3_bin_slices_touched,pfv3_bin_intersections,pfv3_bin_rid_iters,proj_sig_count,proj_mask_or_ops,proj_rid_iters
tpch1,S1,"1,2,3,4,5",1,ok,PASS,,5241.411,1898.270,2.761,539968,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,526.349,16,6001215,6001215,401698,401698,1,0,526.136,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",3,ok,PASS,,4162.626,1536.912,2.708,566700,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,524.000,16,6001215,6001215,401698,401698,1,0,523.798,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",6,ok,PASS,,3103.527,784.064,3.958,556228,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,pfv3_solver,16,0,16,0,0,15,631,525.837,16,6001215,6001215,401698,401698,1,0,525.624,0,0,0,0,0,0,0
tpch1,S1,"1,2,3,4,5",13,ok,PASS,,1055.086,1085.161,0.972,125844,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S1,"1,2,3,4,5",22,ok,PASS,,332.212,331.948,1.001,58240,cf_1498df887ee295cea307,public.cf_files_cf_1498df887ee295cea307,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",1,ok,PASS,,6115.263,6114.536,1.000,179080,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",3,ok,PASS,,482.906,60.790,7.944,127140,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.418,20,150000,150000,0,0,1,0,8.967,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",6,ok,PASS,,814.074,813.515,1.001,177708,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,none_no_target,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0.000,0,0,0,0,,,
tpch1,S2,"6,7,8,9,10",13,ok,PASS,,452.626,30.653,14.766,129152,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.366,20,150000,150000,0,0,1,0,8.930,0,0,0,0,0,0,0
tpch1,S2,"6,7,8,9,10",22,ok,PASS,,452.570,30.561,14.809,81140,cf_1711ef6001db6c6e8777,public.cf_files_cf_1711ef6001db6c6e8777,1,pfv3_solver,20,0,20,0,0,20,1510,9.551,20,150000,150000,0,0,1,0,8.969,0,0,0,0,0,0,0
