db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,policy_profile_lines,has_new_layer_fields,profile_line
tpch0_01,1,1,ours,1,ok,,,0.120,2.341,6.988,0.403,32.924,1083245,7522,481400,158770,60175,30126,0,49972,2,1,eval_ms=0.120 artifact_load_ms=2.341 artifact_parse_ms=1.079 stamp_ms=1.599 bin_ms=0.610 local_sat_ms=0.303 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.988 ctid_map_ms=0.403 filter_ms=32.924 child_exec_ms=8.218 ctid_extract_ms=8.839 ctid_to_rid_ms=1.418 allow_check_ms=1.336 projection_ms=4.023 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=60175 rows_passed=30126 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=29028 rss_kb_after_engine=39220 rss_kb_after_ctid=39220 rss_kb_end=49972 peak_rss_kb_end=49972
tpch0_01,1,1,ours,2,ok,,,0.086,0.000,0.000,0.000,6.517,0,0,0,0,8991,8991,0,30524,2,1,eval_ms=0.086 artifact_load_ms=0.000 artifact_parse_ms=0.000 stamp_ms=0.000 bin_ms=0.000 local_sat_ms=0.000 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=0.000 ctid_map_ms=0.000 filter_ms=6.517 child_exec_ms=4.776 ctid_extract_ms=0.000 ctid_to_rid_ms=0.000 allow_check_ms=0.000 projection_ms=0.807 n_scanned_tables=5 n_policy_targets=0 n_filters=0 bytes_artifacts_loaded=0 bytes_allow=0 bytes_ctid=0 bytes_blk_index=0 rows_seen=8991 rows_passed=8991 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=-1 rss_kb_after_engine=-1 rss_kb_after_ctid=-1 rss_kb_end=30524 peak_rss_kb_end=30524
tpch0_01,1,1,ours,3,ok,,,0.113,1.987,6.097,0.301,19.329,1083245,7522,481400,158770,39718,9669,0,52220,2,1,eval_ms=0.113 artifact_load_ms=1.987 artifact_parse_ms=0.949 stamp_ms=1.409 bin_ms=0.519 local_sat_ms=0.261 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.097 ctid_map_ms=0.301 filter_ms=19.329 child_exec_ms=8.497 ctid_extract_ms=3.786 ctid_to_rid_ms=0.748 allow_check_ms=0.706 projection_ms=0.903 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=39718 rows_passed=9669 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=29532 rss_kb_after_engine=39820 rss_kb_after_ctid=39820 rss_kb_end=52220 peak_rss_kb_end=52220
tpch0_01,1,1,ours,4,ok,,,0.131,2.323,6.979,0.395,19.927,1083245,7522,481400,158770,38465,19214,0,51904,2,1,eval_ms=0.131 artifact_load_ms=2.323 artifact_parse_ms=1.088 stamp_ms=1.612 bin_ms=0.606 local_sat_ms=0.292 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.979 ctid_map_ms=0.395 filter_ms=19.927 child_exec_ms=8.918 ctid_extract_ms=2.171 ctid_to_rid_ms=0.939 allow_check_ms=0.856 projection_ms=1.186 n_scanned_tables=2 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=38465 rows_passed=19214 ctid_misses=0 rss_kb_before_eval=27484 rss_kb_after_eval=27484 rss_kb_after_load=29532 rss_kb_after_engine=39820 rss_kb_after_ctid=39820 rss_kb_end=51904 peak_rss_kb_end=51904
tpch0_01,1,1,ours,5,ok,,,0.151,2.316,6.991,0.396,31.369,1083245,7522,481400,158770,64104,34055,0,52404,2,1,eval_ms=0.151 artifact_load_ms=2.316 artifact_parse_ms=1.088 stamp_ms=1.641 bin_ms=0.607 local_sat_ms=0.295 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.991 ctid_map_ms=0.396 filter_ms=31.369 child_exec_ms=7.390 ctid_extract_ms=7.868 ctid_to_rid_ms=1.427 allow_check_ms=1.332 projection_ms=3.968 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=64104 rows_passed=34055 ctid_misses=0 rss_kb_before_eval=27452 rss_kb_after_eval=27452 rss_kb_after_load=29532 rss_kb_after_engine=39820 rss_kb_after_ctid=39820 rss_kb_end=52404 peak_rss_kb_end=52404
tpch0_01,1,1,ours,6,ok,,,0.121,2.418,7.397,0.364,8.341,1083245,7522,481400,158770,1198,1198,0,48936,2,1,eval_ms=0.121 artifact_load_ms=2.418 artifact_parse_ms=1.127 stamp_ms=1.737 bin_ms=0.643 local_sat_ms=0.310 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.397 ctid_map_ms=0.364 filter_ms=8.341 child_exec_ms=7.705 ctid_extract_ms=0.155 ctid_to_rid_ms=0.058 allow_check_ms=0.031 projection_ms=0.140 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=1198 rows_passed=1198 ctid_misses=0 rss_kb_before_eval=25892 rss_kb_after_eval=26404 rss_kb_after_load=29008 rss_kb_after_engine=39348 rss_kb_after_ctid=39348 rss_kb_end=48936 peak_rss_kb_end=48936
tpch0_01,1,1,ours,7,ok,,,0.160,2.296,6.898,0.389,17.539,1083245,7522,481400,158770,34577,20525,0,52384,2,1,eval_ms=0.160 artifact_load_ms=2.296 artifact_parse_ms=1.065 stamp_ms=1.608 bin_ms=0.611 local_sat_ms=0.299 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.898 ctid_map_ms=0.389 filter_ms=17.539 child_exec_ms=8.295 ctid_extract_ms=2.613 ctid_to_rid_ms=0.429 allow_check_ms=0.404 projection_ms=1.815 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=34577 rows_passed=20525 ctid_misses=0 rss_kb_before_eval=27996 rss_kb_after_eval=27996 rss_kb_after_load=30052 rss_kb_after_engine=40340 rss_kb_after_ctid=40340 rss_kb_end=52384 peak_rss_kb_end=52384
tpch0_01,1,1,ours,8,ok,,,0.151,2.136,6.989,0.343,32.219,1083245,7522,481400,158770,66336,36287,0,53568,2,1,eval_ms=0.151 artifact_load_ms=2.136 artifact_parse_ms=1.089 stamp_ms=1.582 bin_ms=0.610 local_sat_ms=0.292 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=6.989 ctid_map_ms=0.343 filter_ms=32.219 child_exec_ms=7.804 ctid_extract_ms=7.869 ctid_to_rid_ms=1.448 allow_check_ms=1.337 projection_ms=4.138 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=66336 rows_passed=36287 ctid_misses=0 rss_kb_before_eval=28508 rss_kb_after_eval=28508 rss_kb_after_load=30052 rss_kb_after_engine=40256 rss_kb_after_ctid=40256 rss_kb_end=53568 peak_rss_kb_end=53568
tpch0_01,1,1,ours,9,ok,,,0.124,1.947,5.957,0.338,36.668,1083245,7522,481400,158770,83414,53365,0,54476,2,1,eval_ms=0.124 artifact_load_ms=1.947 artifact_parse_ms=0.965 stamp_ms=1.372 bin_ms=0.514 local_sat_ms=0.257 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=5.957 ctid_map_ms=0.338 filter_ms=36.668 child_exec_ms=8.353 ctid_extract_ms=8.865 ctid_to_rid_ms=1.416 allow_check_ms=1.316 projection_ms=5.826 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=83414 rows_passed=53365 ctid_misses=0 rss_kb_before_eval=28508 rss_kb_after_eval=28508 rss_kb_after_load=30052 rss_kb_after_engine=40340 rss_kb_after_ctid=40340 rss_kb_end=54476 peak_rss_kb_end=54476
tpch0_01,1,1,ours,10,ok,,,0.124,2.175,7.007,0.390,16.313,1083245,7522,481400,158770,17020,17020,0,52724,2,1,eval_ms=0.124 artifact_load_ms=2.175 artifact_parse_ms=1.083 stamp_ms=1.593 bin_ms=0.612 local_sat_ms=0.296 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=7.007 ctid_map_ms=0.390 filter_ms=16.313 child_exec_ms=8.596 ctid_extract_ms=1.892 ctid_to_rid_ms=0.371 allow_check_ms=0.340 projection_ms=2.175 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=1083245 bytes_allow=7522 bytes_ctid=481400 bytes_blk_index=158770 rows_seen=17020 rows_passed=17020 ctid_misses=0 rss_kb_before_eval=27996 rss_kb_after_eval=27996 rss_kb_after_load=30052 rss_kb_after_engine=40340 rss_kb_after_ctid=40340 rss_kb_end=52724 peak_rss_kb_end=52724
