row_type,db,K,policy_ids,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_01,1,1,ours,__setup__,88.930,1083254,,,,,,,,,,,,,,,ok,,
query,tpch0_01,1,1,ours,1,,,91.420,47008,90.932,51104,,,,,,,,,90.932,51104,ok,,
query,tpch0_01,1,1,ours,2,,,30.747,24324,30.577,30064,,,,,,,,,30.577,30064,ok,,
query,tpch0_01,1,1,ours,3,,,60.850,49236,30.471,51796,,,,,,,,,30.471,51796,ok,,
query,tpch0_01,1,1,ours,4,,,60.786,50980,30.461,51492,,,,,,,,,30.461,51492,ok,,
query,tpch0_01,1,1,ours,5,,,60.850,46808,60.545,54488,,,,,,,,,60.545,54488,ok,,
query,tpch0_01,1,1,ours,6,,,30.739,23812,30.465,48468,,,,,,,,,30.465,48468,ok,,
query,tpch0_01,1,1,ours,7,,,60.844,51424,30.437,51936,,,,,,,,,30.437,51936,ok,,
query,tpch0_01,1,1,ours,8,,,60.863,46944,60.539,54624,,,,,,,,,60.539,54624,ok,,
query,tpch0_01,1,1,ours,9,,,60.854,45816,60.574,56056,,,,,,,,,60.574,56056,ok,,
query,tpch0_01,1,1,ours,10,,,60.854,51332,30.595,51844,,,,,,,,,30.595,51844,ok,,
query,tpch0_01,1,1,ours,11,,,30.751,24324,30.466,29500,,,,,,,,,30.466,29500,ok,,
query,tpch0_01,1,1,ours,12,,,30.731,24324,30.472,51552,,,,,,,,,30.472,51552,ok,,
query,tpch0_01,1,1,ours,13,,,30.760,23812,30.453,29532,,,,,,,,,30.453,29532,ok,,
query,tpch0_01,1,1,ours,14,,,30.729,24324,30.454,49504,,,,,,,,,30.454,49504,ok,,
query,tpch0_01,1,1,ours,15,,,30.753,23816,30.447,49984,,,,,,,,,30.447,49984,ok,,
query,tpch0_01,1,1,ours,16,,,30.738,24324,30.459,29532,,,,,,,,,30.459,29532,ok,,
query,tpch0_01,1,1,ours,17,,,121.033,101548,90.629,104108,,,,,,,,,90.629,104108,ok,,
query,tpch0_01,1,1,ours,18,,,60.876,46504,60.616,52136,,,,,,,,,60.616,52136,ok,,
query,tpch0_01,1,1,ours,19,,,30.783,24324,30.703,49640,,,,,,,,,30.703,49640,ok,,
query,tpch0_01,1,1,ours,21,,,752.962,51268,723.360,53316,,,,,,,,,723.360,53316,ok,,
