policy_id,target,max_cmp_key_arity,max_hub_key_arity,td_width,notes
1,lineitem,0,0,0,q=1; route=single_hub:2
2,lineitem,0,0,0,q=1
3,lineitem,0,0,0,q=1; route=single_hub:2
4,lineitem,0,0,0,q=1
5,lineitem,0,0,0,q=1; route=single_hub:3
6,customer,0,0,0,q=13
7,customer,0,0,0,q=13; route=single_hub:2
8,customer,0,0,0,q=13
9,customer,0,0,0,q=13; route=single_hub:2
10,customer,0,0,0,q=13
11,orders,0,1,0,q=3; route=single_hub:2
12,orders,0,0,0,q=3
13,orders,0,1,0,q=3; route=two_hop:4
14,orders,0,0,0,q=3
15,lineitem,0,1,0,q=1; route=tree:18
16,lineitem,0,0,0,q=1
17,lineitem,0,1,0,q=1; route=tree:6
18,lineitem,0,0,0,q=1
19,lineitem,0,0,0,q=1; route=reject:1; err=ERROR:  policy: class_engine unsupported term shape on target=lineitem HINT:  strict experimental mode allows only class_engine supported shapes
20,partsupp,0,0,0,q=11
21,lineitem,0,0,0,q=1; route=single_hub:1
22,lineitem,0,0,0,q=1
23,lineitem,0,0,0,q=1; route=single_hub:1
24,partsupp,0,0,0,q=11
25,supplier,0,0,0,q=5; route=single_hub:1
26,orders,0,0,0,q=3
27,lineitem,1,1,0,q=1; route=tree:1
28,partsupp,0,0,0,q=11
29,lineitem,2,1,0,q=1; route=cycle_rect:1
30,supplier,0,0,0,q=5
