db,policy_id,target,query_id,status,correctness,reason,route_main,route_summary,route_reject_reason,ours_rows,ours_hash,gt_rows,gt_hash,policy_total_ms,class_terms_ok,class_terms_reject,class_route_single_hub,class_route_two_hop,class_route_tree,class_route_cycle_rect,class_route_td_cycle,class_route_reject,pf2_cmp_key_arity_max,pf2_hub_key_arity,proj_sig_count,proj_mask_or_ops,proj_rid_iters,hygiene_ok
tpch1,1,lineitem,1,ok,PASS,,single_hub,single_hub:2,,3,734fbc0d832cca9145f1130f7ba6d4d6,3,734fbc0d832cca9145f1130f7ba6d4d6,,2,0,2,0,0,0,0,0,0,0,0,0,0,1
tpch1,2,lineitem,1,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,3,lineitem,1,ok,PASS,,single_hub,single_hub:2,,4,a0f623fb4e125e34469cc5b5d569e421,4,a0f623fb4e125e34469cc5b5d569e421,,2,0,2,0,0,0,0,0,0,0,0,0,0,1
tpch1,4,lineitem,1,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,5,lineitem,1,ok,PASS,,single_hub,single_hub:3,,3,0e595632b799374b5aeac27254b12794,3,0e595632b799374b5aeac27254b12794,,3,0,3,0,0,0,0,0,0,0,0,0,0,1
tpch1,6,customer,13,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,7,customer,13,ok,PASS,,single_hub,single_hub:2,,39,1c3546690814c32604805e504f02a5f5,39,1c3546690814c32604805e504f02a5f5,,2,0,2,0,0,0,0,0,0,0,0,0,0,1
tpch1,8,customer,13,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,9,customer,13,ok,PASS,,single_hub,single_hub:2,,37,5b91c3e772802ddf8150f9303bbd1ec8,37,5b91c3e772802ddf8150f9303bbd1ec8,,2,0,2,0,0,0,0,0,0,0,0,0,0,1
tpch1,10,customer,13,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,11,orders,3,ok,PASS,,single_hub,single_hub:2,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,2,0,2,0,0,0,0,0,0,1,0,0,0,1
tpch1,12,orders,3,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,13,orders,3,ok,PASS,,two_hop,two_hop:4,,1617,c4165e61e3d1702c08eee474f695aa47,1617,c4165e61e3d1702c08eee474f695aa47,,4,0,0,4,0,0,0,0,0,1,0,0,0,1
tpch1,14,orders,3,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,15,lineitem,1,ok,PASS,,tree,tree:18,,4,1aef63b0dcfe8c7eda00c4afea2f2661,4,1aef63b0dcfe8c7eda00c4afea2f2661,,18,0,0,0,18,0,0,0,0,1,0,0,0,1
tpch1,16,lineitem,1,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,17,lineitem,1,ok,PASS,,tree,tree:6,,4,339abda8738dadbed412716a02a4f2de,4,339abda8738dadbed412716a02a4f2de,,6,0,0,0,6,0,0,0,0,1,0,0,0,1
tpch1,18,lineitem,1,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,19,lineitem,1,ERROR,ERROR,ours:ERROR:  policy: class_engine unsupported term shape on target=lineitem HINT:  strict experimental mode allows only class_engine supported shapes,reject,reject:1,unsupported_term_shape,,,4,8aa73fc3e171f15fe0f0b1dff23e877a,,,,,,,,,,,,,,,1
tpch1,20,partsupp,11,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,21,lineitem,1,ok,PASS,,single_hub,single_hub:1,,4,984d35fb4342a183d4d53bcf68833a14,4,984d35fb4342a183d4d53bcf68833a14,,1,0,1,0,0,0,0,0,0,0,0,0,0,1
tpch1,22,lineitem,1,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,23,lineitem,1,ok,PASS,,single_hub,single_hub:1,,4,715e4f7b8c1fed9c06b23dc9d339ae77,4,715e4f7b8c1fed9c06b23dc9d339ae77,,1,0,1,0,0,0,0,0,0,0,0,0,0,1
tpch1,24,partsupp,11,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,25,supplier,5,ok,PASS,,single_hub,single_hub:1,,5,c31cb261d9a3e2cbc916fb863c05f88e,5,c31cb261d9a3e2cbc916fb863c05f88e,,1,0,1,0,0,0,0,0,0,0,0,0,0,1
tpch1,26,orders,3,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,27,lineitem,1,ok,PASS,,tree,tree:1,,4,c4fa20fc9ae293fda25f1d3f134991af,4,c4fa20fc9ae293fda25f1d3f134991af,,1,0,0,0,1,0,0,0,1,1,0,0,0,1
tpch1,28,partsupp,11,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpch1,29,lineitem,1,ok,PASS,,cycle_rect,cycle_rect:1,,4,061aaec9134642d9a8747af58b3ad177,4,061aaec9134642d9a8747af58b3ad177,,1,0,0,0,0,1,0,0,2,1,0,0,0,1
tpch1,30,supplier,5,ok,PASS,,,,,0,d41d8cd98f00b204e9800998ecf8427e,0,d41d8cd98f00b204e9800998ecf8427e,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
