db,K,policy_ids,baseline,query_id,status,error_type,error_msg,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,profile_line
tpch0_1,1,1,ours,1,ok,,,0.050,14.987,19.730,1.695,84.117,12011519,75072,4804576,1584188,600569,299856,0,171928,eval_ms=0.050 artifact_load_ms=14.987 artifact_parse_ms=0.013 stamp_ms=12.495 bin_ms=4.280 local_sat_ms=0.146 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.730 ctid_map_ms=1.695 filter_ms=84.117 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=600569 rows_passed=299856 ctid_misses=0 rss_kb_before_eval=30536 rss_kb_after_eval=30536 rss_kb_after_load=55936 rss_kb_after_engine=84384 rss_kb_after_ctid=85728 rss_kb_end=171928 peak_rss_kb_end=171928
tpch0_1,1,1,ours,2,error,missing_profile,no parseable policy_profile line found,0,0,0,0,0,0,0,0,0,0,0,0,0,
tpch0_1,1,1,ours,3,ok,,,0.070,12.808,20.708,1.718,17.796,12011519,75072,4804576,1584188,3023,2788,0,183296,eval_ms=0.070 artifact_load_ms=12.808 artifact_parse_ms=0.013 stamp_ms=12.893 bin_ms=4.805 local_sat_ms=0.149 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=20.708 ctid_map_ms=1.718 filter_ms=17.796 n_scanned_tables=3 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=3023 rows_passed=2788 ctid_misses=0 rss_kb_before_eval=31656 rss_kb_after_eval=31656 rss_kb_after_load=56476 rss_kb_after_engine=84700 rss_kb_after_ctid=85820 rss_kb_end=183296 peak_rss_kb_end=183296
tpch0_1,1,1,ours,4,error,missing_profile,no parseable policy_profile line found,0,0,0,0,0,0,0,0,0,0,0,0,0,
tpch0_1,1,1,ours,5,ok,,,0.176,24.217,23.145,1.537,10.761,12011519,75072,4804576,1584188,18948,18948,0,183516,eval_ms=0.176 artifact_load_ms=24.217 artifact_parse_ms=0.031 stamp_ms=16.054 bin_ms=4.012 local_sat_ms=0.147 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=23.145 ctid_map_ms=1.537 filter_ms=10.761 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=18948 rows_passed=18948 ctid_misses=0 rss_kb_before_eval=32328 rss_kb_after_eval=32328 rss_kb_after_load=57424 rss_kb_after_engine=85648 rss_kb_after_ctid=86992 rss_kb_end=183516 peak_rss_kb_end=183516
tpch0_1,1,1,ours,6,ok,,,0.038,10.878,19.694,1.727,37.689,12011519,75072,4804576,1584188,11482,11482,0,164096,eval_ms=0.038 artifact_load_ms=10.878 artifact_parse_ms=0.014 stamp_ms=12.337 bin_ms=4.330 local_sat_ms=0.153 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.694 ctid_map_ms=1.727 filter_ms=37.689 n_scanned_tables=1 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=11482 rows_passed=11482 ctid_misses=0 rss_kb_before_eval=30088 rss_kb_after_eval=30088 rss_kb_after_load=55948 rss_kb_after_engine=84396 rss_kb_after_ctid=85740 rss_kb_end=164096 peak_rss_kb_end=164096
tpch0_1,1,1,ours,7,ok,,,0.145,17.521,19.511,1.690,26.789,12011519,75072,4804576,1584188,41850,30883,0,189652,eval_ms=0.145 artifact_load_ms=17.521 artifact_parse_ms=0.011 stamp_ms=12.324 bin_ms=4.240 local_sat_ms=0.143 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.511 ctid_map_ms=1.690 filter_ms=26.789 n_scanned_tables=5 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=41850 rows_passed=30883 ctid_misses=0 rss_kb_before_eval=32088 rss_kb_after_eval=32088 rss_kb_after_load=57748 rss_kb_after_engine=85748 rss_kb_after_ctid=87092 rss_kb_end=189652 peak_rss_kb_end=189652
tpch0_1,1,1,ours,8,ok,,,0.091,11.249,20.045,1.821,31.742,12011519,75072,4804576,1584188,62419,30815,0,193284,eval_ms=0.091 artifact_load_ms=11.249 artifact_parse_ms=0.014 stamp_ms=12.508 bin_ms=4.444 local_sat_ms=0.151 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=20.045 ctid_map_ms=1.821 filter_ms=31.742 n_scanned_tables=7 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=62419 rows_passed=30815 ctid_misses=0 rss_kb_before_eval=32552 rss_kb_after_eval=32776 rss_kb_after_load=57808 rss_kb_after_engine=86256 rss_kb_after_ctid=87600 rss_kb_end=193284 peak_rss_kb_end=193284
tpch0_1,1,1,ours,9,ok,,,0.134,15.262,18.773,1.451,90.108,12011519,75072,4804576,1584188,699297,398581,0,198844,eval_ms=0.134 artifact_load_ms=15.262 artifact_parse_ms=0.011 stamp_ms=11.814 bin_ms=4.024 local_sat_ms=0.143 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=18.773 ctid_map_ms=1.451 filter_ms=90.108 n_scanned_tables=6 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=699297 rows_passed=398581 ctid_misses=0 rss_kb_before_eval=31180 rss_kb_after_eval=31404 rss_kb_after_load=56876 rss_kb_after_engine=85324 rss_kb_after_ctid=86668 rss_kb_end=198844 peak_rss_kb_end=198844
tpch0_1,1,1,ours,10,ok,,,0.217,16.634,19.929,1.791,22.512,12011519,75072,4804576,1584188,148301,148301,0,196296,eval_ms=0.217 artifact_load_ms=16.634 artifact_parse_ms=0.013 stamp_ms=12.615 bin_ms=4.317 local_sat_ms=0.141 prop_ms=0.000 prop_iters=0 decode_ms=0.000 policy_total_ms=19.929 ctid_map_ms=1.791 filter_ms=22.512 n_scanned_tables=4 n_policy_targets=1 n_filters=1 bytes_artifacts_loaded=12011519 bytes_allow=75072 bytes_ctid=4804576 bytes_blk_index=1584188 rows_seen=148301 rows_passed=148301 ctid_misses=0 rss_kb_before_eval=28968 rss_kb_after_eval=28968 rss_kb_after_load=54412 rss_kb_after_engine=82636 rss_kb_after_ctid=83756 rss_kb_end=196296 peak_rss_kb_end=196296
